,Wort,difference
0,Kemritz,-94.15025677651941
1,Bundesverfassungsgericht,-93.41903887358433
2,Mann,-90.70923135094257
3,Minister,-90.1285583103765
4,Gleichberechtigung,-90.1285583103765
5,Kräft,-90.1285583103765
6,Gericht,-89.47046219773493
7,Sozialdemokrat,-88.718352354716
8,demokratisch,-88.30051355303881
9,Schuldenerklärung,-87.85053330507876
10,Evg,-87.85053330507876
11,Familienrechtsgesetz,-86.83807774716865
12,nennen,-86.83807774716865
13,Finanzvertrag,-86.83807774716865
14,Streitkräft,-86.26582025791512
15,Westdeutschland,-85.64153936054763
16,Justiz,-85.64153936054763
17,verschweigen,-85.64153936054763
18,fragen,-85.64153936054763
19,beantragen,-85.64153936054763
20,freiwillig,-85.64153936054763
21,Bundesjustizminister,-84.20569329660239
22,selbstverständlich,-84.20569329660238
23,Jugend,-84.20569329660238
24,Amerikaner,-84.20569329660238
25,Aufrüstung,-84.20569329660238
26,Arbeiter,-84.20569329660238
27,schriftlich,-84.20569329660238
28,Äußerung,-83.077528532074
29,Generalvertrag,-82.45077032955821
30,Organisation,-82.45077032955821
31,Dehler,-82.45077032955821
32,Stationierungskosten,-82.45077032955821
33,Juni,-82.45077032955821
34,Kommunist,-82.45077032955821
35,Evg-vertrag,-82.45077032955821
36,rechtzeitig,-82.45077032955821
37,bejahen,-82.45077032955821
38,Landdienst,-80.257116620753
39,geradezu,-80.257116620753
40,solche,-80.257116620753
41,genügend,-80.257116620753
42,unentgeltlich,-80.257116620753
43,Vergütung,-80.257116620753
44,Student,-80.257116620753
45,gefährlich,-80.257116620753
46,jung,-80.257116620753
47,sozialdemokratisch,-80.257116620753
48,Plenum,-80.257116620753
49,obgleich,-80.257116620753
50,Basis,-80.257116620753
51,Demokratie,-80.257116620753
52,wörtlich,-78.94092439546984
53,Frankreich,-78.94092439546984
54,Regierungsvertreter,-77.43670470943198
55,aufzeigen,-77.43670470943198
56,Verteidigung,-77.43670470943198
57,Richtlinie,-77.43670470943198
58,direkt,-77.43670470943198
59,juristisch,-77.43670470943198
60,Besatzungsmacht,-77.43670470943198
61,Ausnahme,-77.43670470943198
62,zusätzlich,-77.43670470943198
63,schweigen,-77.43670470943198
64,werfen,-77.43670470943198
65,früh,-77.43670470943198
66,Mord,-77.43670470943198
67,Justizminister,-77.43670470943198
68,gesetzgeberisch,-77.43670470943198
69,betreiben,-77.43670470943198
70,intensiv,-77.43670470943198
71,Beschuldigung,-77.43670470943198
72,unterschreiben,-77.43670470943198
73,Verlautbarung,-77.43670470943198
74,Kommissar,-77.43670470943198
75,Idee,-77.43670470943198
76,unerträglich,-77.43670470943198
77,hätt,-77.43670470943198
78,Jugendhilfsdienst,-77.43670470943198
79,Konsequenz,-77.43670470943198
80,Kriegsvorbereitung,-77.43670470943198
81,Amt,-75.70106661015751
82,möcht,-75.70106661015751
83,dort,-74.38761075124711
84,Verfassung,-73.67615549433731
85,ehrlich,-73.67615549433731
86,einnehmen,-73.67615549433731
87,Landwirtschaft,-73.67615549433731
88,Lehre,-73.67615549433731
89,Heim,-73.67615549433731
90,Heimkehrer,-73.67615549433731
91,Autorität,-73.67615549433731
92,entscheidend,-73.67615549433731
93,warnen,-73.67615549433731
94,Vermögenswerte,-73.67615549433731
95,Zahlungsermächtigung,-73.67615549433731
96,nötig,-73.67615549433731
97,überweisen,-73.67615549433731
98,angeblich,-73.67615549433731
99,Franz,-73.67615549433731
100,allein,-73.67615549433731
101,offen,-73.67615549433731
102,Tod,-73.67615549433731
103,sorgen,-73.67615549433731
104,Kopf,-73.67615549433731
105,Militärregierung,-73.67615549433731
106,Konvention,-73.67615549433731
107,untragbar,-73.67615549433731
108,Belastung,-73.67615549433731
109,technisch,-73.67615549433731
110,parteipolitisch,-73.67615549433731
111,unverzüglich,-73.67615549433731
112,Kriterium,-73.67615549433731
113,Ab,-73.67615549433731
114,Stellungnahme,-73.67615549433731
115,Angeklagte,-73.67615549433731
116,bürgerlich,-73.67615549433731
117,Regime,-73.67615549433731
118,Gebot,-73.67615549433731
119,100,-73.67615549433731
120,westdeutsch,-73.67615549433731
121,Republik,-73.67615549433731
122,ermorden,-73.67615549433731
123,Schaden,-73.67615549433731
