,Wort,difference
0,durch,-52.41016532313157
1,ihr,-51.47703130985964
2,oder,-37.50829789906165
3,deutsch,-36.870627469460246
4,Bundesregierung,-36.54688709750876
5,unser,-35.88934188608399
6,in,-30.797779552652187
7,Staat,-19.128385516432722
8,hier,-18.05723830472986
9,ein,-17.572010996393697
10,geben,-15.250979342563058
11,haben,-12.775932415004492
12,der,-11.808859372428467
13,sich,-10.822652137039343
14,kein,-9.019433705986822
15,an,-8.79589423106297
16,sein,-7.25778626369176
17,Ausschuß,-6.262446848592491
18,aber,-5.5468930077420495
19,Israel,-1.0131438721136696
20,Bundesrepublik,-1.0131438721136696
21,noch,2.2591488924445593
22,auf,2.2591488924445593
23,wollen,4.858957762591453
24,ich,7.594408834659055
25,werden,8.432534706788815
26,sie,12.741293995314738
27,müssen,15.638850616689647
28,Abkommen,16.729783169677273
29,Wiedergutmachung,20.129679766852338
30,ander,20.129679766852338
31,und,20.335851986131843
32,gegen,21.307421725350913
33,mit,21.545746718917375
34,von,21.99084381957821
35,„,22.508485306790018
36,Länder,23.733570159857905
37,über,23.733570159857905
38,bei,24.355346894329557
39,zu,24.886367397372105
40,—,24.9834042018767
41,Deutschland,32.33536915492824
42,Herr,34.85947701346912
43,es,38.36022222348328
44,daß,40.12861852758539
45,ganz,40.60632972711127
46,Recht,40.60632972711127
47,politisch,42.22249443661828
48,Million,42.22249443661828
49,Art,43.87624437192783
50,jüdisch,47.30186923792607
51,nach,50.89459775592428
52,wieder,52.75749402451593
53,solch,54.66696269982241
54,ihnen,56.624772354250524
55,ob,56.624772354250524
56,groß,56.624772354250524
57,vor,58.63278225622811
58,damit,62.807329157707784
59,ja,67.20752724305122
60,also,67.20752724305122
61,Frage,69.49804131487389
62,wissen,69.49804131487389
63,Regelung,69.49804131487389
64,alle,71.85218077758044
65,bis,74.27263402796889
66,Dm,74.27263402796889
67,um,75.92450733629086
68,mehr,76.76224308551132
69,uns,78.03391389907613
70,er,81.96113258802636
71,sagen,87.475106302815
72,Jude,90.35933870747373
73,Teil,90.35933870747373
74,Volk,93.33370337477798
75,Zone,96.4024923172348
76,ohne,96.4024923172348
77,weit,96.4024923172348
78,unter,96.4024923172348
79,dazu,99.57027445138374
80,einmal,99.57027445138374
81,bringen,102.84191829484904
82,stellen,102.84191829484904
83,Verhandlung,102.84191829484904
84,Gebiet,106.22261693309655
85,bereits,106.22261693309655
86,Dr.,113.33374165492742
87,können,115.81436655789173
88,nicht,116.1285068294461
89,damals,117.07643887694371
90,bestehen,117.07643887694371
91,vielleicht,117.07643887694371
92,darauf,120.95280385688912
93,Verpflichtung,124.97012756337804
94,weil,129.13624103677392
95,jed,129.13624103677392
96,1,129.13624103677392
97,Vertrag,129.13624103677392
98,finden,133.45956633935455
99,gewiß,133.45956633935455
100,da,133.45956633935455
101,zwischen,133.45956633935455
102,zwar,133.45956633935455
103,auch,134.93715853137573
104,Opfer,137.94917338434217
105,neu,137.94917338434217
106,deshalb,137.94917338434217
107,möglich,137.94917338434217
108,Regierung,137.94917338434217
109,wie,140.2593595337047
110,als,141.03942238933362
111,ihm,147.4671403197158
112,Seite,147.4671403197158
113,Berlin,147.4671403197158
114,nehmen,152.51749012215902
115,drei,152.51749012215902
116,dieser,153.60710173002158
117,Bundeskanzler,157.77827116637062
118,nur,157.77827116637062
119,Welt,163.26291523374024
120,Weise,163.26291523374024
121,Deutsche,163.26291523374024
122,erst,166.09369926851164
123,schon,168.98602208664764
124,Name,168.98602208664764
125,insbesondere,168.98602208664764
126,aus,171.94191243924814
127,sehen,174.9634892441287
128,Nr,174.9634892441287
129,amerikanisch,181.21265945422257
130,sondern,181.21265945422257
131,Weg,181.21265945422257
132,kommen,184.44498887323655
133,liegen,187.75248874385568
134,bleiben,187.75248874385568
135,Unrecht,187.75248874385568
136,europäisch,194.60373847585214
137,nationalsozialistisch,194.60373847585214
138,etwa,194.60373847585214
139,Sinn,194.60373847585214
140,dort,194.60373847585214
141,heute,194.60373847585214
142,müssen,199.35541167707558
143,regeln,201.78919551184856
144,weiter,201.78919551184856
145,Gesetz,206.77744667733364
146,einzeln,209.33392539964478
147,Bund,209.33392539964478
148,einig,209.33392539964478
149,besonder,209.33392539964478
150,können,211.27942178580614
151,Zeit,213.24954470850105
152,so,217.2655645124561
153,halten,217.2655645124562
154,eigen,217.2655645124562
155,dann,217.2655645124562
156,frei,217.2655645124562
157,Abgeordnete,217.2655645124562
158,machen,220.00061248239112
159,sollen,222.78322650397715
160,Mensch,225.61465831541557
161,bitten,225.61465831541557
162,Lage,225.61465831541557
163,immer,225.61465831541557
164,all,225.61465831541557
165,mir,225.61465831541557
166,gerade,225.61465831541557
167,dadurch,225.61465831541557
168,Haus,229.95618709295445
169,Ding,234.41505448610243
170,Politik,234.41505448610243
171,notwendig,234.41505448610243
172,zwei,234.41505448610243
173,wohl,234.41505448610243
174,gleich,234.41505448610243
175,Tatsache,234.41505448610243
176,Jahr,237.45519134506702
177,hoch,238.99608262974778
178,darum,243.7043615551609
179,Rückerstattung,243.7043615551609
180,überhaupt,243.7043615551609
181,Bericht,243.7043615551609
182,Krieg,243.7043615551609
183,dürfen,248.54526805593778
184,gesamt,253.52448617102266
185,Erklärung,253.52448617102266
186,dabei,253.52448617102266
187,sozialdemokratisch,253.52448617102266
188,Dame,256.9237600765132
189,beide,263.9222651760527
