,Wort,difference
0,Heimkehrer,74140.14209591475
1,enttäuschen,37020.07104795737
2,unvergänglich,37020.07104795737
3,Heimkehrergesetz,37020.07104795737
4,radikal,37020.07104795737
5,Interessenverbände,37020.07104795737
6,Liebe,18460.035523978688
7,Argument,16397.80935464772
8,unterlassen,12273.35701598579
9,kommend,12273.35701598579
10,anlangen,8148.904677323861
11,hervor,8148.904677323861
12,vergangen,8148.904677323861
13,Stärker,8148.904677323861
14,opfern,8148.904677323861
15,Wunde,8148.904677323861
16,O,8148.904677323861
17,treu,8148.904677323861
18,Vorsitzende,8148.904677323861
19,verehrt,7324.014209591475
20,gewinnen,6086.678507992896
21,erfordern,6086.678507992896
22,schlecht,6086.678507992896
23,befriedigen,6086.678507992896
24,Zurück,4849.342806394317
25,Stuttgart,4849.342806394317
26,Israel-vertrag,4849.342806394317
27,Entschädigungsgesetz,4849.342806394317
28,zweifellos,4849.342806394317
29,besagen,4849.342806394317
30,einnehmen,4849.342806394317
31,Auseinandersetzung,4849.342806394317
32,Rechtsanspruch,4849.342806394317
33,Dank,4540.008880994672
34,Druck,4540.008880994672
35,einstimmig,4540.008880994672
36,Heimat,4024.4523386619308
37,abspielen,4024.4523386619303
38,Merkmal,4024.4523386619303
39,Welthandel,4024.4523386619303
40,vergeblich,4024.4523386619303
41,Entschädigungsberechtigte,4024.4523386619303
42,Hohn,4024.4523386619303
43,Rechtsempfinden,4024.4523386619303
44,Belang,4024.4523386619303
45,Verwirklichung,4024.4523386619303
46,Termin,4024.4523386619303
47,Frowein,4024.4523386619303
48,eröffnen,4024.4523386619303
49,heftig,4024.4523386619303
50,Judensöldling,4024.4523386619303
51,.da,4024.4523386619303
52,ausschalten,4024.4523386619303
53,erstreben,4024.4523386619303
54,mitunter,4024.4523386619303
55,verbleiben,4024.4523386619303
56,Parallelfall,4024.4523386619303
57,Herkunft,4024.4523386619303
58,Staatsgebiet,4024.4523386619303
59,stützen,4024.4523386619303
60,einschränken,4024.4523386619303
61,Vorbehalt,4024.4523386619303
62,Lektüre,4024.4523386619303
63,v.,4024.4523386619303
64,Gedächtnis,4024.4523386619303
65,Opfergang,4024.4523386619303
66,Information,4024.4523386619303
67,Beweislast,4024.4523386619303
68,voraufgegangen,4024.4523386619303
69,Studium,4024.4523386619303
70,Schwäch,4024.4523386619303
71,Emigrant,4024.4523386619303
72,unruhig,4024.4523386619303
73,nahezu,4024.4523386619303
74,Druckfehler,4024.4523386619303
75,Arbeitsgemeinschaft,4024.4523386619303
76,Protest,4024.4523386619303
77,Devisenlage,4024.4523386619303
78,verantwortungsvoll,4024.4523386619303
79,schwach,4024.4523386619303
80,Nutzen,4024.4523386619303
81,Auszeichnung,4024.4523386619303
82,passen,4024.4523386619303
83,verschwinden,4024.4523386619303
84,Konsolidierung,4024.4523386619303
85,Sabotage,4024.4523386619303
86,Beruhigung,4024.4523386619303
87,geäußern,4024.4523386619303
88,Plätze,4024.4523386619303
89,zufließen,4024.4523386619303
90,Unzulänglichkeit,4024.4523386619303
91,Ausweglosigkeit,4024.4523386619303
92,Beschädigung,4024.4523386619303
93,Lohnarbeiterklasse,4024.4523386619303
94,Rückzahlung,4024.4523386619303
95,zahlend,4024.4523386619303
96,Stalingrad,4024.4523386619303
97,150,4024.4523386619303
98,In,4024.4523386619303
99,Besatzungsbehörde,4024.4523386619303
100,begeben,4024.4523386619303
101,gestalten,4024.4523386619303
102,liquidieren,4024.4523386619303
103,Fortschritt,4024.4523386619303
104,Kommunistenführer,4024.4523386619303
105,Wirtschaftsgebiet,4024.4523386619303
106,Löbe,4024.4523386619303
107,ersichtlich,4024.4523386619303
108,normalerweise,4024.4523386619303
109,einwenden,4024.4523386619303
110,vorgestern,4024.4523386619303
111,Staatswesen,4024.4523386619303
112,zugeben,4024.4523386619303
113,Kern,4024.4523386619303
114,baldig,4024.4523386619303
115,Erachten,4024.4523386619303
116,Liquidation,4024.4523386619303
117,Sorglosigkeit,4024.4523386619303
118,Freigabe,4024.4523386619303
119,rechtskräftig,4024.4523386619303
120,Fassung,4024.4523386619303
121,907,4024.4523386619303
122,Totalitarismus,4024.4523386619303
123,Zuchthaus,4024.4523386619303
124,einbringen,4024.4523386619303
125,Justizministerium,4024.4523386619303
126,Einzelfrage,4024.4523386619303
127,beinahe,4024.4523386619303
128,Versehen,4024.4523386619303
129,Fiskus,4024.4523386619303
130,beschreiten,4024.4523386619303
131,Atmosphäre,4024.4523386619303
132,gesperrt,4024.4523386619303
