,Wort,difference
0,es,-50.96369750615817
1,durch,-40.49633293535732
2,mit,-39.56658813747227
3,man,-38.84998641578223
4,sollen,-34.16615558805491
5,er,-24.898284287344193
6,über,-23.030082403944792
7,bei,-22.64523281596452
8,oder,-21.86387153127729
9,wenn,-21.46724143752743
10,Bundesregierung,-20.661777247143096
11,nur,-20.661777247143096
12,Deutschland,-17.70769448506864
13,können,-11.086474501108642
14,der,-9.097222744184304
15,ein,-8.455896823626643
16,können,-4.500287427116671
17,auf,-4.303380803255077
18,hier,2.4566452768681923
19,in,3.948175387281726
20,geben,5.965434498678754
21,von,8.644335932634116
22,uns,10.50681026290783
23,dieser,15.331921254153
24,sagen,16.32295817148193
25,Ausschuß,17.204192703084072
26,ihr,21.818530998481076
27,unter,21.818530998481076
28,sein,25.70149667405764
29,noch,27.859119312455345
30,dann,30.008012074009226
31,wollen,31.109774888195734
32,machen,31.109774888195734
33,und,32.60817231548938
34,wir,33.94764880352465
35,ich,34.5300298852791
36,daß,39.85042654740878
37,sie,40.965407169085154
38,müssen,44.58834987670183
39,Dame,45.95239091327449
40,um,45.95239091327449
41,doch,48.75916766160671
42,wie,48.75916766160671
43,werden,50.789019851921026
44,„,53.17775680007028
45,Länder,54.709534368070955
46,—,56.27225693744542
47,so,56.27225693744542
48,haben,56.27225693744543
49,nicht,56.49808389833766
50,unser,61.15576496674059
51,würd,62.85214144007471
52,aus,68.16253735659886
53,zu,68.29319977878737
54,sondern,73.83093749221457
55,tun,75.80628905462612
56,Million,77.82705099778272
57,politisch,77.82705099778272
58,Art,79.8948074047337
59,Bundestag,86.39702935912162
60,nach,88.67016386350114
61,was,88.67016386350116
62,wieder,90.99942514576665
63,an,90.99942514576666
64,solch,93.38691796008871
65,Zeit,93.38691796008871
66,Antrag,93.38691796008871
67,auch,94.60318788436598
68,ob,95.8348536304696
69,groß,95.8348536304696
70,deutsch,98.85544263248197
71,als,99.62520563622061
72,Mensch,100.92147320528699
73,all,100.92147320528699
74,damit,103.56517680009335
75,Haus,103.56517680009335
76,Staat,103.56517680009335
77,stehen,106.27937915742794
78,hoch,109.06693833523104
79,Herr,111.35182290720077
80,wissen,111.9308689973575
81,Regelung,111.9308689973575
82,dürfen,114.87435328898745
83,alle,114.87435328898745
84,bis,117.90075263108588
85,Dm,117.90075263108588
86,glauben,117.90075263108588
87,sich,124.62364336562027
88,kein,129.19931017491996
89,gehen,130.9097527881656
90,Teil,138.0146682585707
91,weit,145.57068947312854
92,schaffen,145.57068947312854
93,Zone,145.57068947312854
94,dazu,149.53150704527573
95,einmal,149.53150704527573
96,nun,149.53150704527573
97,Israel,149.53150704527573
98,Gesetz,153.62218748864092
99,Verhandlung,153.62218748864092
100,stellen,153.62218748864092
101,Problem,157.84922394678495
102,bereits,157.84922394678495
103,Gebiet,157.84922394678495
104,Grund,166.74057649667407
105,Dr.,166.74057649667407
106,damals,171.42023573345782
107,bestehen,171.42023573345782
108,vielleicht,171.42023573345782
109,darauf,176.26702565726958
110,Jahr,178.75591778030804
111,Entschädigung,181.29006248740177
112,möch,181.29006248740177
113,Verpflichtung,181.29006248740177
114,Vertrag,186.49913771864996
115,1,186.49913771864996
116,gewiß,191.90478182654897
117,zwar,191.90478182654897
118,da,191.90478182654897
119,Opfer,197.5183353232134
120,selbst,197.5183353232134
121,neu,197.5183353232134
122,deshalb,197.5183353232134
123,Regierung,197.5183353232134
124,vor,199.4378084543309
125,Kollege,203.35202817268816
126,Aufgabe,203.35202817268816
127,letzt,203.35202817268816
128,ander,203.35202817268816
129,gegen,206.35551360014057
130,ihm,209.41906873614192
131,Berlin,209.41906873614192
132,Seite,209.41906873614192
133,drei,215.73374360830806
134,handeln,222.3115299334812
135,Partei,222.3115299334812
136,Welt,229.16922205972546
137,Weise,229.16922205972546
138,Deutsche,229.16922205972546
139,erst,232.70867606036765
140,schon,236.3250747131977
141,insbesondere,236.3250747131977
142,Nr,243.79896526237994
143,anderer,243.79896526237994
144,sehen,243.79896526237994
145,jetzt,243.79896526237994
146,amerikanisch,251.6125781092522
147,kommen,255.6541019955654
148,Recht,255.6541019955654
149,ganz,255.6541019955654
150,anerkennen,259.78961480946737
151,Fall,259.78961480946737
152,liegen,259.78961480946737
153,bleiben,259.78961480946737
154,nationalsozialistisch,268.3560342096928
155,Sinn,268.3560342096928
156,etwa,268.3560342096928
157,dort,268.3560342096928
158,europäisch,268.3560342096928
159,müssen,274.2972605679136
160,einer,277.3403277270023
161,weiter,277.3403277270023
162,Drucksache,277.3403277270023
163,regeln,277.3403277270023
164,Beratung,286.7738359201775
165,einig,286.7738359201775
166,besonder,286.7738359201775
167,Bund,286.7738359201775
168,einzeln,286.7738359201775
169,sprechen,291.66970726093916
170,eigen,296.6911137642846
171,frei,296.6911137642846
172,Abgeordnete,296.6911137642846
173,erklärt,296.6911137642846
174,ihnen,296.6911137642846
175,bitten,307.1303536001867
176,immer,307.1303536001867
177,Vertreter,307.1303536001867
178,gerade,307.1303536001867
179,Lage,307.1303536001867
180,mir,307.1303536001867
181,dadurch,307.1303536001867
182,Tatsache,318.1338766704621
183,gleich,318.1338766704621
184,wohl,318.1338766704621
185,notwendig,318.1338766704621
186,Ding,318.1338766704621
187,zwei,318.1338766704621
188,zweit,318.1338766704621
189,Politik,318.1338766704621
190,aber,321.38783680019327
191,also,323.86173799471504
192,ja,323.86173799471504
193,darum,329.74870657797493
194,Bericht,329.74870657797493
195,Krieg,329.74870657797493
196,Rückerstattung,329.74870657797493
197,mein,334.5773437305365
198,sozialdemokratisch,342.0272410516313
199,heißen,342.0272410516313
