,Wort,difference
0,willens,10213.968957871397
1,Unmenschlichkeit,10213.968957871397
2,unabhängig,10213.968957871397
3,Rücksicht,10213.968957871397
4,bevorzugen,10213.968957871397
5,Wunde,10213.968957871397
6,davor,10213.968957871397
7,unsagbar,10213.968957871397
8,ergreifen,7635.476718403549
9,Anfang,7635.476718403549
10,Rechtsstaat,7635.476718403549
11,geändert,7635.476718403549
12,hierzu,7635.476718403548
13,Geschädigte,7635.476718403548
14,Hilfe,6346.230598669624
15,geeignet,6088.381374722839
16,Versöhnung,6088.381374722839
17,Verzögerung,6088.381374722839
18,zuerst,6088.381374722839
19,zusammenfassen,6088.381374722839
20,erleiden,6088.381374722839
21,Kollektivschuld,6088.381374722839
22,Verhältnisse,6088.381374722839
23,warnen,6088.381374722839
24,einfach,5701.607538802662
25,begrüß,5701.607538802662
26,abspielen,5056.9844789356985
27,entstehend,5056.9844789356985
28,H.,5056.9844789356985
29,Austreibung,5056.9844789356985
30,Entschädigungsansprüch,5056.9844789356985
31,meinetwegen,5056.9844789356985
32,unzureichend,5056.9844789356985
33,Schwäch,5056.9844789356985
34,vergeblich,5056.9844789356985
35,Entschädigungsberechtigte,5056.9844789356985
36,Verwirklichung,5056.9844789356985
37,erstreben,5056.9844789356985
38,mitunter,5056.9844789356985
39,Löpelmann,5056.9844789356985
40,Hohn,5056.9844789356985
41,Lösen,5056.9844789356985
42,Termin,5056.9844789356985
43,Frowein,5056.9844789356985
44,Erhaltung,5056.9844789356985
45,mohammedanisch,5056.9844789356985
46,Bahn,5056.9844789356985
47,eröffnen,5056.9844789356985
48,heftig,5056.9844789356985
49,stützen,5056.9844789356985
50,Rechtsempfinden,5056.9844789356985
51,Belang,5056.9844789356985
52,Konsolidierung,5056.9844789356985
53,Sabotage,5056.9844789356985
54,einschränken,5056.9844789356985
55,Vorbehalt,5056.9844789356985
56,Lektüre,5056.9844789356985
57,v.,5056.9844789356985
58,Entschiedenheit,5056.9844789356985
59,Gedächtnis,5056.9844789356985
60,Opfergang,5056.9844789356985
61,Information,5056.9844789356985
62,Beweislast,5056.9844789356985
63,voraufgegangen,5056.9844789356985
64,Studium,5056.9844789356985
65,Protest,5056.9844789356985
66,Devisenlage,5056.9844789356985
67,verantwortungsvoll,5056.9844789356985
68,schwach,5056.9844789356985
69,verbleiben,5056.9844789356985
70,zahlend,5056.9844789356985
71,Stalingrad,5056.9844789356985
72,150,5056.9844789356985
73,In,5056.9844789356985
74,Nutzen,5056.9844789356985
75,Auszeichnung,5056.9844789356985
76,passen,5056.9844789356985
77,verschwinden,5056.9844789356985
78,Parallelfall,5056.9844789356985
79,Herkunft,5056.9844789356985
80,Staatsgebiet,5056.9844789356985
81,zufließen,5056.9844789356985
82,Unzulänglichkeit,5056.9844789356985
83,Ausweglosigkeit,5056.9844789356985
84,Besatzungsbehörde,5056.9844789356985
85,begeben,5056.9844789356985
86,Emigrant,5056.9844789356985
87,unruhig,5056.9844789356985
88,Beruhigung,5056.9844789356985
89,geäußern,5056.9844789356985
90,Plätze,5056.9844789356985
91,Beschädigung,5056.9844789356985
92,Lohnarbeiterklasse,5056.9844789356985
93,Rückzahlung,5056.9844789356985
94,nahezu,5056.9844789356985
95,Druckfehler,5056.9844789356985
