,Wort,difference
0,Gesetz,-86.8877652191156
1,erst,-82.8425012973534
2,politisch,-81.46201289599102
3,Art,-81.24645490640953
4,hoch,-78.2053394858273
5,Regelung,-77.90678249248246
6,Frage,-77.90678249248246
7,Fraktion,-77.59993224932249
8,Ausschuß,-75.37702476261404
9,Zone,-74.39992257065427
10,Verhandlung,-73.56057576969214
11,bringen,-73.56057576969214
12,vielleicht,-71.70517757809158
13,darauf,-71.19991289198607
14,Entschädigung,-70.67627494456764
15,möch,-70.67627494456764
16,1,-70.13324299909667
17,zwar,-69.56971928209849
18,finden,-69.56971928209849
19,deshalb,-68.984521575985
20,Opfer,-68.984521575985
21,Aufgabe,-68.37637494021999
22,Kollege,-68.37637494021999
23,ich,-68.09836504958456
24,Seite,-67.7439024390244
25,—,-67.08561473369836
26,nehmen,-67.08561473369836
27,würd,-65.6850025947068
28,Weise,-65.6850025947068
29,Nr,-64.15989159891599
30,sehen,-64.15989159891599
31,Fall,-62.49290981281906
32,Unrecht,-62.49290981281906
33,etwa,-61.599883855981425
34,nationalsozialistisch,-61.599883855981425
35,Sinn,-61.599883855981425
36,jüdisch,-61.13723185424626
37,Drucksache,-60.66329565734683
38,einer,-60.66329565734683
39,regeln,-60.66329565734683
40,besonder,-59.67987804878049
41,Beratung,-59.67987804878049
42,Zeit,-59.169496758258724
43,eigen,-58.64602876797999
44,Lage,-57.55776636713737
45,Haus,-56.99186991869919
46,zweit,-56.41067897165458
47,viel,-56.41067897165458
48,ja,-55.81356498496492
49,sich,-55.52927725968435
50,Rückerstattung,-55.199864498644985
51,Bericht,-55.199864498644985
52,Erklärung,-53.919860627177705
53,glauben,-53.919860627177705
54,können,-52.56456241032999
55,beide,-52.564562410329984
56,vorlegen,-52.564562410329984
57,ander,-52.09490461241246
58,Europa,-51.1271249076127
59,Nationalsozialismus,-51.1271249076127
60,Zusammenhang,-51.1271249076127
61,gut,-50.37523452157598
62,Bestimmung,-49.59984756097561
63,Teil,-49.59984756097561
64,Möglichkeit,-49.59984756097561
65,Bundesjustizminister,-49.59984756097561
66,moralisch,-47.974036191974825
67,Äußerung,-46.239837398373986
68,1951,-46.239837398373986
69,wer,-46.239837398373986
70,ergeben,-46.239837398373986
71,hätten,-46.239837398373986
72,Staat,-45.87903093796038
73,allgemein,-44.386038687973084
74,betonen,-44.386038687973084
75,Juni,-44.386038687973084
76,auswärtig,-44.386038687973084
77,Nation,-44.386038687973084
78,französisch,-44.386038687973084
79,Ausland,-44.386038687973084
80,abgeben,-44.386038687973084
81,ziehen,-44.386038687973084
82,materiell,-44.386038687973084
83,Recht,-43.73936471922858
84,Grundgesetz,-42.39982578397212
85,öffentlich,-42.39982578397212
86,vertreten,-42.39982578397212
87,dies,-42.39982578397212
88,Ausdruck,-42.39982578397212
89,treffen,-42.39982578397212
90,oder,-41.19982215447155
91,auch,-41.16377054328483
92,man,-40.75410652065703
93,Schuld,-40.26648599819332
94,Punkt,-40.26648599819332
95,Bundesregierung,-40.26648599819332
96,Kemritz,-40.26648599819332
97,Verpflichtung,-40.26648599819332
98,Mächt,-40.26648599819332
99,jedoch,-40.26648599819332
100,was,-39.51981707317073
101,nämlich,-37.969043151969984
102,da,-37.969043151969984
103,6,-37.969043151969984
104,Schmid,-37.969043151969984
105,Präsident,-37.969043151969984
106,Anspruch,-37.969043151969984
107,meinen,-37.969043151969984
108,Mitglied,-37.969043151969984
109,Verträg,-37.969043151969984
110,groß,-37.163446309787766
111,darüb,-35.48780487804879
112,Vertragswerk,-35.48780487804879
113,Freiheit,-35.48780487804879
114,befassen,-35.48780487804879
115,individuell,-35.48780487804879
116,Fälle,-35.48780487804879
117,Meinung,-35.48780487804879
118,feststellen,-35.48780487804879
119,verschieden,-35.48780487804879
120,wir,-35.199804006968634
121,müssen,-33.90143942423031
122,Bundesrepublik,-33.35517032856279
123,Kommission,-32.79979674796748
124,November,-32.79979674796748
125,wenig,-32.79979674796748
126,Streitkräft,-32.79979674796748
127,Gesetzentwurf,-32.79979674796748
128,Sache,-32.79979674796748
129,Bundesverfassungsgericht,-32.79979674796748
130,leider,-32.79979674796748
131,wenn,-32.09242618741977
132,zu,-31.50748514696685
133,Bundeskanzler,-31.3700051894136
134,handeln,-31.3700051894136
135,dürfen,-30.879790940766547
136,Frau,-29.878048780487806
137,Parlament,-29.878048780487806
138,scheinen,-29.878048780487806
139,Kraft,-29.878048780487806
140,Grundlage,-29.878048780487806
141,2,-29.878048780487806
142,daran,-29.878048780487806
143,bekannt,-29.878048780487806
144,Reich,-29.878048780487806
145,Delegation,-29.878048780487806
146,bis,-29.878048780487788
147,um,-29.19393218322426
148,mit,-27.88270870513583
149,nicht,-27.67691129826095
150,aufnehmen,-26.690687361419073
151,Beschluß,-26.690687361419073
152,Reihe,-26.690687361419073
153,wo,-26.690687361419073
154,wichtig,-26.690687361419073
155,annehmen,-26.690687361419073
156,berücksichtigen,-26.690687361419073
157,vereint,-26.690687361419073
158,Ansicht,-26.690687361419073
159,gegenwärtig,-26.690687361419073
160,Haushaltsausschuß,-26.690687361419073
161,Anerkennung,-26.690687361419073
162,Vorlage,-26.690687361419073
163,jetzt,-26.690687361419073
164,wirklich,-26.690687361419073
165,Ausführung,-26.690687361419073
166,in,-25.880404091999043
167,sehr,-25.56285178236397
168,sagen,-24.399771341463413
169,bei,-24.399771341463403
170,tun,-24.10329985652798
171,noch,-23.85899717366273
172,gegenüb,-23.199767711962842
173,September,-23.199767711962842
174,bleiben,-23.199767711962842
175,schließlich,-23.199767711962842
176,anerkennen,-23.199767711962842
177,liegen,-23.199767711962842
178,nunmehr,-23.199767711962842
179,setzen,-23.199767711962842
180,Rahmen,-23.199767711962842
181,hinsichtlich,-23.199767711962842
182,sowjetisch,-23.199767711962842
183,Schäde,-23.199767711962842
184,Versuch,-23.199767711962842
185,Entwurf,-23.199767711962842
186,daß,-22.388497652582167
187,ein,-21.660210241269713
188,europäisch,-21.326591314693637
189,unter,-20.68172730907637
190,schaffen,-20.68172730907637
191,nun,-19.35975609756098
192,einmal,-19.35975609756098
193,weiter,-19.35975609756097
194,Behandlung,-19.35975609756097
195,Standpunkt,-19.35975609756097
196,schwierig,-19.35975609756097
197,daher,-19.35975609756097
198,treten,-19.35975609756097
199,Richter,-19.35975609756097
