,Wort,difference
3248,Name,9.963968957871396
3249,insbesondere,9.963968957871396
3250,schon,9.963968957871396
3251,finanziell,7.520325203252025
3252,angesichts,7.520325203252025
3253,vorhanden,7.520325203252025
3254,einheitlich,7.520325203252025
3255,tatsächlich,7.520325203252025
3256,Besatzungsstatut,7.520325203252025
3257,vergessen,7.520325203252025
3258,Schreiben,7.520325203252025
3259,Carlo,7.520325203252025
3260,schließen,7.520325203252025
3261,derjenige,7.520325203252025
3262,Erbe,7.520325203252025
3263,Satz,7.520325203252025
3264,Gericht,7.520325203252025
3265,gar,7.520325203252025
3266,Palästina,7.520325203252025
3267,israelisch,7.520325203252025
3268,verstehen,7.520325203252025
3269,besonders,7.520325203252025
3270,9,7.520325203252025
3271,international,7.520325203252025
3272,Zweifel,7.520325203252025
3273,Menschenrecht,7.520325203252025
3274,Beziehung,7.520325203252025
3275,bekennen,7.520325203252025
3276,übernommen,7.520325203252025
3277,eingehend,7.520325203252025
3278,lediglich,7.520325203252025
3279,4,7.520325203252025
3280,Westen,7.520325203252025
3281,legen,7.520325203252025
3282,Deutsche,7.520325203252024
3283,Welt,7.520325203252024
3284,Jahr,6.5059825126553115
3285,werden,6.19291378098966
3286,Partei,5.182926829268295
3287,jener,4.0519276160503495
3288,seit,4.0519276160503495
3289,drei,2.944992215879602
3290,Bundestag,2.076258104353212
3291,Länder,1.8613607188703476
3292,sollen,1.7084157328059673
3293,ihm,0.8003048780487864
3294,vornehmen,0.8003048780487786
3295,darstellen,0.8003048780487786
3296,Bereitschaft,0.8003048780487786
3297,etwas,0.8003048780487786
3298,Gewaltherrschaft,0.8003048780487786
3299,Annahme,0.8003048780487786
3300,unmöglich,0.8003048780487786
3301,Gleichberechtigung,0.8003048780487786
3302,klein,0.8003048780487786
3303,stattfinden,0.8003048780487786
3304,wirtschaftlich,0.8003048780487786
3305,Stellung,0.8003048780487786
3306,kurz,0.8003048780487786
3307,fest,0.8003048780487786
3308,durchaus,0.8003048780487786
3309,Vereinbarung,0.8003048780487786
3310,1950,0.8003048780487786
3311,Zeitpunkt,0.8003048780487786
3312,Osten,0.8003048780487786
3313,Wert,0.8003048780487786
3314,verlangen,0.8003048780487786
3315,folgender,0.8003048780487786
3316,arabisch,0.8003048780487786
3317,Mächte,0.8003048780487786
3318,behandeln,0.8003048780487786
3319,anders,0.8003048780487786
3320,verlieren,0.8003048780487786
3321,wörtlich,0.8003048780487786
3322,ebenfalls,0.8003048780487786
3323,erheben,0.8003048780487786
3324,rechtlich,0.8003048780487786
3325,enthalten,0.8003048780487786
3326,Verbindung,0.8003048780487786
3327,geschehen,0.8003048780487786
3328,machen,0.8003048780487751
3329,Deutschland,-0.3322828172101935
3330,Wäre,-1.2568442010950724
3331,sein,-1.3218068035943515
3332,Wahl,-2.254249815225413
3333,Ansprüch,-2.254249815225413
3334,wie,-2.2542498152254207
3335,uns,-2.9891802677425123
3336,Bundesgesetz,-5.129124820659959
3337,neben,-5.129124820659959
3338,begehen,-5.129124820659959
3339,eben,-5.129124820659959
3340,Februar,-5.129124820659959
3341,Bedenken,-5.129124820659959
3342,Leben,-5.129124820659959
3343,Kreis,-5.129124820659959
3344,Zustimmung,-5.129124820659959
3345,sowohl,-5.129124820659959
3346,Hand,-5.129124820659959
3347,Alliierte,-5.129124820659959
3348,tragen,-5.129124820659959
3349,erwarten,-5.129124820659959
3350,brauchen,-5.129124820659959
3351,außenpolitisch,-5.129124820659959
3352,vielmehr,-5.129124820659959
3353,daraus,-5.129124820659959
3354,Rechtsausschuß,-5.129124820659959
3355,zwischen,-5.129124820659968
3356,sondern,-5.129124820659977
3357,Vertrag,-6.953564727954975
3358,weil,-6.953564727954975
3359,über,-7.115949431745626
3360,überhaupt,-7.839721254355395
3361,durch,-8.58595832921893
