,Wort,difference
0,Kommunist,14415.243902439026
1,Kriegsvorbereitung,11189.634146341463
2,Erhöhung,8770.426829268292
3,adenauersch,7964.024390243902
4,Steuerbegünstigung,7964.024390243902
5,Westdeutschland,7964.024390243902
6,Adenauer,7964.024390243902
7,verschweigen,7964.024390243902
8,Besatzungstruppe,6351.219512195122
9,Kriegsverträg,6351.219512195122
10,Imperialist,6351.219512195122
11,Abzug,6351.219512195122
12,Schwindel,6351.219512195122
13,Schäffer,6351.219512195122
14,Sozialversicherungsträger,6351.219512195122
15,Adenauer-regime,6351.219512195122
16,Adenauer-politik,6351.219512195122
17,Strom,6351.219512195122
18,finanzieren,6351.219512195122
19,Schicht,6351.219512195122
20,blank,4738.414634146342
21,Aktualität,4738.414634146342
22,Wiederaufrüstung,4738.414634146342
23,Belegschaft,4738.414634146342
24,einreden,4738.414634146342
25,Riesenprofit,4738.414634146342
26,schönfärberisch,4738.414634146342
27,Freibeträg,4738.414634146342
28,Wasser,4738.414634146342
29,Gehälter,4738.414634146342
30,Plan,4738.414634146342
31,Jüdinn,4738.414634146342
32,Kaiser,4738.414634146342
33,Adenauer-regierung,4738.414634146342
34,Gas,4738.414634146342
35,Industrie,4738.414634146342
36,Geschäft,4738.414634146342
37,Terrororganisation,4738.414634146342
38,aufzeigen,4738.414634146342
39,Erzeugnis,4738.414634146342
40,Arbeitsteilung,4738.414634146342
41,Wahlgesetz,4738.414634146342
42,Frowein,4738.414634146342
43,Subvention,4738.414634146342
44,Monopolherr,4738.414634146342
45,Pfennig,4738.414634146342
46,gesteigert,4738.414634146342
47,ansteigen,4738.414634146342
48,37,4738.414634146342
49,Erwerbslose,4738.414634146342
50,Konsumbrot,4738.414634146342
51,Bergarbeiterwohnungsbau,4738.414634146342
52,Referat,4738.414634146342
53,Wohnungsbau,4738.414634146342
54,Steuersenkung,3932.0121951219508
55,Moskau,3932.0121951219508
56,westdeutsch,3932.0121951219508
57,Oberbürgermeist,3125.609756097561
58,Rechnungsjahr,3125.609756097561
59,Verständigung,3125.609756097561
60,verbrecherisch,3125.609756097561
61,Lehr,3125.609756097561
62,Kriegsfolgelast,3125.609756097561
63,Haushaltsplan,2722.4085365853657
64,betreiben,2588.008130081301
65,Ausbeutung,2319.207317073171
66,mehrfach,2319.207317073171
67,Masse,2319.207317073171
68,aufgestellt,2319.207317073171
69,fördern,2319.207317073171
70,verfassungswidrig,2319.207317073171
71,heilig,2319.207317073171
72,worum,2319.207317073171
73,ungeheuer,2319.207317073171
74,Vereinigung,2319.207317073171
75,nützen,2319.207317073171
76,ungenügend,2319.207317073171
77,eklatant,2319.207317073171
78,Lebensstandard,2319.207317073171
79,Republik,2050.4065040650407
80,Finanzierung,2050.4065040650407
81,Senkung,1916.0060975609756
82,Gemeinde,1835.3658536585367
83,Aufrüstung,1835.3658536585367
84,Bundesfinanzminister,1743.205574912892
85,Bundesrat,1512.8048780487811
86,Lücke,1512.8048780487807
87,denkend,1512.8048780487807
88,kulturell,1512.8048780487807
89,Notlage,1512.8048780487807
90,Betrieb,1512.8048780487807
91,Vorbereitung,1512.8048780487807
92,sichern,1512.8048780487807
93,sozialpolitisch,1512.8048780487807
94,jährlich,1512.8048780487807
95,Preis,1512.8048780487804
96,ständig,1512.8048780487804
97,Finanzminister,1512.8048780487804
98,sitzen,1512.8048780487804
99,Wohnung,1512.8048780487804
100,breit,1512.8048780487804
101,Verteidigung,1512.8048780487804
102,Milliarde,1297.7642276422766
103,einsetzen,1244.0040650406504
104,Familie,1190.2439024390244
105,Körperschaftsteuer,1190.2439024390244
106,Bevölkerung,1190.2439024390244
107,40,1190.2439024390244
108,Aufwendung,1109.6036585365855
109,Bundesanteil,1109.6036585365855
