,Wort,difference
0,es,-52.87503366549959
1,sich,-46.625486158773725
2,werden,-42.39269105724515
3,auf,-38.84398619424177
4,ich,-35.67391204448325
5,daß,-33.14707357260548
6,sie,-32.61769519591797
7,nicht,-14.539515858237417
8,haben,-10.382210461170745
9,sein,-7.391235312797718
10,zu,14.903467297084312
11,ihr,16.795994993742195
12,man,17.719283491716435
13,der,20.93246492697418
14,noch,22.563698450223292
15,dieser,26.46700094863805
16,um,39.82619118969136
17,er,44.577566618467266
18,über,48.17402349952368
19,oder,50.41908446163766
20,wenn,51.182633113727206
21,ein,54.08784261923858
22,von,67.08543463340398
23,mit,74.85114710413457
24,in,83.3311505078046
25,können,83.84554767533493
26,auch,86.1436170212766
27,und,86.78036827676556
28,als,90.91653027823244
29,Frage,102.6052974381242
30,geben,103.99300495482369
31,aus,115.03955756970582
32,kein,118.9924906132666
33,an,119.53055570076847
34,sagen,123.93217085266359
35,Ausschuß,125.62862669245652
36,deutsch,128.513903248626
37,durch,129.9843916865194
38,Volk,130.87580405739732
39,müssen,136.3728470111449
40,Gesetz,142.13803840166062
41,dann,150.27713212944755
42,machen,152.39812477461237
43,sollen,154.55537370430991
44,wir,157.86128764852168
45,Jahr,165.91945288753797
46,Abkommen,180.97149739060615
47,doch,186.37479541734862
48,wie,186.37479541734862
49,Wiedergutmachung,189.15513323693455
50,ander,189.15513323693455
51,gegen,191.98998748435548
52,„,194.8809774594481
53,Länder,197.82978723404264
54,so,200.8381689232753
55,—,200.8381689232753
56,nur,207.0410177670542
57,würd,213.50503919372903
58,schon,220.24708304735762
59,mein,229.09368755142827
60,sondern,234.6402103753288
61,ganz,238.44294003868475
62,Recht,238.44294003868475
63,kommen,238.44294003868475
64,tun,238.44294003868475
65,aber,242.33308877476153
66,Million,242.3330887747616
67,politisch,242.3330887747616
68,können,244.31189275611862
69,Art,246.313706086096
70,heute,250.3879849812266
71,nach,263.2070576024909
72,was,263.207057602491
73,Antrag,272.28723404255317
74,Zeit,272.28723404255317
75,sprechen,272.28723404255317
76,ihnen,276.9997306760033
77,ob,276.9997306760033
78,vor,281.8330605564649
79,Mensch,286.7919314727826
80,damit,291.88129899216136
81,Haus,291.88129899216136
82,Staat,291.88129899216136
83,stehen,297.10638297872345
84,hier,297.10638297872345
85,hoch,302.47268545140884
86,also,302.47268545140884
87,Herr,306.8712940355773
88,Regelung,307.98600990964735
89,wissen,307.98600990964735
90,dürfen,313.6524822695036
91,Fraktion,313.6524822695036
92,bis,319.4785735690741
93,Dm,319.4785735690741
94,glauben,319.4785735690741
95,mehr,325.47112462006083
96,gehen,344.522070498571
97,sehr,344.522070498571
98,bei,351.2572533849129
99,gut,351.25725338491304
100,Teil,358.1996726677578
101,Jude,358.1996726677578
102,Bundesregierung,362.94785580421126
103,unser,367.79547733095694
104,Zone,372.74569402228985
105,unter,372.74569402228985
106,ohne,372.74569402228985
107,weit,372.74569402228985
108,Bundesrepublik,380.37062457103644
109,einmal,380.37062457103644
110,nun,380.37062457103644
111,Israel,380.37062457103644
112,wer,388.2455528426927
113,stellen,388.2455528426927
114,Verhandlung,388.2455528426927
115,hätten,388.2455528426927
116,Problem,396.3829787234043
117,bereits,396.3829787234043
118,Gebiet,396.3829787234043
119,denn,404.79624954922474
120,Wort,404.79624954922474
121,wollen,409.11074740861983
122,Dr.,413.49963316214246
123,Grund,413.49963316214246
124,vielleicht,422.50839865621504
125,bestehen,422.50839865621504
126,damals,422.50839865621504
127,darauf,431.838905775076
128,lassen,431.838905775076
129,möch,441.5087040618957
130,Entschädigung,441.5087040618957
131,1,451.5366430260048
132,Vertrag,451.5366430260048
133,weil,451.5366430260048
134,jed,451.5366430260048
135,finden,461.94299478121235
136,zwischen,461.94299478121235
137,gewiß,461.94299478121235
138,müssen,461.94299478121235
139,zwar,461.94299478121235
140,da,461.94299478121235
141,Dame,467.29483282674784
142,Opfer,472.74959083469724
143,selbst,472.74959083469724
144,deshalb,472.74959083469724
145,neu,472.74959083469724
146,Aufgabe,483.97997496871096
147,Kollege,483.97997496871096
148,Wäre,483.97997496871096
149,letzt,483.97997496871096
150,Seite,495.6595744680853
151,ihm,495.6595744680853
152,Berlin,495.6595744680853
153,drei,507.8158923143726
154,handeln,520.4787234042553
155,Deutsche,533.6803983703034
156,Weise,533.6803983703034
157,erst,540.4941660947152
158,Deutschland,543.9562967222543
159,uns,547.4560592044403
160,jetzt,561.8439716312057
161,sehen,561.8439716312057
162,anderer,561.8439716312057
163,Nr,561.8439716312057
164,amerikanisch,576.8858800773695
165,Weg,576.8858800773695
166,bleiben,592.6274121721921
167,liegen,592.6274121721921
168,Unrecht,592.6274121721921
169,Fall,592.6274121721921
170,anerkennen,592.6274121721921
171,europäisch,609.1185410334347
172,nationalsozialistisch,609.1185410334347
173,etwa,609.1185410334347
174,dort,609.1185410334347
175,nichts,609.1185410334347
176,Bundestag,626.414115204982
177,regeln,626.414115204982
178,einer,626.414115204982
179,weiter,626.414115204982
180,Drucksache,626.414115204982
181,besonder,644.5744680851064
182,Beratung,644.5744680851064
183,einzeln,644.5744680851064
184,wieder,644.5744680851064
185,einig,644.5744680851064
186,Bund,644.5744680851064
187,solch,653.9994613520066
188,frei,663.6661211129298
189,groß,663.6661211129298
190,eigen,663.6661211129298
191,halten,663.6661211129298
192,erklärt,663.6661211129298
193,Abgeordnete,663.6661211129298
194,dadurch,683.7625979843227
195,immer,683.7625979843227
196,mir,683.7625979843227
197,gerade,683.7625979843227
198,Vertreter,683.7625979843227
199,bitten,683.7625979843227
