,Wort,difference
0,Atmosphäre,89248.93617021278
1,Zusammenleben,19755.31914893617
2,Ressentiment,19755.31914893617
3,Wiederholung,19755.31914893617
4,Unheil,19755.31914893617
5,Schandtat,19755.31914893617
6,Mitbürger,16918.84498480243
7,geordnet,14791.489361702128
8,freundschaftlich,14791.489361702128
9,friedlich,14791.489361702128
10,geschänden,14791.489361702128
11,Verhältniss,11813.191489361701
12,danken,11813.191489361701
13,Jahrzehnt,11813.191489361701
14,Schaden,11813.191489361701
15,Munition,9827.659574468085
16,meinetwegen,9827.659574468085
17,Aufenthalt,9827.659574468085
18,Rezept,9827.659574468085
19,unzureichend,9827.659574468085
20,demnach,9827.659574468085
21,Welthandel,9827.659574468085
22,Jahresfrist,9827.659574468085
23,Werterhöhung,9827.659574468085
24,Schrittmacher,9827.659574468085
25,vorbringen,9827.659574468085
26,fein,9827.659574468085
27,steigern,9827.659574468085
28,mahnen,9827.659574468085
29,bagatellisieren,9827.659574468085
30,teuer,9827.659574468085
31,abspielen,9827.659574468085
32,Merkmal,9827.659574468085
33,Bahn,9827.659574468085
34,eröffnen,9827.659574468085
35,heftig,9827.659574468085
36,Judensöldling,9827.659574468085
37,.da,9827.659574468085
38,ausschalten,9827.659574468085
39,H.,9827.659574468085
40,Frowein,9827.659574468085
41,Erhaltung,9827.659574468085
42,erstreben,9827.659574468085
43,mitunter,9827.659574468085
44,Löpelmann,9827.659574468085
45,Leid,9827.659574468085
46,Hohn,9827.659574468085
47,mohammedanisch,9827.659574468085
48,vollendet,9827.659574468085
49,Schwäch,9827.659574468085
50,vergeblich,9827.659574468085
51,Entschädigungsberechtigte,9827.659574468085
52,Rechtsempfinden,9827.659574468085
53,Belang,9827.659574468085
54,Konsolidierung,9827.659574468085
55,Sabotage,9827.659574468085
56,Verwirklichung,9827.659574468085
57,Termin,9827.659574468085
58,Staatsminister,9827.659574468085
59,zutreffend,9827.659574468085
60,Bergarbeiterverband,9827.659574468085
61,erschweren,9827.659574468085
62,Verletzung,9827.659574468085
63,einbauen,9827.659574468085
64,Erklären,9827.659574468085
65,erdenklich,9827.659574468085
66,68,9827.659574468085
67,Willensentscheidung,9827.659574468085
68,Geschäftshäuser,9827.659574468085
69,Lektüre,9827.659574468085
70,v.,9827.659574468085
71,Entschiedenheit,9827.659574468085
72,Gedächtnis,9827.659574468085
73,Opfergang,9827.659574468085
74,Information,9827.659574468085
75,Beweislast,9827.659574468085
76,verbleiben,9827.659574468085
77,zahlend,9827.659574468085
78,Stalingrad,9827.659574468085
79,150,9827.659574468085
80,In,9827.659574468085
81,Studium,9827.659574468085
82,Parallelfall,9827.659574468085
83,Herkunft,9827.659574468085
84,Staatsgebiet,9827.659574468085
85,Besatzungsbehörde,9827.659574468085
86,begeben,9827.659574468085
87,Emigrant,9827.659574468085
88,unruhig,9827.659574468085
89,Beruhigung,9827.659574468085
90,geäußern,9827.659574468085
91,Plätze,9827.659574468085
