,Wort,difference
12475,bedürfen,9.890630060539637
12476,selbstverständlich,9.890630060539637
12477,Prozeß,9.890630060539637
12478,September,9.890630060539637
12479,wissenschaftlich,9.890630060539637
12480,500,9.890630060539637
12481,Die-sen,9.890630060539637
12482,prüf,9.890630060539637
12483,Einflus,9.890630060539637
12484,Re-gierung,9.890630060539637
12485,Dielinke,9.890630060539637
12486,Abbas,9.890630060539637
12487,Unifil-einsatz,9.890630060539637
12488,Hinsicht,9.890630060539637
12489,Aufwertung,9.890630060539637
12490,Großbritannien,9.890630060539637
12491,Verant-wortung,9.890630060539637
12492,genehmigen,9.890630060539637
12493,Vorgehen,9.890630060539637
12494,führen,9.890630060539618
12495,einsetzen,9.641444958361536
12496,ändern,9.269779043248436
12497,Ägypte,9.269779043248436
12498,sein,8.914252293764726
12499,geführen,8.900624384318563
12500,verändert,8.900624384318563
12501,Botschaft,8.900624384318563
12502,eigentlich,8.591686442802759
12503,Bundestag,8.562073220429454
12504,eng,8.481775828994262
12505,wenn,8.326942620986086
12506,zweit,8.250471402919633
12507,deshalb,8.250471402919613
12508,ab,8.1697477105983
12509,Sinn,8.103790547360125
12510,stellen,8.075138601813501
12511,Gespräch,8.002474904860238
12512,Saudi-arabien,8.002474904860238
12513,stehen,7.8556183927518655
12514,Protest,7.448616059194305
12515,Rechnung,7.448616059194305
12516,palästinen-sisch,7.448616059194305
12517,Außen-politik,7.448616059194305
12518,Schwierigkeit,7.448616059194305
12519,Boden,7.448616059194305
12520,800,7.448616059194305
12521,Vorredner,7.448616059194305
12522,Abschluss,7.448616059194305
12523,hilfreich,7.448616059194305
12524,letz-t,7.448616059194305
12525,negativ,7.448616059194305
12526,Stadt,7.448616059194305
12527,wörtlich,7.448616059194305
12528,Studie,7.448616059194305
12529,Widerspruch,7.448616059194305
12530,Begriff,7.448616059194305
12531,beklagen,7.448616059194305
12532,entschieden,7.448616059194305
12533,Widerstand,7.448616059194305
12534,Typ,7.448616059194305
12535,stabilisieren,7.448616059194305
12536,Detail,7.448616059194305
12537,blicken,7.448616059194305
12538,Überlegung,7.448616059194305
12539,Zustimmung,7.448616059194305
12540,entziehen,7.448616059194305
12541,realistisch,7.448616059194305
12542,ei-nem,7.448616059194305
12543,Vertretung,7.448616059194305
12544,Die-se,7.448616059194305
12545,Beteiligung,7.448616059194305
12546,Kriterium,7.448616059194305
12547,Betroffene,7.448616059194305
12548,passen,7.448616059194305
12549,Verfolgung,7.448616059194305
12550,akzeptabel,7.448616059194305
12551,Begründung,7.448616059194305
12552,aufeinen,7.448616059194305
12553,streiten,7.448616059194305
12554,Bevölke-rung,7.448616059194305
12555,übernehmen,7.448616059194305
12556,global,7.448616059194305
12557,Wieczorek-zeul,7.448616059194305
12558,verlässlich,7.448616059194305
12559,Ichmöcht,7.448616059194305
12560,Verfügung,7.448616059194287
12561,Diebundesregierung,7.448616059194287
12562,einmal,7.072921597448863
12563,“,6.993325313180761
12564,anderer,6.939380911994325
12565,doch,6.878596875856381
12566,finden,6.59584926507372
12567,schon,6.314593726115746
12568,möglich,6.161806286030306
12569,mehr,6.1157610889943745
12570,Veränderung,6.034818479468074
12571,Bevölkerung,6.034818479468074
12572,enthalten,6.034818479468074
12573,ei-ner,6.034818479468074
12574,Staat,6.034818479468073
12575,damals,6.034818479468069
12576,lang,5.687163336912438
12577,Deutsche,5.687163336912438
12578,zweitens,5.687163336912438
12579,Anfang,5.687163336912438
12580,Schutz,5.529890772422979
12581,gar,5.529890772422979
12582,israelisch,5.495004858118052
12583,strategisch,5.112776579646584
12584,fortsetzen,5.112776579646584
12585,bekannt,5.112776579646584
12586,vermeiden,5.112776579646584
12587,Verfassung,5.112776579646584
12588,folgend,5.112776579646584
12589,schicken,5.112776579646584
12590,ehemalig,5.112776579646584
12591,sozusagen,5.112776579646584
12592,Erfahrung,5.112776579646584
12593,Halabdscha,5.112776579646584
12594,vorgehen,5.112776579646584
12595,verdienen,5.112776579646584
12596,zwei,4.716871583113093
12597,Frieden,4.716871583113093
12598,zitieren,4.657742914799649
12599,gehen,4.657742914799649
12600,ein,4.481847548556268
12601,vielleicht,4.463932279772251
12602,Minister,4.463932279772251
12603,Signal,4.288362645688584
12604,auf,4.28836264568858
12605,deutsch,4.206631953959989
12606,Antwort,3.9825316701880356
12607,stabil,3.982531670188035
12608,Ausdruck,3.982531670188035
12609,exportieren,3.982531670188035
12610,Indien,3.982531670188035
12611,An-trag,3.982531670188035
12612,Zuruf,3.982531670188035
12613,Rakete,3.982531670188035
12614,Küst,3.982531670188035
12615,beitragen,3.982531670188035
12616,Ganze,3.982531670188035
12617,sich,3.8269933798955647
12618,Eu,3.5055475799578217
12619,Chance,3.5055475799578217
12620,nur,3.489982835960836
12621,zwischen,3.4767800570061786
12622,Unterschied,3.315976979994532
12623,sehen,3.1729790879806865
12624,schauen,2.8763345247604972
12625,Konzept,2.8763345247604972
12626,erheblich,2.8763345247604972
12627,helfen,2.70823593893571
12628,iranisch,2.5645880565036547
12629,Frankreich,2.3320152944707724
12630,diskutieren,2.236556324979664
12631,nachhaltig,2.1518532957128915
12632,Sicht,1.7934257402893286
12633,lassen,1.579574005540816
12634,Iran,1.5520456657019348
12635,Rede,1.5262513945143055
12636,Israel,1.158111638007284
12637,vor,1.1476169693032863
12638,gut,1.1220083568672194
12639,verlieren,0.7330775554946676
12640,Angebot,0.7330775554946676
12641,beziehen,0.7330775554946676
12642,verfolgen,0.7330775554946635
12643,teilnehmen,0.7330775554946635
12644,auffordern,0.7330775554946635
12645,Zeichen,0.7330775554946635
12646,vereinigt,0.7330775554946635
12647,Herz,0.7330775554946635
12648,2008,0.7330775554946635
12649,merken,0.7330775554946635
12650,heraus,0.7330775554946635
12651,Beratung,0.7330775554946635
12652,In,0.7330775554946635
