,Wort,difference
10834,machen,9.9637528223818
10835,Kritik,9.844324364252675
10836,zumindest,9.844324364252675
10837,Sache,9.718211477496927
10838,weniger,9.718211477496927
10839,Außenpolitik,9.273407917453023
10840,oder,9.20142280024785
10841,deutsch,8.990169431404675
10842,Zurück,8.905483985071037
10843,lernen,8.905483985071035
10844,ergreifen,8.905483985071035
10845,etwas,8.905483985071035
10846,in-ternational,8.905483985071035
10847,Wille,8.905483985071035
10848,verstoßen,8.905483985071028
10849,Letztenwoche,8.905483985071028
10850,mittragen,8.905483985071028
10851,Daswar,8.905483985071028
10852,Ausgleich,8.905483985071028
10853,errei-ch,8.905483985071028
10854,Ausrichtung,8.905483985071028
10855,Weiche,8.905483985071028
10856,Agenda,8.905483985071028
10857,imgazastreifen,8.905483985071028
10858,Ansätz,8.905483985071028
10859,bedrohen,8.905483985071028
10860,Zusammenhänge,8.905483985071028
10861,Verhandlungslösung,8.905483985071028
10862,zwingen,8.905483985071028
10863,selbstverständ-lich,8.905483985071028
10864,Errichtung,8.905483985071028
10865,begrenzen,8.905483985071028
10866,bündel,8.905483985071028
10867,pflegen,8.905483985071028
10868,vonseiten,8.905483985071028
10869,Frie-de,8.905483985071028
10870,90er-jahr,8.905483985071028
10871,zulässig,8.905483985071028
10872,verdanken,8.905483985071028
10873,Verurteilung,8.905483985071028
10874,Ge-spräch,8.905483985071028
10875,11,8.905483985071028
10876,verhäl,8.905483985071028
10877,zwingend,8.905483985071028
10878,etablieren,8.905483985071028
10879,Technologie,8.905483985071028
10880,Beirut,8.905483985071028
10881,Lob,8.905483985071028
10882,ausdrück-lich,8.905483985071028
10883,langjährig,8.905483985071028
10884,Kohl,8.905483985071028
10885,Martin,8.905483985071028
10886,ausgebildet,8.905483985071028
10887,dassman,8.905483985071028
10888,begleiten,8.905483985071028
10889,dietürkei,8.905483985071028
10890,Ge-wesen,8.905483985071028
10891,hinwirken,8.905483985071028
10892,Strafe,8.905483985071028
10893,reagieren,8.905483985071028
10894,aufgeklärt,8.905483985071028
10895,Papier,8.905483985071028
10896,Sed,8.905483985071028
10897,lokal,8.905483985071028
10898,Ruprecht,8.905483985071028
10899,komplex,8.905483985071028
10900,Delegation,8.905483985071028
10901,Ermittlung,8.905483985071028
10902,Sicher-heitsrat,8.905483985071028
10903,si-cher,8.905483985071028
10904,Bevöl-kerung,8.905483985071028
10905,Ar-beit,8.905483985071028
10906,fraktionsübergreifend,8.905483985071028
10907,Übergabe,8.905483985071028
10908,Beurteilung,8.905483985071028
10909,freiwillig,8.905483985071028
10910,sozialistisch,8.905483985071028
10911,Afrika,8.905483985071028
10912,Verfassungsschutz,8.905483985071028
10913,plädieren,8.905483985071028
10914,Re-gio,8.905483985071028
10915,Dasthema,8.905483985071028
10916,Kandidat,8.905483985071028
10917,Rentenversicherung,8.905483985071028
10918,anschließend,8.905483985071028
10919,russisch,8.905483985071028
10920,wirk-lich,8.905483985071028
10921,Sudan,8.905483985071028
10922,soll-t,8.905483985071028
10923,Präsidentin,8.381899927450503
10924,konkret,8.198305517635506
10925,sogenannt,7.982556154689064
10926,viel,7.816429145220316
10927,legen,7.816429145220312
10928,nächst,7.577368326716475
10929,Name,7.577368326716475
10930,Antrag,7.237347468888325
10931,all,7.22743338437655
10932,wären,7.20383579780429
10933,folgen,7.20383579780429
10934,während,6.9253842762515365
10935,Bundeskanzlerin,6.9253842762515365
10936,hinzu,6.537973463656442
10937,legitim,6.537973463656442
10938,hinweg,6.537973463656442
10939,Bürgerinn,6.537973463656442
10940,mögen,6.537973463656442
10941,1997,6.537973463656442
10942,kommend,6.537973463656442
10943,internatio-nal,6.537973463656442
10944,Zweck,6.537973463656442
10945,einerseits,6.537973463656442
10946,Entscheidung,6.537973463656434
10947,geben,6.281255455310259
10948,Bündni,6.23996514627558
10949,Auffassung,5.962092526015046
10950,erfolgen,5.962092526015046
10951,Jahr,5.862052786092467
10952,Folge,5.554546016299619
10953,Anträg,5.554546016299619
10954,kurz,5.554546016299619
