,Wort,difference
0,Uno,-91.95123483943945
1,Streumunition,-86.58539139906576
2,rund,-85.4675073489879
3,unternehmen,-85.05229327324469
4,Drohne,-84.61265484010484
5,Begründung,-84.14637165344135
6,parlamentarisch,-83.1235569214053
7,endlich,-82.84689392011686
8,Kosovo,-82.56100881878548
9,Besatzung,-82.56100881878548
10,Kinder,-81.95966429529533
11,Modernisierung,-80.62334313198387
12,1997,-80.62334313198387
13,Akt,-80.62334313198387
14,Autonomiebehörd,-80.62334313198387
15,trotzdem,-80.25774583258733
16,Todesstrafe,-79.87808709859863
17,Geschäft,-79.87808709859863
18,Spd-fraktion,-79.87808709859863
19,Menschenrechtsverletzung,-79.87808709859863
20,Nuklearwaffe,-79.48353978680645
21,Höh,-79.07321058254259
22,Fatah,-79.07321058254259
23,sozusagen,-79.07321058254259
24,Staatsministerin,-79.07321058254259
25,Merkel,-78.20126102348185
26,Kommune,-78.20126102348185
27,zukünftig,-77.25348976363324
28,afghanisch,-77.25348976363324
29,Kontrolle,-77.25348976363324
30,regeln,-77.25348976363324
31,aufnehmen,-76.74801175838064
32,Linkspartei,-76.74801175838064
33,finanzieren,-76.21955748016201
34,Munition,-76.21955748016201
35,künftig,-75.66652393318903
36,taktisch,-75.08715545540782
37,Verhandlungslösung,-75.08715545540782
38,Forschung,-73.84151322817823
39,Datenschutz,-73.84151322817823
40,verlängern,-73.84151322817823
41,enden,-73.84151322817823
42,Mali,-73.84151322817823
43,Hisbollah,-72.46475076650339
44,Demonstrant,-72.46475076650337
45,Siedlung,-72.46475076650337
46,Muslim,-72.46475076650337
47,gesetzlich,-72.46475076650337
48,Stinner,-72.46475076650337
49,Cdu/csu-fraktion,-72.46475076650337
50,Vertrag,-72.46475076650337
51,Analyse,-72.46475076650337
52,islamisch,-72.46475076650337
53,Grundgesetz,-72.46475076650337
54,Polenz,-72.46475076650337
55,Auslandseinsätz,-72.46475076650337
56,vonder,-72.46475076650337
57,Bezug,-70.9350146979758
58,Patient,-70.93501469797579
59,Beschäftigung,-70.93501469797579
60,Versöhnung,-70.93501469797579
61,Konvention,-70.93501469797579
62,400,-70.93501469797579
63,Spanien,-70.93501469797579
