,Wort,difference
0,Nachhaltigkeit,-89.1849635670511
1,Beschneidung,-87.38245749489295
2,Kinder,-86.94736982230305
3,Roth,-86.48120445881388
4,Trittin,-86.23540817624685
5,Nahenosten,-85.44129710949186
6,Steinbrück,-85.44129710949186
7,überlegen,-84.2280718686162
8,christlich-liberal,-84.2280718686162
9,Dielinke,-84.2280718686162
10,Kommune,-84.2280718686162
11,Religionsfreiheit,-83.54233586290385
12,Qualität,-83.54233586290385
13,Wasser,-82.79426022030857
14,Globalisierung,-82.79426022030857
15,Staatsräso,-82.79426022030857
16,ausschließen,-82.79426022030857
17,Statut,-81.9749392784185
18,lehnen,-81.9749392784185
19,11,-81.9749392784185
20,einleiten,-81.07368624233943
21,atomar,-81.07368624233943
22,Betrieb,-81.07368624233943
23,14,-80.07756446562045
24,berechtigt,-80.07756446562045
25,Jüdinn,-80.07756446562045
26,dual,-80.07756446562045
27,römisch,-78.97076249148826
28,Vielzahl,-78.97076249148826
29,Nis,-78.97076249148826
30,zahlen,-78.97076249148826
31,lebensfähig,-77.73374852039933
32,Augsburg,-77.73374852039933
33,regieren,-77.73374852039933
34,Gruppierung,-77.73374852039933
35,Claudia,-77.73374852039933
36,umfassend,-76.82492192939522
37,Kleinwaffe,-76.34210780292429
38,ausbilden,-76.34210780292429
39,einseitig,-76.34210780292429
40,Ghetto,-76.34210780292429
41,Boden,-76.34210780292429
42,Bundesländer,-76.34210780292429
43,Jugendtourismus,-76.34210780292429
44,Überlegung,-76.34210780292429
45,blicken,-76.34210780292429
46,danke,-76.34210780292429
47,Nazi,-76.34210780292429
48,Rechnung,-76.34210780292429
49,selbstverständlich,-75.83874839447586
50,Griechenland,-75.31350379435577
51,Ddr,-74.76491498978591
52,mög-lich,-74.76491498978591
53,Konzern,-74.76491498978591
54,Arbeitnehmer,-74.76491498978591
55,International,-74.76491498978591
56,zusammenarbeiten,-74.76491498978591
57,Mittelpunkt,-74.76491498978591
58,verlassen,-74.76491498978591
59,unverzüglich,-74.76491498978591
60,100,-74.76491498978591
61,wei-ter,-74.76491498978591
62,vernichten,-74.76491498978591
63,Kosovo,-73.8947396446061
64,verfüg,-73.8947396446061
65,Anträge,-73.8947396446061
66,Jude,-73.71345311436032
67,Gesetzentwurf,-73.59119010558989
68,legen,-73.43675262082726
69,jüdisch,-73.28049822447919
70,gleichermaßen,-72.96240891762776
71,Grü-nen,-72.96240891762776
72,Vorsitz,-72.96240891762776
73,wei-t,-72.96240891762776
74,muslimisch,-72.96240891762776
75,Kampfdrohne,-72.96240891762776
76,Unifil-flottenverband,-72.96240891762776
77,unterstützt,-72.96240891762776
78,Klaus,-72.96240891762776
79,außerordentlich,-72.96240891762776
80,völkerrechtswidrig,-72.96240891762776
81,Er,-72.96240891762776
82,ermorden,-72.96240891762776
83,Definition,-72.96240891762776
84,ausgeführen,-72.96240891762776
85,Erklärt,-72.96240891762776
86,Zwei-staaten-regelung,-72.96240891762776
87,Künast,-72.96240891762776
88,entschließen,-72.96240891762776
89,Bahrain,-72.96240891762776
90,Gloser,-72.96240891762776
91,Cannabis,-72.96240891762776
92,voran,-72.96240891762776
93,Spd,-72.87433858836921
94,unterstüt-zen,-70.88259421898373
95,ausbauen,-70.88259421898373
96,unterscheiden,-70.88259421898373
97,bergen,-70.88259421898373
98,außen,-70.88259421898373
99,eventuell,-70.88259421898373
100,Weltkrieg,-70.88259421898373
101,Vertriebene,-70.88259421898373
102,sonstig,-70.88259421898373
103,Schuldenbremse,-70.88259421898373
104,Zweistaatenlösung,-70.88259421898373
105,bestimmen,-70.88259421898373
106,Evaluierung,-70.88259421898373
107,Freitag,-70.88259421898373
108,Aktionsplan,-70.88259421898373
109,Kreis,-70.88259421898373
110,Macht,-70.88259421898373
111,Leitlinie,-70.88259421898373
112,undein,-70.88259421898373
113,Renate,-70.88259421898373
114,vielfältig,-70.88259421898373
115,Anzahl,-70.88259421898373
116,Natur,-70.88259421898373
117,Aberwir,-70.88259421898373
118,jederzeit,-70.88259421898373
119,alt,-70.31166469386577
120,acht,-69.71789798774309
121,Todesstrafe,-69.71789798774309
122,Gysi,-69.30868039298285
123,Uno,-68.97325613498266
124,Unternehmen,-68.7813381316939
125,zwi-sch,-68.45614373723238
126,Tötung,-68.45614373723238
127,Barbie,-68.45614373723238
128,rücken,-68.45614373723238
129,Verträg,-68.45614373723238
130,anlegen,-68.45614373723238
131,Sitzung,-68.45614373723238
132,übergeben,-68.45614373723238
133,Gang,-68.45614373723238
134,Gerechtigkeit,-68.45614373723238
135,Residenzpflicht,-68.45614373723238
136,westlich,-68.45614373723238
137,Bewaffnung,-68.45614373723238
138,Jugendherberge,-68.45614373723238
139,abbauen,-68.45614373723238
140,Ethikrat,-68.45614373723238
141,Nordkorea,-68.45614373723238
142,150,-68.45614373723238
143,unverantwortlich,-68.45614373723238
144,umfassen,-68.45614373723238
145,Rechtsextremismen,-68.45614373723238
146,auchin,-68.45614373723238
147,Geber,-68.45614373723238
148,Heidemarie,-68.45614373723238
149,Aufbruch,-68.45614373723238
150,Beteili-gung,-68.45614373723238
151,Biobank,-68.45614373723238
152,Klima,-68.45614373723238
153,Rot-grün,-68.45614373723238
154,Krieg,-67.19438948672166
155,],-67.1865767669043
156,außerhalb,-67.08467172580771
157,reduzieren,-67.08467172580771
158,500,-67.08467172580771
159,Urteil,-67.08467172580771
160,beruflich,-65.58852044061713
161,Erler,-65.58852044061713
162,Priorität,-65.58852044061713
163,Bundes-wehr,-65.58852044061713
164,wobei,-65.58852044061713
165,Gaddafi,-65.58852044061713
166,verankern,-65.58852044061713
167,ausgerechnet,-65.58852044061713
168,Anforderung,-65.58852044061713
169,Iaeo,-65.58852044061713
170,Bundesverfassungsgericht,-65.58852044061713
171,Pflicht,-65.58852044061713
172,tätig,-65.58852044061713
173,nein,-65.58852044061713
174,zunehmend,-65.58852044061713
175,Bnd,-65.58852044061713
176,beson-der,-65.58852044061713
177,Bekenntnis,-65.58852044061713
178,Straflosigkeit,-65.58852044061713
179,Wohlstand,-65.58852044061713
180,speziell,-65.58852044061713
181,Ausgestaltung,-65.58852044061713
182,streng,-65.58852044061713
183,Diplomat,-65.58852044061713
184,Korruptionsregister,-65.58852044061713
185,Eichmann,-65.58852044061713
186,zivil,-65.58852044061713
