,Wort,difference
0,Spd-bundestagsfraktion,4820.841576991749
1,Ebwe,3685.262751532114
2,Dsf,3306.736476378903
3,Medizinprodukt,2549.6839260724796
4,Widersprüch,2549.6839260724796
5,Implantat,2549.6839260724796
6,Wel,2549.6839260724796
7,Konfliktforschung,2549.6839260724796
8,Volksaufstände,2171.1576509192687
9,Sderot,2171.1576509192687
10,Lämmel,2171.1576509192687
11,Abriegelung,2171.1576509192687
12,Politikerin,2171.1576509192687
13,interpretieren,2171.1576509192687
14,Europapolitik,2171.1576509192687
15,lebensdauerverlängert,1792.631375766057
16,Durchschlagskraft,1792.631375766057
17,Aufenthg,1792.631375766057
18,Zielgenauigkeit,1792.631375766057
19,b61,1792.631375766057
20,aidsfrei,1792.631375766057
21,Re-form,1792.631375766057
22,Grindel,1792.631375766057
23,Grossman,1792.631375766057
24,Strategischenkonzept,1792.631375766057
25,vertun,1792.631375766057
26,Komplettversage,1792.631375766057
27,syri-sch,1792.631375766057
28,derb61,1792.631375766057
29,Spracherwerb,1792.631375766057
30,Schönheitsoperation,1792.631375766057
31,Menschenfeindlichkeit,1792.631375766057
32,taktisch,1603.3682381894514
33,Verlautbarung,1414.1051006128455
34,Verändert,1414.1051006128455
35,Diespd-bundestagsfraktion,1414.1051006128455
36,Militäroperation,1414.1051006128455
37,Urangeschoß,1414.1051006128455
38,derzeitkein,1414.1051006128455
39,Ver-änderung,1414.1051006128455
40,Posturereview,1414.1051006128455
41,Rüstungs-kontroll,1414.1051006128455
42,1963,1414.1051006128455
43,je-doch,1414.1051006128455
44,wahrnehmbar,1414.1051006128455
45,Herrscherhaus,1414.1051006128455
46,dertaktisch,1414.1051006128455
47,Re-gion,1414.1051006128455
48,Gasp/gsvp,1414.1051006128455
49,Deterrence,1414.1051006128455
50,Ta-gen,1414.1051006128455
51,Ängst,1414.1051006128455
52,Dermissio,1414.1051006128455
53,Türke,1414.1051006128455
54,Nichtvon,1414.1051006128455
55,wollensie,1414.1051006128455
56,Staatsgründung,1414.1051006128455
57,Wende,1414.1051006128455
58,Personen-verkehr,1414.1051006128455
59,Tusk,1414.1051006128455
60,derihr,1414.1051006128455
61,Beitrittsprozeß,1414.1051006128455
62,Epos,1414.1051006128455
63,Spd-bun-destagsfraktion,1414.1051006128455
64,aufstoßen,1414.1051006128455
65,Kinderwunsch,1414.1051006128455
66,Uranmenge,1414.1051006128455
67,isteinfach,1414.1051006128455
68,essen,1414.1051006128455
69,Machtwechsel,1414.1051006128455
70,schwieri-g,1414.1051006128455
71,Development,1414.1051006128455
72,Fehlerquote,1414.1051006128455
73,Blockadehaltung,1414.1051006128455
74,zu-künftig,1414.1051006128455
75,Dieposition,1414.1051006128455
76,Unterschrift,1414.1051006128455
77,Überlegenheit,1414.1051006128455
78,Gfk-flüchtling,1414.1051006128455
79,Golfkrieg,1414.1051006128455
80,minus,1414.1051006128455
81,Sicherheitsratsresolution,1414.1051006128455
82,Entwicklungschance,1414.1051006128455
83,Justizvollzug,1414.1051006128455
84,Legitima-tion,1414.1051006128455
85,vorsechs,1414.1051006128455
86,sichnoch,1414.1051006128455
87,wasich,1414.1051006128455
