,Wort,difference
0,Jüdinn,-96.37231481595205
1,Kollegin,-91.24642090160123
2,Soldatin,-89.93921975624036
3,stark,-89.22059259597182
4,Partner,-88.73793256295563
5,Herausforderung,-88.56729517754586
6,Bereich,-88.21002315184417
7,Bürgerinn,-87.21087257149199
8,gemeinsam,-86.42880362802207
9,stärken,-86.02669410588938
10,Stärker,-81.13603704295066
11,Ausdruck,-80.14319688731649
12,Zusammenarbeit,-79.87843951248071
13,Stabilität,-79.60652653291963
14,Grundlage,-79.60652653291963
15,Kunst,-79.60652653291963
16,Strategie,-77.80710240347136
17,nötig,-77.80710240347136
18,Zivilgesellschaft,-77.80710240347136
19,Mitte,-77.80710240347136
20,Menschenrecht,-77.1345903550917
21,Studierende,-77.1345903550917
22,Einsatz,-76.60283664241942
23,deswegen,-76.54222222957596
24,froh,-76.42004630368832
25,Debatte,-76.42004630368832
26,Zeichen,-76.42004630368832
27,Verpflichtung,-76.42004630368832
28,dramatisch,-75.65940263606537
29,nachhaltig,-75.65940263606537
30,deutlich,-75.52783183950356
31,Herz,-74.84804939060088
32,Austausch,-74.84804939060088
33,Definition,-74.84804939060088
34,Initiative,-74.84804939060088
35,dankbar,-74.84804939060088
36,Bekenntnis,-74.84804939060088
37,Reform,-74.84804939060088
38,sichern,-73.98074074889747
39,Angriffskrieg,-73.98074074889747
40,manchmal,-73.98074074889747
41,vereint,-73.98074074889747
42,möch,-73.67819122272186
43,Signal,-73.52426251642198
44,verschieden,-73.05148148992951
45,geehrter,-73.05148148992951
46,gerade,-72.72680054402505
47,insgesamt,-72.56150842611005
48,missbrauchen,-72.05338821177875
49,mittler,-72.05338821177875
50,wichtig,-71.29396941318579
51,Thema,-70.9785185276164
52,wirksam,-70.9785185276164
53,Drohne,-70.9785185276164
54,Schritt,-70.40946987129516
55,Freundschaft,-70.40946987129516
56,deshalb,-70.25038099963544
57,herzlich,-70.11649432546639
58,Regel,-69.81765926872106
59,Krise,-69.20169313134801
60,verschleppen,-68.5600617382511
61,Entscheidung,-68.5600617382511
62,kommend,-68.5600617382511
63,Tag,-68.29586057638765
64,Demokratin,-67.19310790078377
65,Demokrat,-67.19310790078377
66,umfassend,-67.19310790078377
67,Pflicht,-67.19310790078377
68,Fortschritt,-67.19310790078377
69,Beitrag,-66.83259260299018
70,lieb,-66.78044259135966
71,ansprechen,-66.71065360520704
72,demokratisch,-66.6124549432755
73,Außenministerin,-66.4640658541345
74,diskutieren,-66.4640658541345
75,notwendig,-66.08725760530457
76,jeglich,-65.70188553263758
77,Gelegenheit,-65.70188553263758
78,Aspekt,-65.70188553263758
79,Dimension,-65.70188553263758
80,entschlossen,-65.70188553263758
81,Sicherheitsbehörde,-65.70188553263758
82,lebendig,-65.70188553263758
83,Demokratie,-65.70188553263756
84,klar,-65.59763594459088
85,mir,-65.47771484984435
86,ob,-65.44006786494778
87,Vergangenheit,-64.90425496362914
88,betreffen,-64.90425496362914
89,schützen,-64.63006945553249
90,Schutz,-64.40761706217106
91,voranbringen,-64.06864198657269
92,Beratung,-64.06864198657269
93,ehemalig,-64.06864198657269
94,Idee,-64.06864198657269
95,Kommission,-64.06864198657269
96,leiten,-64.06864198657269
97,zudem,-64.06864198657269
98,engagieren,-64.06864198657269
99,unmittelbar,-64.06864198657269
100,parlamentarisch,-64.06864198657269
101,Zeitenwende,-64.06864198657269
102,verlässlich,-64.06864198657269
103,selber,-64.06864198657269
104,ich,-63.53434670012767
105,Meinung,-63.19226740087935
106,Diskussion,-63.19226740087935
107,Leid,-62.645617906832996
108,Kommune,-62.27207408590134
109,wirtschaftlich,-62.27207408590134
110,Schuldenbremse,-62.27207408590134
111,Entwicklungszusammenarbeit,-62.27207408590134
112,Verfahren,-62.27207408590134
113,Ihra-definition,-62.27207408590134
114,Premierminister,-62.27207408590134
115,maßgeblich,-62.27207408590134
116,Huthi,-62.27207408590134
117,Überzeugung,-62.27207408590134
118,Freundin,-62.27207408590134
119,fest,-62.27207408590133
120,daran,-61.794505403444376
121,treffen,-61.63261771447593
122,Investition,-60.28639377463298
123,überzeugen,-60.28639377463298
124,voll,-60.28639377463298
125,Verständigung,-60.28639377463298
126,1938,-60.28639377463298
127,entwickeln,-60.28639377463298
128,Engagement,-60.28639377463298
