,Wort,difference
0,links-grün,5936.468146255787
1,Usw,5181.909627973814
2,Zionismus,4427.351109691841
3,postkolonialistisch,4427.351109691841
4,Schaufenster,4427.351109691841
5,Opferschutz,4427.351109691841
6,Weber,4427.351109691841
7,Woke,3672.7925914098682
8,Max,3672.7925914098682
9,Atomabkommen,3672.7925914098682
10,Christenfeindlichkeit,3672.7925914098682
11,Postkolonialismus,3295.5133322688807
12,Vordenker,2918.234073127894
13,Streichung,2918.234073127894
14,Friedensinitiative,2918.234073127894
15,Schröter,2918.234073127894
16,Nachhaltigkeitsstrategie,2918.234073127894
17,geschwängert,2918.234073127894
18,Berufsqualifikation,2918.234073127894
19,rekrutieren,2918.234073127894
20,Ströme,2918.234073127894
21,protestieren,2918.234073127894
22,Stgb,2918.234073127894
23,Flugzeugentführung,2918.234073127894
24,#,2918.234073127894
25,Vertrag,2918.234073127894
26,progressiv,2918.234073127894
27,Kapazitäte,2918.234073127894
28,qualifizieren,2918.234073127894
29,Mosebach,2918.234073127894
30,Hochqualifizierte,2918.234073127894
31,Kühnert,2918.234073127894
32,Gazabevölkerung,2918.234073127894
33,Sozialsystem,2918.234073127894
34,Grütter,2918.234073127894
35,Bündnisverteidigung,2918.234073127894
36,Nachweis,2918.234073127894
37,Özoğuz,2540.9548139869075
38,Henryk,2163.6755548459205
39,Ausbildungsmission,2163.6755548459205
40,Judenfeind,2163.6755548459205
41,kulturmarxistisch,2163.6755548459205
42,irdisch,2163.6755548459205
43,linksradikal,2163.6755548459205
44,Achill,2163.6755548459205
45,zutreffend,2163.6755548459205
46,eignen,2163.6755548459205
47,Kriegsgrund,2163.6755548459205
48,Broder,2163.6755548459205
49,missionarisch,2163.6755548459205
50,absagen,2163.6755548459205
51,Übermacht,2163.6755548459205
52,"1,6",2163.6755548459205
53,Israel-boykottbewegung,2163.6755548459205
54,früherer,2163.6755548459205
55,Correctiv,2163.6755548459205
56,Kontinuum,2163.6755548459205
57,Rückgang,2163.6755548459205
58,Gräuel,2163.6755548459205
59,Boykottbewegung,2163.6755548459205
60,Verkehr,2163.6755548459205
61,Un-charta,2163.6755548459205
62,Pressler,2163.6755548459205
63,Motivation,2163.6755548459205
64,Biologie,2163.6755548459205
65,einlaufend,2163.6755548459205
66,1949,2163.6755548459205
67,beilegen,2163.6755548459205
68,halbherzig,2163.6755548459205
69,erträglich,2163.6755548459205
70,Blume,2163.6755548459205
71,verschenken,2163.6755548459205
72,Ministerebene,2163.6755548459205
73,Gutachten,2163.6755548459205
74,erzwingen,2163.6755548459205
75,Märtyrer,2163.6755548459205
76,Islamkonferenz,2163.6755548459205
77,ideell,2163.6755548459205
78,simpel,2163.6755548459205
79,Markt,2163.6755548459205
80,Affäre,2163.6755548459205
81,Gehaltsgrenze,2163.6755548459205
82,Austauschstudent,2163.6755548459205
83,relativierend,2163.6755548459205
84,Genderirrsin,2163.6755548459205
85,heimreisen,2163.6755548459205
86,Logistik,2163.6755548459205
87,Islamverharmloser,2163.6755548459205
88,bejubelt,2163.6755548459205
89,Überflüg,2163.6755548459205
90,Barack,2163.6755548459205
91,Schuldenproblem,2163.6755548459205
92,Faz,2163.6755548459205
93,Lindh,2163.6755548459205
94,"8,3",2163.6755548459205
95,Hamasführung,2163.6755548459205
96,Müssen,2163.6755548459205
97,schwanger,2163.6755548459205
98,Überlegenheit,2163.6755548459205
99,Klub,2163.6755548459205
100,rausschmeißen,2163.6755548459205
101,Leidtragende,2163.6755548459205
102,Pässe,2163.6755548459205
103,Politisierung,2163.6755548459205
104,fliehend,2163.6755548459205
105,Jamshid,2163.6755548459205
106,Beeinflussung,2163.6755548459205
107,extra,2163.6755548459205
108,Gebein,2163.6755548459205
109,Anwesenheit,2163.6755548459205
110,Röttgen,2163.6755548459205
111,herausfinden,2163.6755548459205
112,zumuten,2163.6755548459205
113,Rozwaski,2163.6755548459205
114,Staatsferne,2163.6755548459205
115,Völkerrechtsexperte,2163.6755548459205
116,Prüfauftrag,2163.6755548459205
117,Hamasüberfall,2163.6755548459205
118,Schmidt,2163.6755548459205
119,Verkauf,2163.6755548459205
120,Woken,2163.6755548459205
121,Istanbul,2163.6755548459205
122,Mitbestimmung,2163.6755548459205
123,erziehen,2163.6755548459205
124,Millionenzahlung,2163.6755548459205
125,Gender-gaga,2163.6755548459205
126,pünktlich,2163.6755548459205
127,Z,2163.6755548459205
128,unwirksam,2163.6755548459205
129,abwarten,2163.6755548459205
130,72,2163.6755548459205
131,Obama,2163.6755548459205
132,stiften,2163.6755548459205
133,Kampfauftrag,2163.6755548459205
134,toxisch,2163.6755548459205
135,Variante,2163.6755548459205
136,Halbzeitbericht,2163.6755548459205
137,Feminismus,2163.6755548459205
138,verwoben,2163.6755548459205
139,Ursprung,2163.6755548459205
140,Abdel-samad,2163.6755548459205
141,Gesetzentwürf,2163.6755548459205
142,Agitation,2163.6755548459205
143,frauenfeindlich,2163.6755548459205
144,Haushaltsloch,2163.6755548459205
145,Wohl,2163.6755548459205
146,B.,2163.6755548459205
147,Zeitgeist,2163.6755548459205
148,Ns-verbrechen,2163.6755548459205
149,Juso,2163.6755548459205
150,Immunität,2163.6755548459205
151,deutschfeindlich,2163.6755548459205
152,Sprachkenntnis,2163.6755548459205
153,ökosozialistisch,2163.6755548459205
154,Migrationsbekämpfung,2163.6755548459205
155,Klientelpolitik,2163.6755548459205
156,Islamexperte,2163.6755548459205
157,Mbembe,2163.6755548459205
158,Claudia,2163.6755548459205
159,Terrorband,2163.6755548459205
160,Ach,2163.6755548459205
161,ohrenbetäubend,2163.6755548459205
162,Aufträg,2163.6755548459205
163,Knabe,2163.6755548459205
164,Meinungsvielfalt,2163.6755548459205
165,pathetisch,2163.6755548459205
166,Keeping,2163.6755548459205
167,Christenverfolgung,2163.6755548459205
168,Berlin-neuköll,2163.6755548459205
169,monumental,2163.6755548459205
170,hauptsächlich,2163.6755548459205
171,Fenster,2163.6755548459205
172,Bombenanschläg,2163.6755548459205
173,Chaim,2163.6755548459205
174,Susanne,2163.6755548459205
175,Nato-mitgliedschaft,2163.6755548459205
176,Kolonialmacht,2163.6755548459205
177,Postkolonialist,2163.6755548459205
178,stufen,2163.6755548459205
179,Kriegsflüchtling,2163.6755548459205
180,unerwünscht,2163.6755548459205
181,Fliege,2163.6755548459205
182,2008,2163.6755548459205
183,Tatbestände,2163.6755548459205
184,gesichtswahrend,2163.6755548459205
185,Ausspruch,2163.6755548459205
186,Schwesterorganisation,2163.6755548459205
187,entfallen,2163.6755548459205
188,Härte,2163.6755548459205
189,universität,2163.6755548459205
190,Sharmahd,2163.6755548459205
191,Islamophobie,2163.6755548459205
192,Kerntatbestand,2163.6755548459205
193,Berufserfahrung,2163.6755548459205
194,wertegeleitet,2163.6755548459205
195,grün,1912.1560487519291
196,Rücktritt,1786.396295704934
197,Moslem,1786.396295704934
198,repräsentieren,1786.396295704934
199,"2,5",1786.396295704934
