,Wort,difference
0,haben,-84.69337722329111
1,Israel,-71.98809879886025
2,es,-68.77697841726619
3,wir,-65.9636780974039
4,auch,-55.840187949295604
5,Deutschland,-53.22251334133667
6,bei,-43.43988726544537
7,wenn,-41.27780344531714
8,sein,-36.55674579279307
9,all,-34.01320180968628
10,unser,-33.09352517985612
11,sagen,-32.02775832431399
12,geben,-31.664917176579017
13,vor,-31.2981814905857
14,Mensch,-30.67812897696283
15,kein,-28.880895283772983
16,uns,-28.216230753714783
17,Kollege,-23.649470085959067
18,dass,-23.497377396887277
19,deutsch,-20.15734605662662
20,aber,-17.76377613112936
21,Hamas,-17.410071942446038
22,wollen,-17.232076407839244
23,alle,-17.053311994033283
24,jetzt,-15.78000757288905
25,und,-15.34318188602645
26,Kollegin,-11.714214835028526
27,machen,-11.101119104716217
28,wie,-8.561151079136685
29,jüdisch,-7.011340080477986
30,nicht,-6.74036778348085
31,gehen,-4.466874261784597
32,zu,-1.9672838627630023
33,in,-0.883560185574864
34,sich,-0.7640399308460246
35,wer,0.01124100719424909
36,wichtig,0.7987310938650656
37,gut,4.076738609112718
38,durch,5.506364139457669
39,denn,6.089272228625946
40,Jude,7.57511637748625
41,mit,10.547831165119694
42,klar,11.965937454118338
43,ich,13.82429326248544
44,müssen,14.468901778726059
45,lieb,16.02512551892022
46,sehr,17.444393109365713
47,stehen,18.89881283827427
48,der,22.778256943105596
49,sondern,23.88489208633094
50,werden,23.942008219150818
51,dieser,24.228380696551806
52,Staat,26.746919296246173
53,er,27.16661108199534
54,seit,28.44253025673107
55,weil,28.873545458934878
56,deshalb,32.88690846630654
57,gemeinsam,36.1855196693709
58,Dafür,39.14607444479201
59,„,40.16173922176128
60,schon,40.16173922176128
61,Libanon,41.71334519100586
62,müssen,41.71334519100586
63,damit,42.23820943245404
64,gegen,42.50210221433243
65,tun,43.299688607323105
66,Leben,44.37712987504734
67,können,45.470896010464365
68,Sicherheit,45.470896010464365
69,da,48.27921446626483
70,jed,49.43313831425134
71,gerade,49.43313831425134
72,–,50.310436582241074
73,brauchen,50.60516292848073
74,Jahr,50.90104733502001
75,Tag,55.48306294235866
76,letzt,56.752312435765674
77,ein,59.68530788674676
78,von,60.01798561151081
79,auf,60.129186435424295
80,Bundesregierung,62.0435297331755
81,ander,64.1210108836008
82,ihnen,65.53584718432151
83,dazu,65.53584718432151
84,um,66.73364636799967
85,über,66.97528933375041
86,nach,69.18201121921845
87,hier,73.77518799440088
88,aus,75.6294964028777
89,Land,75.76346245657938
90,Verantwortung,76.97841726618704
91,geehrt,77.79776179056756
92,Seite,78.62472812447717
93,Krieg,82.87769784172663
94,Oktober,84.63613724405093
95,Jüdinn,84.63613724405093
96,Regierung,85.52809925972268
97,antisemitisch,86.42872110078929
98,Hisbollah,86.42872110078929
99,viel,89.80716579948562
100,Welt,91.0662514764308
101,stellen,91.0662514764308
102,sehen,94.94576927290657
103,politisch,95.94039054470711
104,noch,96.60912907898938
105,immer,97.45149895507761
106,sprechen,100.0224820143885
107,europäisch,100.0224820143885
108,Länder,101.06972014011828
109,Frage,102.12798182506629
110,Region,103.19744204636292
111,dabei,105.37067672065558
112,zeigen,107.5909002527708
113,wieder,107.5909002527708
114,sollen,112.17854445725189
115,sie,115.3915678449949
116,finden,116.97353981221805
117,möch,116.97353981221805
118,natürlich,120.71446291242869
119,können,121.56336469286113
