,Wort,difference
0,Unterzeichner,115112.94964028778
1,Döring,57506.47482014389
2,Staatssekretäri,51105.75539568346
3,daraufhin,28703.23741007195
4,Hut,25502.877697841726
5,Erlaubnis,25502.877697841726
6,Verengung,25502.877697841726
7,Protestcamp,25502.877697841726
8,ebendieser,25502.877697841726
9,freiwillig,25502.877697841726
10,Anschlus,22942.589928057558
11,Vorgänge,22942.589928057558
12,Fu,19102.158273381297
13,Irrsinn,19102.158273381297
14,Regierungspolitik,19102.158273381297
15,erleichtern,19102.158273381297
16,Bildungsministerin,19102.158273381297
17,Stand,19102.158273381297
18,Bildungsministerium,19102.158273381297
19,Strafgerichtshof,19102.158273381297
20,Protestierende,19102.158273381297
21,aufsetzen,19102.158273381297
22,ausgestalten,15261.726618705037
23,entgegenwirken,15261.726618705037
24,ausgeüb,15261.726618705037
25,untersagen,15261.726618705037
26,erweisen,15261.726618705037
27,Gut,15261.726618705037
28,Netanjahu-regierung,15261.726618705037
29,dagewesen,15261.726618705037
30,Akt,15261.726618705037
31,Verzerrung,12701.438848920863
32,Rezept,12701.438848920863
33,sensibel,12701.438848920863
34,Al-quds-tag,12701.438848920863
35,wiederbeleben,12701.438848920863
36,womöglich,12701.438848920863
37,Kindertagesstätt,12701.438848920863
38,Europe,12701.438848920863
39,Klaus-peter,12701.438848920863
40,Termin,12701.438848920863
41,Drogenproblem,12701.438848920863
42,körperlich,12701.438848920863
43,Standing,12701.438848920863
44,Mehrwert,12701.438848920863
45,Pässe,12701.438848920863
46,Ausnahmesituation,12701.438848920863
47,arbeitend,12701.438848920863
48,Hohn,12701.438848920863
49,heil,12701.438848920863
50,Belang,12701.438848920863
51,vergeblich,12701.438848920863
52,Sky,12701.438848920863
53,kaputtmachen,12701.438848920863
54,herausgreifen,12701.438848920863
55,vorläufig,12701.438848920863
56,ausgewogen,12701.438848920863
57,Erinnerungsarbeit,12701.438848920863
58,Krisenregion,12701.438848920863
59,Beweislast,12701.438848920863
60,einholen,12701.438848920863
61,Gotteshäus,12701.438848920863
62,Jamshid,12701.438848920863
63,feinsinnig,12701.438848920863
64,Strecke,12701.438848920863
65,tiefsitzend,12701.438848920863
66,"8,3",12701.438848920863
67,Glückwünsch,12701.438848920863
68,Terrorakte,12701.438848920863
69,Finanzplan,12701.438848920863
70,Ministerebene,12701.438848920863
71,Grün,12701.438848920863
72,Menschheitsfrage,12701.438848920863
73,Deportation,12701.438848920863
74,Unterausschüsse,12701.438848920863
75,simpel,12701.438848920863
76,Kriegsgrund,12701.438848920863
77,lostreten,12701.438848920863
78,anschlussfähig,12701.438848920863
79,Winterpaket,12701.438848920863
80,Schwierigkeit,12701.438848920863
81,Vorbehalt,12701.438848920863
82,unstrittig,12701.438848920863
83,zusammenzuführen,12701.438848920863
84,Innehalten,12701.438848920863
85,Nullsummendenke,12701.438848920863
86,unbürokratisch,12701.438848920863
87,wandeln,12701.438848920863
88,Kokain,12701.438848920863
89,But,12701.438848920863
90,Correctiv,12701.438848920863
91,zurechnen,12701.438848920863
92,Lemgo,12701.438848920863
93,einfallen,12701.438848920863
94,Guerillakrieg,12701.438848920863
95,multipolar,12701.438848920863
96,Armutsbekämpfung,12701.438848920863
97,Shai,12701.438848920863
98,Vereinsrecht,12701.438848920863
99,formuliert,12701.438848920863
100,Schulzeit,12701.438848920863
101,Jugendgruppe,12701.438848920863
102,beunruhigen,12701.438848920863
103,streben,12701.438848920863
104,738,12701.438848920863
105,deuten,12701.438848920863
106,morgens,12701.438848920863
107,ursprünglich,12701.438848920863
108,Postcolonial,12701.438848920863
109,zunächsen,12701.438848920863
110,arm,12701.438848920863
111,hochhalten,12701.438848920863
112,Planungsbeschleunigung,12701.438848920863
113,Wiederaufbaukonferenz,12701.438848920863
114,Spendenverein,12701.438848920863
115,Jouanna,12701.438848920863
116,Mitbestimmung,12701.438848920863
117,Auszeichnung,12701.438848920863
118,Ursprung,12701.438848920863
119,Eu-mitglied,12701.438848920863
120,Entführer,12701.438848920863
121,zuspitzen,12701.438848920863
122,Bundesverteidigungsminister,12701.438848920863
123,konfliktreich,12701.438848920863
124,Kriegsgeschehen,12701.438848920863
125,Migrantin,12701.438848920863
126,geschänden,12701.438848920863
127,Meinungsbildung,12701.438848920863
128,Handlungsmöglichkeit,12701.438848920863
129,einstufen,12701.438848920863
130,Entschuldigung,12701.438848920863
131,mandatieren,12701.438848920863
132,Menschenhandel,12701.438848920863
133,Klub,12701.438848920863
134,kompliziert,12701.438848920863
135,vollumfänglich,12701.438848920863
136,Arrow,12701.438848920863
137,erlangen,12701.438848920863
138,War,12701.438848920863
139,Auskünft,12701.438848920863
140,Conact,12701.438848920863
141,Anschläge,12701.438848920863
142,inwiefern,12701.438848920863
143,Schreckliche,12701.438848920863
144,vertrauensvoll,12701.438848920863
145,Spionagesoftware,12701.438848920863
146,Albanien,12701.438848920863
147,Israel-boykottbewegung,12701.438848920863
148,Immunität,12701.438848920863
149,ertrinken,12701.438848920863
150,Ss,12701.438848920863
151,Continental,12701.438848920863
152,detailliert,12701.438848920863
153,besichtigen,12701.438848920863
154,Konfliktlösung,12701.438848920863
155,Zuschauer/-inn,12701.438848920863
156,Nebeneinander,12701.438848920863
157,beschämen,12701.438848920863
158,Blamage,12701.438848920863
159,überzeugend,12701.438848920863
160,reibungslos,12701.438848920863
161,befürwortet,12701.438848920863
162,einschleichen,12701.438848920863
163,tödlichst,12701.438848920863
164,antisemitismuskritisch,12701.438848920863
165,Unifil-flottenverbande,12701.438848920863
166,Radio,12701.438848920863
167,suggerieren,12701.438848920863
168,durchmachen,12701.438848920863
169,eingewandert,12701.438848920863
170,sitzungsfrei,12701.438848920863
171,Lkw,12701.438848920863
172,Mitte-studie,12701.438848920863
173,aufgerüsten,12701.438848920863
174,einmischen,12701.438848920863
175,entlasten,12701.438848920863
176,lückenlos,12701.438848920863
177,Slogan,12701.438848920863
178,Stabilitätsanker,12701.438848920863
179,Erweiterungsperspektive,12701.438848920863
180,universität,12701.438848920863
181,Wegducken,12701.438848920863
182,flexibel,12701.438848920863
183,zurückzukehren,12701.438848920863
184,E-mail,12701.438848920863
185,Lemke,12701.438848920863
186,Vereitelung,12701.438848920863
187,Zustandekommen,12701.438848920863
188,Eskalationsspirale,12701.438848920863
189,Steuerpolitik,12701.438848920863
190,sprengen,12701.438848920863
191,voranschreiten,12701.438848920863
192,umtreiben,12701.438848920863
193,2008,12701.438848920863
194,Studies,12701.438848920863
195,Entschädigung,12701.438848920863
196,Bein,12701.438848920863
197,niedergebrüllen,12701.438848920863
198,Ausfuhr,12701.438848920863
199,Landesmedienanstalt,12701.438848920863
