,Wort,difference
0,Chance,-87.08964430254352
1,Eindruck,-85.87929845590698
2,Herz,-84.93791835296746
3,Student,-83.26435372551938
4,Verhandlung,-83.26435372551938
5,Ergebnis,-81.92550202356095
6,Mittelmeer,-81.92550202356095
7,Euro,-80.18147151706243
8,Führung,-79.46079775404655
9,10,-79.46079775404655
10,Stück,-78.48274050423923
11,Berlin,-78.48274050423922
12,ähnlich,-77.4068775294512
13,Schuldenbremse,-77.4068775294512
14,Unionsfraktion,-77.4068775294512
15,Veranstaltung,-77.4068775294512
16,Premierminister,-77.4068775294512
17,Anlass,-77.4068775294512
18,schließlich,-77.4068775294512
19,Verständigung,-76.21776582047495
20,ablehnen,-76.21776582047495
21,Indien,-76.21776582047495
22,aufbauen,-76.21776582047495
23,jeder,-75.57500273454183
24,völlig,-75.57500273454183
25,Flüchtling,-74.8965305882791
26,abscheulich,-74.8965305882791
27,auseinandersetzen,-74.8965305882791
28,fallen,-74.8965305882791
29,Ministerpräsident,-74.8965305882791
30,verweigern,-74.8965305882791
31,Entschließungsantrag,-74.8965305882791
32,schlecht,-74.8965305882791
33,organisieren,-73.4198559170014
34,Skandal,-73.4198559170014
35,Polen,-73.4198559170014
36,lehnen,-73.4198559170014
37,Samstag,-73.4198559170014
38,Vorhaben,-73.4198559170014
39,Milliarde,-73.02313734859845
40,richten,-72.61439700539539
41,Gericht,-71.75859691181398
42,Tausend,-71.75859691181398
43,dulden,-71.75859691181398
44,Kontakt,-71.75859691181398
45,Schüler,-71.75859691181398
46,17,-71.75859691181398
47,Aufmerksamkeit,-71.75859691181398
48,circa,-71.75859691181398
49,Professor,-71.75859691181398
50,Entscheidung,-71.15771599504407
51,staatlich,-71.15771599504407
52,2021,-70.84758390896928
53,antiisraelisch,-70.84758390896928
54,modern,-69.87583670593493
55,erforderlich,-69.87583670593493
56,Internet,-69.87583670593493
57,betreiben,-69.87583670593493
58,Steuergeld,-69.87583670593493
59,Staatspräsident,-69.87583670593493
60,fließen,-69.87583670593493
61,Täter,-69.87583670593493
62,Wahl,-69.87583670593493
63,allgemein,-69.87583670593493
64,Projekt,-69.36525766705246
65,Erklärung,-68.83707245441545
66,könnten,-68.83707245441545
67,Nato,-68.83707245441545
68,konzentrieren,-67.72411075635885
69,Einzelplan,-67.72411075635885
70,steigend,-67.72411075635885
71,Minister,-67.72411075635885
72,Sprache,-67.72411075635885
73,Kolumbien,-67.72411075635885
74,Republik,-67.72411075635885
75,abschließend,-67.72411075635885
76,Verbesserung,-67.72411075635885
77,investieren,-67.72411075635885
78,Weltkrieg,-67.72411075635885
79,Aktivist,-67.72411075635885
80,berliner,-67.72411075635885
81,Verteidigung,-67.72411075635885
82,wachsen,-67.72411075635885
83,Kunstfreiheit,-67.72411075635885
84,Lagebild,-67.72411075635885
85,Kontrolle,-67.72411075635885
86,bezahlen,-67.72411075635885
87,erschreckend,-67.72411075635885
88,Entwicklung,-67.13727640647447
89,islamistisch,-66.93689394553833
90,islamisch,-66.93689394553833
91,ukrainisch,-66.5287074510388
92,russisch,-66.11031629417678
93,Sea,-65.24135004530953
94,Judentum,-65.24135004530953
95,kontrollieren,-65.24135004530953
96,Auffassung,-65.24135004530953
97,Munition,-65.24135004530953
98,vorsehen,-65.24135004530953
99,Fälle,-65.24135004530953
100,achten,-65.24135004530953
101,indirekt,-65.24135004530953
102,bekannt,-65.24135004530953
103,Kirche,-65.24135004530953
104,Selenskyj,-65.24135004530953
105,Welle,-65.24135004530953
106,gewährleistet,-65.24135004530953
107,Bürgergeld,-65.24135004530953
108,Erinnern,-65.24135004530953
109,Erinnerungskultur,-65.24135004530953
110,Ursache,-65.24135004530953
111,Armee,-64.5598078893352
112,erkennen,-64.3266487307124
113,Gesetz,-64.3266487307124
114,militärisch,-64.05639606958144
115,legen,-63.85100404712192
116,Grüne,-63.85100404712192
117,schnell,-63.5594798862116
118,zuerst,-62.34479588241865
119,Schicksal,-62.34479588241865
120,Wissenschaftler,-62.34479588241865
121,herstellen,-62.34479588241865
122,Scholz,-62.34479588241865
123,Justiz,-62.34479588241865
124,geplant,-62.34479588241865
125,Nordkorea,-62.34479588241865
126,Herzog,-62.34479588241865
127,Polizistin,-62.34479588241865
128,Brandt,-62.34479588241865
129,Mullah-regime,-62.34479588241865
130,Ampelregierung,-62.34479588241865
131,Relativierung,-62.34479588241865
132,Aktivitäte,-62.34479588241865
133,solange,-62.34479588241865
134,Bds,-62.34479588241865
135,willkommen,-62.34479588241865
136,gucken,-62.34479588241865
137,normal,-62.34479588241865
138,merken,-62.34479588241865
139,13,-62.34479588241865
140,Höre,-62.34479588241865
141,Dienst,-62.34479588241865
142,Rabbiner,-62.34479588241865
143,verüb,-62.34479588241865
144,traurig,-62.34479588241865
145,befassen,-62.34479588241865
146,kosten,-62.34479588241865
147,Berlinale,-62.34479588241865
148,polizeilich,-62.34479588241865
149,abgeben,-62.34479588241865
150,weiterentwickeln,-62.34479588241865
151,Stabilität,-61.268932907630614
152,erwähnen,-60.707613094697734
153,ändern,-60.707613094697734
154,Zusammenhang,-60.707613094697734
155,angeblich,-60.707613094697734
156,kommend,-60.707613094697734
157,sofort,-60.129783875502106
158,gar,-59.33237955301215
159,sorgen,-58.92159550809308
160,letztlich,-58.92159550809307
161,verlängern,-58.92159550809307
162,gegenwärtig,-58.92159550809307
163,Besatzung,-58.92159550809307
164,Leistung,-58.92159550809307
165,Verhältnis,-58.92159550809307
166,westlich,-58.92159550809307
167,integrieren,-58.92159550809307
168,demonstrieren,-58.92159550809307
169,Minute,-58.92159550809307
170,Versammlung,-58.92159550809307
171,naiv,-58.92159550809307
172,Unifil-mandat,-58.92159550809307
173,befreien,-58.92159550809307
174,mancher,-58.92159550809307
175,Brandenburg,-58.92159550809307
176,Freude,-58.92159550809307
177,bilateral,-58.92159550809307
178,Legislaturperiode,-58.92159550809307
179,Wachstum,-58.92159550809307
180,profitieren,-58.92159550809307
181,4,-58.92159550809307
182,Mitgliedstaat,-58.92159550809307
183,Zahlung,-58.92159550809307
184,Datum,-58.92159550809307
185,Kosten,-58.92159550809307
186,Operation,-58.92159550809307
187,unverändert,-58.92159550809307
188,vermutlich,-58.92159550809307
189,betroffen,-58.92159550809307
190,Völkerstrafrecht,-58.92159550809307
191,qualifiziert,-58.92159550809307
192,Judenhass,-57.96628377572314
193,Geld,-57.96628377572314
194,nötig,-57.63789536772098
195,50,-56.96548100847845
196,Februar,-56.96548100847845
197,Gelegenheit,-56.96548100847845
198,Deutlichkeit,-56.96548100847845
199,erklärt,-56.27137586345391
