,Wort,difference
0,Fiu,4870.486943520739
1,Karla,3514.89959528781
2,Raveh,3514.89959528781
3,Bundesprogramm,2159.312247054881
4,Becher,2159.312247054881
5,Kmk,2159.312247054881
6,fern,2159.312247054881
7,Accord,2159.312247054881
8,Pädagoginn,2159.312247054881
9,Forschungskooperation,2159.312247054881
10,reinlassen,2159.312247054881
11,maschinell,1707.4497976439047
12,Kulturschaffende,1707.4497976439047
13,Tiktok,1707.4497976439047
14,Einwanderungsgesellschaft,1707.4497976439047
15,Antidiskriminierungsstelle,1707.4497976439047
16,Kompas,1707.4497976439047
17,schulen,1707.4497976439047
18,Drehbuch,1707.4497976439047
19,Finanzkriminalität,1707.4497976439047
20,Erhalt,1707.4497976439047
21,Dozierende,1707.4497976439047
22,Zuhörer,1707.4497976439047
23,abholen,1707.4497976439047
24,Sternstunde,1707.4497976439047
25,Sensibilisierung,1707.4497976439047
26,Fairouz,1707.4497976439047
27,Pädagoge,1707.4497976439047
28,Beratungsstelle,1707.4497976439047
29,miterleben,1707.4497976439047
30,lindern,1707.4497976439047
31,Terrorismusbekämpfung,1707.4497976439047
32,Muslimin,1707.4497976439047
33,Aktionismus,1707.4497976439047
34,Terrorgefahr,1707.4497976439047
35,Truck,1707.4497976439047
36,Dynamik,1707.4497976439047
37,Sexismus,1707.4497976439047
38,Zuhörerinn,1556.8289811735797
39,einen,1481.5185729384168
40,gestärkt,1255.5873482329287
41,wissend,1255.5873482329287
42,Verpflichtete,1255.5873482329287
43,Terrorismusprävention,1255.5873482329287
44,ebay-betrugsdelikt,1255.5873482329287
45,Selbstverharmlosung,1255.5873482329287
46,Absage,1255.5873482329287
47,entkräft,1255.5873482329287
48,Demo,1255.5873482329287
49,Bibliothek,1255.5873482329287
50,Zöger,1255.5873482329287
51,Wehrmacht,1255.5873482329287
52,Umtrieb,1255.5873482329287
53,Kuratorin,1255.5873482329287
54,atomar,1255.5873482329287
55,Proxie,1255.5873482329287
56,proklamieren,1255.5873482329287
57,Lemgo,1255.5873482329287
58,Filter,1255.5873482329287
59,Implementierung,1255.5873482329287
60,Vorabend,1255.5873482329287
61,Funke,1255.5873482329287
62,Meinungsverschiedenheit,1255.5873482329287
63,bremsen,1255.5873482329287
64,Fachkräftemangel,1255.5873482329287
65,mühsam,1255.5873482329287
66,Demokratiebildung,1255.5873482329287
67,Erinnerungsarbeit,1255.5873482329287
68,Palantir,1255.5873482329287
69,Versorger,1255.5873482329287
70,mitnehmen,1255.5873482329287
71,anmahnen,1255.5873482329287
72,Mitteleinsatz,1255.5873482329287
73,Law-and-order-politik,1255.5873482329287
74,siebenmal,1255.5873482329287
75,Raketenprogramm,1255.5873482329287
76,obendrauf,1255.5873482329287
77,Dreiphasenpla,1255.5873482329287
78,abtun,1255.5873482329287
79,Politiker/-inn,1255.5873482329287
80,Nice-to-hav,1255.5873482329287
81,Begleitpersonal,1255.5873482329287
82,nachmittags,1255.5873482329287
83,Nachbesserungsbedarf,1255.5873482329287
84,erbärmlich,1255.5873482329287
85,Beschüss,1255.5873482329287
86,Kontinuitäte,1255.5873482329287
87,unteilbar,1255.5873482329287
88,entgegensetzen,1255.5873482329287
89,Mitte-studie,1255.5873482329287
90,Koffer,1255.5873482329287
91,schmerzlich,1255.5873482329287
92,Taktieren,1255.5873482329287
93,Code,1255.5873482329287
94,Medienpolitik,1255.5873482329287
95,tödlichst,1255.5873482329287
96,glorreich,1255.5873482329287
97,beunruhigen,1255.5873482329287
98,Verteidigerin,1255.5873482329287
