,Wort,difference
0,Imec,4606.250000000001
1,Wirtschaftskorridor,3560.416666666667
2,Australien,3037.500000000001
3,Al-asrak,3037.500000000001
4,Drahtzieher,3037.500000000001
5,Regierungsentwurf,2514.583333333334
6,Indien-nahost-europa,2514.583333333334
7,Gleichgültigkeit,2514.583333333334
8,Svenja,2514.583333333334
9,Bewährungsprobe,2514.583333333334
10,Außenhandelsstrategie,2514.583333333334
11,Julian,2514.583333333334
12,Intoleranz,2514.583333333334
13,Hochschulraum,2514.583333333334
14,Anzeige,1991.666666666667
15,Entwicklungsgeld,1991.666666666667
16,Wertepartner,1991.666666666667
17,landen,1991.666666666667
18,Bundesjustizminister,1991.666666666667
19,Niederbrülle,1991.666666666667
20,nieder,1991.666666666667
21,Dämonisierung,1991.666666666667
22,Wirtschaftswachstum,1991.666666666667
23,Wassermenge,1991.666666666667
24,wirkungsvoll,1991.666666666667
25,Schwächung,1991.666666666667
26,Akaba,1991.666666666667
27,Flüssigga,1991.666666666667
28,Staatsminister,1991.666666666667
29,ausufernd,1991.666666666667
30,expansiv,1991.666666666667
31,Terrortunnel,1991.666666666667
32,Kurde,1991.666666666667
33,kompensieren,1991.666666666667
34,Assang,1991.666666666667
35,Schuldenbremse,1573.3333333333333
36,Artilleriebeschuß,1468.7500000000005
37,ausgeprägt,1468.7500000000005
38,Freifahrtschei,1468.7500000000005
39,Kanada,1468.7500000000005
40,unvermeidlich,1468.7500000000005
41,Marco,1468.7500000000005
42,karlsruher,1468.7500000000005
43,Wolodymyr,1468.7500000000005
44,meistern,1468.7500000000005
45,berauben,1468.7500000000005
46,Jesid,1468.7500000000005
47,Spagat,1468.7500000000005
48,Wohnhäuser,1468.7500000000005
49,Schulzeit,1468.7500000000005
50,israelisch-libanesisch,1468.7500000000005
51,sparsam,1468.7500000000005
52,Unterausschüsse,1468.7500000000005
53,Kleinigkeit,1468.7500000000005
54,Bildschirm,1468.7500000000005
55,merkwürdig,1468.7500000000005
56,Revolutionswächter,1468.7500000000005
57,Marie-agne,1468.7500000000005
58,typisch,1468.7500000000005
59,sanktioniert,1468.7500000000005
60,Hochtechnologie,1468.7500000000005
61,Bedauern,1468.7500000000005
62,Parallele,1468.7500000000005
63,Schuldenstand,1468.7500000000005
64,Bologna-reform,1468.7500000000005
65,Haushälter,1468.7500000000005
66,Einsparung,1468.7500000000005
67,Huthi-milize,1468.7500000000005
68,messen,1468.7500000000005
69,Shia,1468.7500000000005
70,unterstützt,1468.7500000000005
71,Is-terrorist,1468.7500000000005
72,Berücksichtigung,1468.7500000000005
73,Geltung,1468.7500000000005
74,Persönlichkeit,1468.7500000000005
75,wirtschaftspolitisch,1468.7500000000005
76,Schurkenstaat,1468.7500000000005
77,Geldwäschebekämpfung,1468.7500000000005
78,Entlastungsmaßnahme,1468.7500000000005
79,Bsi,1468.7500000000005
80,Trillerpfeife,1468.7500000000005
81,Fiskalpolitik,1468.7500000000005
82,versehentlich,1468.7500000000005
83,Améry,1468.7500000000005
84,unweit,1468.7500000000005
85,Ami,1468.7500000000005
86,Geschichtsvergessenheit,1468.7500000000005
87,denkwürdig,1468.7500000000005
88,Zuhöre,1468.7500000000005
89,Blauhelmsoldatin,1468.7500000000005
90,missen,1468.7500000000005
91,Schiene,1468.7500000000005
92,vollbringen,1468.7500000000005
93,Rüstungsindustri,1468.7500000000005
94,realitätsfern,1468.7500000000005
95,Handlungsfähigkeit,1468.7500000000005
96,entlasten,1468.7500000000005
97,hebräisch,1468.7500000000005
98,Hisbollah-ziel,1468.7500000000005
99,Ajalon,1468.7500000000005
100,Zweidrittelmehrheit,1468.7500000000005
101,Inflationserwartung,1468.7500000000005
102,Priorisierung,1468.7500000000005
103,kapitulieren,1468.7500000000005
104,Sheamda,1468.7500000000005
105,einschüchtern,1468.7500000000005
106,Kriegskabinett,1468.7500000000005
107,Oda-quot,1468.7500000000005
108,Stabilitätsanker,1468.7500000000005
109,einarbeiten,1468.7500000000005
110,Road,1468.7500000000005
111,beschimpfen,1468.7500000000005
112,Mehrwert,1468.7500000000005
113,brüllt,1468.7500000000005
114,dasehen,1468.7500000000005
115,Kampfhandlung,1468.7500000000005
116,Kiryat,1468.7500000000005
117,Klöckner,1468.7500000000005
118,Mittelverwendung,1468.7500000000005
119,Befund,1468.7500000000005
120,Munitionslager,1468.7500000000005
121,Opfernarrative,1468.7500000000005
122,Multipel,1468.7500000000005
123,ehrbar,1468.7500000000005
124,Obsession,1468.7500000000005
125,Märkt,1468.7500000000005
126,Sturz,1468.7500000000005
127,Schulhof,1468.7500000000005
128,Bas,1468.7500000000005
129,Stegner,1468.7500000000005
130,Grundsätz,1468.7500000000005
131,Worthüls,1468.7500000000005
132,zurückgeben,1468.7500000000005
133,Coach,1468.7500000000005
134,Al-sudani,1468.7500000000005
135,Assad-regime,1468.7500000000005
136,Kommissar,1468.7500000000005
137,Ladenlokal,1468.7500000000005
138,aushebeln,1468.7500000000005
139,Vehi,1468.7500000000005
140,justiziabel,1468.7500000000005
141,herausgreifen,1468.7500000000005
142,Landesregierung,1468.7500000000005
143,chinesisch,1468.7500000000005
144,Hochschulleitung,1207.2916666666672
145,nochmals,1207.2916666666672
146,sprachlos,1207.2916666666672
147,Bundesfinanzminister,1207.2916666666672
148,Kommissionspräsidentin,1207.2916666666672
149,Palästinensergebiete,1207.2916666666672
150,einhalten,1050.4166666666667
151,Leye,945.8333333333336
152,Folter,945.8333333333336
153,Ehre,945.8333333333336
154,Ressort,945.8333333333336
155,Terroranschläg,945.8333333333336
156,strafrechtlich,945.8333333333334
157,Menschenrechtslage,945.8333333333334
158,Mittelschicht,945.8333333333334
159,Hinrichtung,945.8333333333334
160,nachträglich,945.8333333333334
161,Daueraufgabe,945.8333333333334
162,Wissenschaftseinrichtung,945.8333333333334
163,Quartal,945.8333333333334
164,Goethe-institut,945.8333333333334
165,Pandemie,945.8333333333334
166,exportieren,945.8333333333334
167,teilnehmen,945.8333333333334
168,anlässlich,945.8333333333334
169,Lager,945.8333333333334
170,verboten,945.8333333333334
171,verschieben,945.8333333333334
172,legitimieren,945.8333333333334
173,eklatant,945.8333333333334
174,Delegitimierung,945.8333333333334
175,individuell,945.8333333333334
176,1979,945.8333333333334
177,verständlich,945.8333333333334
178,Paket,945.8333333333334
179,überfällig,945.8333333333334
180,Spielräum,945.8333333333334
181,Inflation,887.7314814814814
182,Fregatte,815.1041666666666
183,besorgt,771.5277777777779
184,Kommilitone,771.5277777777779
185,Assad,771.5277777777779
186,einigen,771.5277777777779
187,sanktionieren,771.5277777777779
188,Mullah-regime,736.6666666666667
189,insofern,721.7261904761906
190,And,684.3750000000001
191,gestört,684.3750000000001
192,Import,684.3750000000001
193,Bürokrati,684.3750000000001
194,For,684.3750000000001
195,Tier,684.3750000000001
196,mitmachen,684.3750000000001
197,ganzheitlich,684.3750000000001
198,Horst,684.3750000000001
199,Verteidigungskrieg,684.3750000000001
