,Wort,difference
0,wir,-75.19421192061625
1,geben,-70.1359497962437
2,–,-67.21953864353313
3,Kollegin,-61.417020196526344
4,ich,-60.228444989310326
5,wichtig,-55.94856636611275
6,auch,-54.90012533528703
7,gut,-54.51599941866927
8,klar,-51.068232610754976
9,stehen,-48.038401812659316
10,es,-45.28574991194444
11,Antisemitismus,-44.60859335144871
12,dass,-41.40390349048515
13,zu,-41.034954212832496
14,gemeinsam,-40.48370136698212
15,sagen,-40.48370136698212
16,damit,-37.838532538848
17,tun,-37.374640990630446
18,uns,-37.14008908422831
19,Sicherheit,-36.4257719147309
20,können,-36.4257719147309
21,da,-35.19847021424307
22,brauchen,-34.181975629368466
23,Kollege,-33.133082810712985
24,Tag,-32.05021775501603
25,dazu,-27.656912868486895
26,ihr,-25.98193510689729
27,mein,-24.28452835558929
28,hier,-24.05612572619439
29,werden,-22.513406211860392
30,dieser,-22.334122098514392
31,machen,-22.117882995308396
32,oder,-21.936761792971893
33,an,-21.83288522849149
34,sein,-19.65135305150302
35,Jüdinn,-19.309633584081524
36,Regierung,-18.919825050671303
37,Hisbollah,-18.526231968393006
38,mal,-18.526231968393006
39,und,-17.074937439680205
40,erst,-16.91289002717306
41,Welt,-16.499521320840586
42,deswegen,-15.234362552974535
43,doch,-14.804080129385575
44,all,-13.188295442184277
45,europäisch,-12.585436382754992
46,Länder,-12.127768510413395
47,man,-11.897132732225497
48,Frage,-11.665283081520835
49,Region,-11.197903626925708
50,dabei,-10.248148585502454
51,möch,-5.17742251688678
52,finden,-5.17742251688678
53,natürlich,-3.54255049131585
54,ganz,-3.54255049131585
55,dort,-2.9849929797049595
56,sich,-2.1047531233963794
57,müssen,0.35035105836198527
58,genau,0.5005761347966551
59,lassen,1.1060012922351885
60,Frieden,1.1060012922351885
61,in,1.42021193161023
62,lieb,1.7187649364305526
63,Debatte,2.339001307994153
64,unser,2.786678479070247
65,unterstützen,2.9668479417855274
66,der,3.6757251898404553
67,Kind,4.89747634069402
68,so,7.759847284180045
69,aber,8.281265900071228
