,Wort,difference
7147,über,9.69670728438587
7148,alle,9.220799660592453
7149,wollen,8.984391003318425
7150,aber,8.281265900071228
7151,so,7.759847284180045
7152,Kind,4.89747634069402
7153,der,3.6757251898404553
7154,unterstützen,2.9668479417855274
7155,unser,2.786678479070247
7156,Debatte,2.339001307994153
7157,lieb,1.7187649364305526
7158,in,1.42021193161023
7159,lassen,1.1060012922351885
7160,Frieden,1.1060012922351885
7161,genau,0.5005761347966551
7162,müssen,0.35035105836198527
7163,sich,-2.1047531233963794
7164,dort,-2.9849929797049595
7165,natürlich,-3.54255049131585
7166,ganz,-3.54255049131585
7167,finden,-5.17742251688678
7168,möch,-5.17742251688678
