,Wort,difference
0,Israel-haß,50250.78864353312
1,Friedenskompromiß,50250.78864353312
2,Hose,50250.78864353312
3,zugute,25075.394321766555
4,versagen,25075.394321766555
5,Masseneinwanderung,25075.394321766555
6,Nato-staat,25075.394321766555
7,Rauch,16683.59621451104
8,feministisch,12487.69716088328
9,zeugen,11089.064143007361
10,Befriedung,11089.064143007361
11,Pau,11089.064143007361
12,Erdoğan,11089.064143007361
13,Zunahme,11089.064143007361
14,Massenmigration,11089.064143007361
15,Delegation,11089.064143007361
16,unsinnig,11089.064143007361
17,dringlich,11089.064143007361
18,Gleichsetzung,11089.064143007361
19,salonfähig,11089.064143007361
20,Hakenkreuz,11089.064143007361
21,Ableger,11089.064143007361
22,Judenhaß,11089.064143007361
23,einher,11089.064143007361
24,Die,11089.064143007361
25,besiegen,11089.064143007361
26,herbeizuführen,11089.064143007361
27,näher,11089.064143007361
28,zusagen,8291.79810725552
29,Greta,8291.79810725552
30,Benjamin,8291.79810725552
31,Joe,8291.79810725552
32,Islam,8291.79810725552
33,stoßen,8291.79810725552
34,desto,8291.79810725552
35,Wladimir,8291.79810725552
36,verkennen,8291.79810725552
37,dumm,8291.79810725552
38,Strack-zimmermann,8291.79810725552
39,zurzeit,8291.79810725552
40,weiterarbeiten,8291.79810725552
41,Thunberg,8291.79810725552
42,River,8291.79810725552
43,vorherig,8291.79810725552
44,Bennett,8291.79810725552
45,Belehrung,8291.79810725552
46,Kiesewetter,8291.79810725552
47,From,8291.79810725552
48,sämtlich,8291.79810725552
49,Legitimation,7092.969806219016
50,Blut,7092.969806219016
51,antun,7092.969806219016
52,markieren,6613.438485804417
53,jederzeit,6613.438485804417
54,Altpartei,6613.438485804417
55,unverhältnismäßig,6613.438485804417
56,brandenburger,6613.438485804417
57,Terrorakt,6613.438485804417
58,rücken,6613.438485804417
59,Elend,6613.438485804417
60,migrantisch,6613.438485804417
61,fanatisch,6613.438485804417
62,–und,6613.438485804417
63,kürzlich,6613.438485804417
64,zumal,6613.438485804417
65,formal,6613.438485804417
66,Mohammed,6613.438485804417
67,Puti,6613.438485804417
68,hineinziehen,6613.438485804417
69,Russe,6613.438485804417
70,Parole,6003.125896185834
71,Erinnerungsarbeit,5494.5320715036805
72,"8,3",5494.5320715036805
73,Parlamentariergruppe,5494.5320715036805
74,durchziehen,5494.5320715036805
75,vorwegnehmen,5494.5320715036805
76,Kriegsflüchtling,5494.5320715036805
77,Uno,5494.5320715036805
78,wonach,5494.5320715036805
79,brüllt,5494.5320715036805
80,prekären,5494.5320715036805
81,herbeiführen,5494.5320715036805
82,Unterscheidung,5494.5320715036805
83,Märkt,5494.5320715036805
84,versündigen,5494.5320715036805
85,Linke-fraktion,5494.5320715036805
86,Zuhöre,5494.5320715036805
87,arbeitend,5494.5320715036805
88,Hohn,5494.5320715036805
89,heil,5494.5320715036805
90,Belang,5494.5320715036805
91,Kokain,5494.5320715036805
92,Termin,5494.5320715036805
93,Drogenproblem,5494.5320715036805
94,körperlich,5494.5320715036805
95,Standing,5494.5320715036805
96,Außenminister,5494.5320715036805
97,Verschuldung,5494.5320715036805
98,frank-walt,5494.5320715036805
99,dämlich,5494.5320715036805
100,vorläufig,5494.5320715036805
101,Europe,5494.5320715036805
102,Klaus-peter,5494.5320715036805
103,But,5494.5320715036805
104,Correctiv,5494.5320715036805
105,zurechnen,5494.5320715036805
106,Lemgo,5494.5320715036805
107,einfallen,5494.5320715036805
108,Bmi,5494.5320715036805
109,wertegeleitet,5494.5320715036805
110,Balance,5494.5320715036805
111,Funke,5494.5320715036805
112,Bekanntwerden,5494.5320715036805
113,Gtaz,5494.5320715036805
114,kulturmarxistisch,5494.5320715036805
115,Nachfahre,5494.5320715036805
116,formuliert,5494.5320715036805
117,Schulzeit,5494.5320715036805
118,Schwierigkeit,5494.5320715036805
119,Entführer,5494.5320715036805
120,sensibel,5494.5320715036805
121,Al-quds-tag,5494.5320715036805
122,wiederbeleben,5494.5320715036805
123,womöglich,5494.5320715036805
124,Kindertagesstätt,5494.5320715036805
125,Mehrheitsbevölkerung,5494.5320715036805
126,Wehr,5494.5320715036805
127,Sturz,5494.5320715036805
128,Planwirtschaft,5494.5320715036805
129,Kontingent,5494.5320715036805
130,Fünftel,5494.5320715036805
131,obendrauf,5494.5320715036805
132,Düsseldorf,5494.5320715036805
133,zuspitzen,5494.5320715036805
134,Bundesverteidigungsminister,5494.5320715036805
135,Guerillakrieg,5494.5320715036805
136,herausgreifen,5494.5320715036805
137,Groko,5494.5320715036805
138,Jo,5494.5320715036805
139,rechtssich,5494.5320715036805
140,Tunesien,5494.5320715036805
141,360-grad-blick,5494.5320715036805
142,Sky,5494.5320715036805
143,kaputtmachen,5494.5320715036805
144,mandatieren,5494.5320715036805
145,Planungsbeschleunigung,5494.5320715036805
146,Wiederaufbaukonferenz,5494.5320715036805
147,Spendenverein,5494.5320715036805
148,beinhalten,5494.5320715036805
149,Jouanna,5494.5320715036805
150,woher,5494.5320715036805
151,Kontinuum,5494.5320715036805
152,Strafbarkeit,5494.5320715036805
153,Friedenstruppe,5494.5320715036805
154,wirtschaftspolitisch,5494.5320715036805
155,Neonazismus,5494.5320715036805
156,Prag,5494.5320715036805
157,Imperialismus,5494.5320715036805
158,entmilitarisieren,5494.5320715036805
159,zurückliegen,5494.5320715036805
160,ertrinken,5494.5320715036805
161,Ss,5494.5320715036805
162,konfliktreich,5494.5320715036805
163,feinsinnig,5494.5320715036805
164,Strecke,5494.5320715036805
165,tiefsitzend,5494.5320715036805
166,vergeblich,5494.5320715036805
167,Kriegskabinett,5494.5320715036805
168,Kumpel,5494.5320715036805
169,Überflüg,5494.5320715036805
170,Ollenhauer,5494.5320715036805
171,Bestimmung,5494.5320715036805
172,Außendorf,5494.5320715036805
173,Schoah,5494.5320715036805
174,gestärkt,5494.5320715036805
175,durchmachen,5494.5320715036805
176,eingewandert,5494.5320715036805
177,flexibel,5494.5320715036805
178,Israel-boykottbewegung,5494.5320715036805
179,Immunität,5494.5320715036805
180,Lamya,5494.5320715036805
181,Alon,5494.5320715036805
182,ergebnisoffen,5494.5320715036805
183,Esken,5494.5320715036805
184,Faz,5494.5320715036805
185,Hochschulautonomie,5494.5320715036805
186,Reserve,5494.5320715036805
187,befürwortet,5494.5320715036805
188,einschleichen,5494.5320715036805
189,Krisenregion,5494.5320715036805
190,Beweislast,5494.5320715036805
191,einholen,5494.5320715036805
192,Gotteshäus,5494.5320715036805
193,Jamshid,5494.5320715036805
194,Umkehr,5494.5320715036805
195,Gesundheitssystem,5494.5320715036805
196,Cem,5494.5320715036805
197,bewahrheiten,5494.5320715036805
198,Kapitalismus,5494.5320715036805
199,Ertüchtigung,5494.5320715036805
