,Wort,difference
0,Kollegin,-89.3751385502106
1,Woche,-87.15133033978955
2,Ende,-84.2144915603129
3,Freiheit,-83.25779407911972
4,Einsatz,-81.5835734870317
5,vereint,-80.26811445039111
6,lieb,-79.53730387447966
7,Partner,-78.75027710042119
8,Aufgabe,-78.75027710042119
9,leisten,-77.90028818443804
10,aktuell,-76.97946685878962
11,bringen,-76.97946685878962
12,wichtig,-76.97946685878962
13,Kollege,-75.97857411351961
14,wünschen,-74.88669111867958
15,eben,-74.88669111867958
16,Soldatin,-74.88669111867958
17,Jüdinn,-74.88669111867958
18,Thema,-74.88669111867958
19,dazu,-73.69081926718815
20,vergangen,-73.69081926718815
21,Debatte,-73.69081926718815
22,Lage,-73.04913193224151
23,völkerrechtswidrig,-72.37536023054756
24,wenig,-72.37536023054756
25,Verantwortung,-72.37536023054754
26,Mensch,-70.921431821629
27,deswegen,-70.13552457356491
28,Zugang,-69.3059558117195
29,Kriegsverbrechen,-69.3059558117195
30,reden,-69.3059558117195
31,gemeinsam,-68.72682290250665
32,groß,-68.72682290250665
33,ermöglichen,-67.50042380064417
34,Palästina,-67.50042380064417
35,zeigen,-66.51558815823945
36,Angehörige,-65.46920028818444
37,vielleicht,-65.46920028818444
38,einig,-65.46920028818444
39,stark,-65.46920028818444
40,Gewalt,-65.46920028818444
41,täglich,-65.46920028818444
42,brutal,-63.1671469740634
43,oft,-63.1671469740634
44,Länder,-63.1671469740634
45,Bundesrepublik,-63.1671469740634
46,hinweisen,-63.1671469740634
47,dürf,-63.1671469740634
48,deutlich,-61.89704859385869
49,setzen,-61.89704859385869
50,nächst,-60.53622890078221
51,historisch,-60.53622890078221
52,Herausforderung,-60.53622890078221
53,schauen,-60.53622890078221
54,leben,-60.53622890078221
55,Westjordanland,-60.53622890078221
56,besonder,-60.53622890078221
57,Bürgerinn,-60.53622890078221
58,zugleich,-60.53622890078221
59,Perspektive,-60.53622890078221
60,Angriff,-58.56304034582133
61,mehr,-58.41452077716836
62,wieder,-58.03852186918615
63,tragen,-57.50055420084239
64,Erfolg,-57.50055420084239
65,Region,-57.50055420084239
66,verdienen,-57.50055420084239
67,eng,-57.50055420084239
68,Stunde,-57.50055420084239
69,anders,-57.50055420084239
70,Raum,-57.50055420084239
71,Handeln,-57.50055420084239
72,Völkerrecht,-56.3821477324435
73,Zukunft,-55.80057636887608
74,einmal,-55.80057636887608
75,gerade,-53.95893371757926
76,öffentlich,-53.95893371757926
77,Angst,-53.95893371757926
78,Palästinenserinn,-53.95893371757926
79,Beitrag,-53.95893371757926
80,heraus,-53.95893371757926
81,welcher,-53.95893371757926
82,folgen,-53.95893371757926
83,Rechtsstaat,-53.95893371757926
84,rechtfertigen,-53.95893371757926
85,Verbrechen,-53.95893371757926
86,Dienst,-53.95893371757926
87,Antwort,-53.95893371757926
88,verpflichten,-53.95893371757926
89,weil,-53.95893371757925
90,denn,-51.044942180717186
91,wir,-50.82122544520288
92,seit,-50.67028612597776
93,so,-50.275648414985596
94,Tag,-49.773382237359186
95,Zerstörung,-49.77338223735918
96,beide,-49.77338223735918
97,Wort,-49.77338223735918
98,Problem,-49.77338223735918
99,gezielt,-49.77338223735918
100,nämlich,-49.77338223735918
101,Teheran,-49.77338223735918
102,stärken,-49.77338223735918
103,Maßnahme,-49.77338223735918
104,Stimme,-49.77338223735918
105,umfassend,-49.77338223735918
106,insgesamt,-49.77338223735918
107,Koalitionsvertrag,-49.77338223735918
108,bitten,-49.77338223735918
109,staatlich,-49.77338223735918
110,Lösung,-49.77338223735918
111,nachhaltig,-49.77338223735918
112,Teil,-49.77338223735917
113,Ukraine,-49.77338223735917
114,Seite,-48.20380043227666
115,libanesisch,-47.381638534376286
