,Wort,difference
1886,Krieg,8.824338485721766
1887,zu,8.670457916596034
1888,Welt,8.525370522848917
1889,noch,8.220238272081742
1890,bleiben,7.803472271033962
1891,darauf,7.429154658981735
1892,man,6.9340894301385285
1893,geehrt,6.248614497894034
1894,ein,5.900258384786168
1895,von,5.3189391210374515
1896,daher,5.236722931247424
1897,verteidigen,5.236722931247424
1898,Bedrohung,3.5923991354466818
1899,Präsidentin,3.5923991354466818
1900,geehrter,3.5923991354466818
1901,einsetzen,3.5923991354466818
1902,7,3.5923991354466818
1903,nur,2.524436257761659
1904,mein,2.4489951714792633
1905,ander,1.7749886242984927
1906,notwendig,0.4532355252816478
1907,zweit,0.4532355252816478
1908,alt,0.4532355252816478
1909,gegenüber,0.4532355252816478
1910,Gelegenheit,0.4532355252816478
1911,Polizist,0.4532355252816478
1912,Bundestag,0.4532355252816478
1913,schnell,0.4532355252816478
1914,zuletzt,0.4532355252816478
1915,warum,0.4532355252816478
1916,offen,0.4532355252816478
1917,ab,0.4532355252816478
1918,erst,-0.5512968299711807
1919,es,-0.9818106965081268
1920,Geisel,-1.779058597502401
1921,etwas,-2.5012714019325277
1922,dauerhaft,-2.5012714019325277
1923,anderer,-2.5012714019325277
1924,Kraft,-2.5012714019325277
1925,nicht,-2.5908019148784116
1926,wenn,-3.071439405430004
1927,gut,-3.071439405430004
1928,ohne,-3.3137608069164473
1929,stehen,-3.5330039796898554
1930,nichts,-3.914296454078447
1931,mit,-4.234582132564853
1932,der,-4.33769120790961
1933,aber,-5.09326214175847
1934,ihr,-5.671961762845286
1935,Staat,-6.6209359905832645
1936,jetzt,-7.917867435158497
1937,schwäch,-7.9178674351585
1938,zunächst,-7.9178674351585
1939,ständig,-7.9178674351585
1940,Voraussetzung,-7.9178674351585
1941,Lebensmittel,-7.9178674351585
1942,gleichgültig,-7.9178674351585
1943,angemessen,-7.9178674351585
1944,Verhandlung,-7.9178674351585
1945,bewältigen,-7.9178674351585
1946,Bedingung,-7.9178674351585
1947,100,-7.9178674351585
1948,maßgeblich,-7.9178674351585
1949,schweigen,-7.9178674351585
1950,alleine,-7.9178674351585
1951,bewaffnet,-7.9178674351585
1952,Einsatzkräft,-7.9178674351585
1953,Gemeinde,-7.9178674351585
1954,China,-7.9178674351585
1955,Fünf,-7.9178674351585
1956,drängen,-7.9178674351585
1957,Verlässlichkeit,-7.9178674351585
1958,Kriegsführung,-7.9178674351585
1959,gestern,-7.9178674351585
1960,Präsidenti,-7.9178674351585
1961,damit,-7.9178674351585
1962,gehören,-7.9178674351585
1963,bedürfen,-7.9178674351585
1964,Selbstbestimmung,-7.9178674351585
1965,Vertreibung,-7.9178674351585
1966,nutzen,-7.9178674351585
1967,wesentlich,-7.9178674351585
1968,nötig,-7.9178674351585
1969,angesichts,-7.9178674351585
1970,Wechsel,-7.9178674351585
1971,Nachbar,-7.9178674351585
1972,Bundeswehr,-7.9178674351585
1973,Wille,-7.9178674351585
1974,propalästinensisch,-7.9178674351585
1975,Ansprechpartner,-7.9178674351585
1976,Strafgerichtshof,-7.9178674351585
1977,dramatisch,-7.9178674351585
1978,Verpflichtung,-7.9178674351585
1979,Sprache,-7.9178674351585
1980,finanziell,-7.9178674351585
1981,Arbeitnehmerin,-7.9178674351585
1982,Arbeitnehmer,-7.9178674351585
1983,schließlich,-7.9178674351585
1984,ziehen,-7.9178674351585
1985,ausgehen,-7.9178674351585
1986,anwenden,-7.9178674351585
1987,Kommune,-7.9178674351585
1988,Hungersnot,-7.9178674351585
1989,verschieden,-7.9178674351585
1990,morgen,-7.9178674351585
1991,Waffenlieferung,-7.9178674351585
1992,Initiative,-7.9178674351585
1993,höchst,-7.9178674351585
1994,sichern,-7.9178674351585
1995,Annexion,-7.9178674351585
1996,Begriff,-7.9178674351585
1997,Investition,-7.9178674351585
1998,Sicherheitskräft,-7.9178674351585
1999,Polizistin,-7.9178674351585
2000,Polizei,-7.9178674351585
2001,Platz,-7.9178674351585
2002,gegenwärtig,-7.9178674351585
2003,Dankeschö,-7.9178674351585
2004,Wirklichkeit,-7.9178674351585
2005,aufnehmen,-7.9178674351585
2006,Überzeugung,-7.9178674351585
2007,völkerrechtlich,-7.9178674351585
2008,Angriffskrieg,-7.9178674351585
2009,unterschiedlich,-7.9178674351585
2010,schaffen,-7.9178674351585
2011,zutiefst,-7.9178674351585
2012,Besuch,-7.9178674351585
2013,unerträglich,-7.9178674351585
2014,Klarheit,-7.9178674351585
2015,Öffentlichkeit,-7.9178674351585
2016,schnellstmöglich,-7.9178674351585
2017,November,-7.9178674351585
2018,Unterschied,-7.9178674351585
2019,Beziehung,-7.9178674351585
2020,Dimension,-7.9178674351585
2021,zwei,-7.9178674351585
2022,gäb,-7.9178674351585
2023,respektieren,-7.9178674351585
2024,Weltkrieg,-7.9178674351585
2025,sowie,-7.9178674351585
2026,lieber,-7.9178674351585
2027,falsch,-7.9178674351585
2028,stecken,-7.9178674351585
2029,Waffenexport,-7.9178674351585
2030,Konfliktpartei,-7.9178674351585
2031,global,-7.9178674351585
2032,Demokrat,-7.9178674351585
2033,Über,-7.9178674351585
2034,natürlich,-7.917867435158501
2035,Waffe,-7.917867435158501
2036,vor,-7.917867435158501
2037,arbeiten,-7.917867435158503
2038,eigentlich,-7.917867435158503
2039,haben,-8.146359079239998
