,Wort,difference
0,Afghane,4319.942363112392
1,link,4319.942363112392
2,Steuergeld,3767.4495677233426
3,Roth,3767.4495677233426
4,Islamist,3214.9567723342934
5,Nutzung,2662.4639769452447
6,angeblich,2662.4639769452447
7,Theater,2662.4639769452447
8,abschlachten,2662.4639769452447
9,Rechtsruck,2662.4639769452447
10,judenfrei,2109.9711815561955
11,Dollar,2109.9711815561955
12,islamisch,2109.9711815561955
13,Schmidt,2109.9711815561955
14,Gewissen,2109.9711815561955
15,Gegenwind,2109.9711815561955
16,Iaea,2109.9711815561955
17,Genozid,2109.9711815561955
18,Schleyer,2109.9711815561955
19,genüg,2109.9711815561955
20,Ressource,2109.9711815561955
21,verschanzen,2109.9711815561955
22,Weimer,2109.9711815561955
23,Libyen,2109.9711815561955
24,Claudia,2109.9711815561955
25,gern,2109.9711815561955
26,gespannt,2109.9711815561955
27,fremd,2109.9711815561955
28,asymmetrisch,2109.9711815561955
29,Kulturpolitik,2109.9711815561955
30,Afd,1741.6426512968303
31,Judenstaat,1557.4783861671467
32,Staatsminister,1557.4783861671467
33,Flughäfe,1557.4783861671467
34,Import,1557.4783861671467
35,zahlen,1557.4783861671467
36,2020,1557.4783861671467
37,Ich,1557.4783861671467
38,mitschuldig,1557.4783861671467
39,Terrorfestung,1557.4783861671467
40,Linksextrem,1557.4783861671467
41,Anfrage,1557.4783861671467
42,Wahrung,1557.4783861671467
43,israelisch-iranisch,1557.4783861671467
44,wohlfeil,1557.4783861671467
45,cdu-geführt,1557.4783861671467
46,verbindlich,1557.4783861671467
47,Tragödi,1557.4783861671467
48,Ferat,1557.4783861671467
49,Gegenwehr,1557.4783861671467
50,Herstellung,1557.4783861671467
51,ausliefern,1557.4783861671467
52,Versagen,1557.4783861671467
53,Tunnel,1557.4783861671467
54,Koçak,1557.4783861671467
55,importieren,1557.4783861671467
56,entschieden,1557.4783861671467
57,The,1557.4783861671467
58,unbestritten,1557.4783861671467
59,wüssten,1557.4783861671467
60,umgehend,1557.4783861671467
61,Landshut,1557.4783861671467
62,einfliegen,1557.4783861671467
63,Zahlung,1557.4783861671467
64,vollauf,1557.4783861671467
65,Etat,1557.4783861671467
66,Spitze,1557.4783861671467
67,fließen,1557.4783861671467
68,Menge,1557.4783861671467
69,bestrafen,1557.4783861671467
70,ziemlich,1557.4783861671467
71,Kulturszene,1557.4783861671467
72,stehend,1557.4783861671467
73,Mélencho,1557.4783861671467
74,Umsturz,1557.4783861671467
75,derselbe,1557.4783861671467
76,Terrorstaat,1557.4783861671467
77,Ortskraft,1557.4783861671467
78,umbenennen,1557.4783861671467
79,Vorgängeri,1557.4783861671467
80,Fehleinschätzung,1557.4783861671467
81,Missbrauch,1557.4783861671467
82,Kauf,1557.4783861671467
83,Tatsache,1557.4783861671467
84,amerikanisch-russisch,1557.4783861671467
85,Aggressor,1557.4783861671467
86,Kern,1557.4783861671467
87,Ansicht,1557.4783861671467
88,Festhalten,1557.4783861671467
89,beten,1557.4783861671467
90,Hanns,1557.4783861671467
91,Februar,1557.4783861671467
92,ausgerechnet,1281.2319884726223
93,abschießen,1281.2319884726223
94,legitim,1281.2319884726223
95,länger,1004.9855907780982
96,Umsiedlung,1004.9855907780982
97,Helmut,1004.9855907780978
98,ergeben,1004.9855907780978
99,realistisch,1004.9855907780978
100,entwaffnen,1004.9855907780978
101,menschlich,1004.9855907780978
102,Unschuldige,1004.9855907780978
103,werfen,1004.9855907780978
104,Gott,1004.9855907780978
105,schuldig,1004.9855907780978
106,Verhältnismäßigkeit,1004.9855907780978
107,Schule,820.821325648415
108,2024,820.821325648415
109,Interesse,820.821325648415
110,ähnlich,728.7391930835735
111,nuklear,728.7391930835735
112,solange,728.7391930835735
113,Palästinenserstaat,728.7391930835735
114,wählen,728.7391930835735
115,Gefährdung,728.7391930835735
116,8,728.7391930835735
117,Januar,728.7391930835735
118,14,728.7391930835735
119,mißbrauchen,728.7391930835735
120,unterbinden,728.7391930835735
121,Antisemit,728.7391930835735
122,regelmäßig,728.7391930835735
123,Grüne,728.7391930835735
124,Flächenbrand,728.7391930835735
125,Konzept,728.7391930835735
126,Us-präsident,728.7391930835735
127,vernünftig,728.7391930835735
128,Stellvertreterkrieg,728.7391930835735
129,2015,728.7391930835735
130,Baerbock,728.7391930835735
131,Fortsetzung,728.7391930835735
132,Schutzschild,728.7391930835735
133,kürzlich,728.7391930835735
134,schlimm,728.7391930835735
135,teils,728.7391930835735
136,zustimmen,728.7391930835735
137,Verzicht,728.7391930835735
138,erklären,728.7391930835735
139,verbieten,728.7391930835735
140,13,728.7391930835735
141,berichten,728.7391930835735
142,links,728.7391930835735
143,Heuchelei,728.7391930835735
144,errichten,728.7391930835735
145,westlich,728.7391930835735
146,rechtlich,728.7391930835735
147,Entführung,728.7391930835735
