,Wort,difference
0,europäisch,-88.42505382131324
1,Interesse,-83.57104413347686
2,Russland,-81.81079886206368
3,Bürger,-78.77926533907429
4,2023,-77.85662470164273
5,fordern,-77.85662470164273
6,solch,-77.85662470164273
7,Freund,-76.8501076426265
8,Europa,-76.85010764262648
9,diplomatisch,-75.7477318160849
10,Opfer,-74.53511840688914
11,Terrorist,-73.19486148093591
12,beenden,-71.70568711876571
13,dringend,-71.70568711876571
14,Wirtschaft,-70.04131577281073
15,Zusammenarbeit,-70.04131577281073
16,ermöglichen,-70.04131577281073
17,weniger,-70.04131577281073
18,darum,-70.04131577281073
19,Palästinenser,-69.13347685683532
20,niemals,-68.16889800861142
21,sorgen,-68.16889800861142
22,Familie,-68.16889800861142
23,geschehen,-68.16889800861142
24,also,-68.16889800861142
25,Staat,-67.3527159062681
26,bleiben,-66.78493705246407
27,Zurück,-66.04682454251885
28,Schritt,-66.04682454251885
29,Prinzip,-66.04682454251885
30,gleich,-66.04682454251885
31,Möglichkeit,-66.04682454251885
32,da,-66.04682454251885
33,amerikanisch,-66.04682454251885
34,Terrororganisation,-66.04682454251885
35,Deutschland,-63.83685454232775
36,Zahl,-63.62159772412733
37,Entscheidung,-63.62159772412733
38,Herausforderung,-63.62159772412733
39,historisch,-63.62159772412733
40,wo,-63.62159772412733
41,größt,-63.62159772412733
42,Bürgerinn,-63.62159772412733
43,zugleich,-63.62159772412733
44,nächst,-63.62159772412733
45,dabei,-61.80267761033369
46,direkt,-60.82325908752175
47,sofortig,-60.82325908752175
48,Politik,-60.82325908752175
49,Migration,-60.82325908752175
50,Beziehung,-60.82325908752175
51,Nachbar,-60.82325908752175
52,Partner,-59.256189451022614
53,Beitrag,-57.55853067814856
54,Palästinenserinn,-57.55853067814856
55,Polizist,-57.55853067814856
56,Prozent,-57.55853067814856
57,besonders,-57.55853067814856
58,welcher,-57.55853067814856
59,schnell,-57.55853067814856
60,rechtfertigen,-57.55853067814856
61,zweit,-57.55853067814856
62,heraus,-57.55853067814856
63,enden,-57.55853067814856
64,Wäre,-55.713249403285445
65,beide,-53.70021528525297
66,sogenannt,-53.70021528525297
67,vergessen,-53.70021528525297
68,Herz,-53.70021528525297
69,Generation,-53.70021528525297
70,verehrt,-53.70021528525297
71,Staatsräso,-53.70021528525297
72,staatlich,-53.70021528525297
73,Euro,-53.70021528525297
74,beginnen,-53.70021528525297
75,menschlich,-53.70021528525297
76,weltweit,-53.70021528525297
77,insgesamt,-53.70021528525297
