,Wort,difference
1767,sein,9.417209946035639
1768,haben,9.229207867090553
1769,Merz,9.13520682761804
1770,stark,9.13520682761804
1771,Mittel,9.13520682761804
1772,Hass,9.13520682761804
1773,jüdisch,9.13520682761804
1774,Straße,9.13520682761804
1775,in,8.219813666901755
1776,Dame,7.736037509315215
1777,daran,7.220554076256281
1778,Thema,7.220554076256281
1779,ich,6.507109324798323
1780,ihr,5.703282084611176
1781,Präsident,5.371923833562238
1782,zu,4.68895766056692
1783,der,4.082113163965682
1784,Dafür,3.3357513923339703
1785,leben,1.8595263724435054
1786,friedlich,1.8595263724435027
1787,Sinn,1.8595263724435027
1788,zentral,1.8595263724435027
1789,gesamt,1.8595263724435027
1790,zwischen,1.8595263724435027
1791,überhaupt,1.8595263724435027
1792,Demokratie,1.8595263724435027
1793,sagen,1.8595263724434983
1794,können,1.859526372443488
1795,all,1.8595263724434723
1796,schwer,1.8595263724434665
1797,tausend,1.8595263724434665
1798,rund,1.8595263724434665
1799,Moment,1.8595263724434665
1800,hungern,1.8595263724434665
1801,bislang,1.8595263724434665
1802,Staatsführung,1.8595263724434665
1803,gegenüb,1.8595263724434665
1804,entschuldigen,1.8595263724434665
1805,Pass,1.8595263724434665
1806,Zehntausend,1.8595263724434665
1807,Näh,1.8595263724434665
1808,Ostjerusalem,1.8595263724434665
1809,Mullah-regime,1.8595263724434665
1810,bauen,1.8595263724434665
1811,am,1.8595263724434665
1812,Fortschritt,1.8595263724434665
1813,Anerkennung,1.8595263724434665
1814,ergeben,1.8595263724434665
1815,Theater,1.8595263724434665
1816,verbinden,1.8595263724434665
1817,Vorgehen,1.8595263724434665
1818,weg,1.8595263724434665
1819,stattfinden,1.8595263724434665
1820,schuldig,1.8595263724434665
1821,heutig,1.8595263724434665
1822,zurückkehren,1.8595263724434665
1823,Bürokrati,1.8595263724434665
1824,Gruppe,1.8595263724434665
1825,vorstellen,1.8595263724434665
1826,wiederholen,1.8595263724434665
1827,Gründung,1.8595263724434665
1828,Rechtsruck,1.8595263724434665
1829,Täter,1.8595263724434665
1830,angeblich,1.8595263724434665
1831,Mütter,1.8595263724434665
1832,2006,1.8595263724434665
1833,Nachbarschaft,1.8595263724434665
1834,Unschuldige,1.8595263724434665
1835,stabil,1.8595263724434665
1836,Muslim,1.8595263724434665
1837,erhalten,1.8595263724434665
1838,klein,1.8595263724434665
1839,leiten,1.8595263724434665
1840,Bevölkerungsschutz,1.8595263724434665
1841,Spd-bundestagsfraktion,1.8595263724434665
1842,Desinformation,1.8595263724434665
1843,wenden,1.8595263724434665
1844,vermutlich,1.8595263724434665
1845,Eindruck,1.8595263724434665
1846,Forschung,1.8595263724434665
1847,Gute,1.8595263724434665
1848,Nutzung,1.8595263724434665
1849,Nachricht,1.8595263724434665
1850,bieten,1.8595263724434665
1851,Nato-gipfel,1.8595263724434665
1852,Verhältnismäßigkeit,1.8595263724434665
1853,Kontrolle,1.8595263724434665
1854,Jemen,1.8595263724434665
1855,Auftrag,1.8595263724434665
1856,Format,1.8595263724434665
1857,modern,1.8595263724434665
1858,Anreiz,1.8595263724434665
1859,Rahmenbedingung,1.8595263724434665
1860,Kräft,1.8595263724434665
1861,ebenfalls,1.8595263724434665
1862,Friedrich,1.8595263724434665
1863,Haag,1.8595263724434665
1864,Cyberraum,1.8595263724434665
1865,Zeitenwende,1.8595263724434665
1866,Ausdruck,1.8595263724434665
1867,innen,1.8595263724434665
1868,großartig,1.8595263724434665
1869,Verzweiflung,1.8595263724434665
1870,annehmen,1.8595263724434665
1871,furchtbar,1.8595263724434665
1872,G7,1.8595263724434665
1873,realistisch,1.8595263724434665
1874,verhandeln,1.8595263724434665
1875,Abstimmung,1.8595263724434665
1876,Amerika,1.8595263724434665
1877,werfen,1.8595263724434665
1878,absurd,1.8595263724434665
1879,Botschafter,1.8595263724434665
1880,wächst,1.8595263724434665
1881,Terrorismus,1.8595263724434665
1882,Anfang,1.8595263724434665
1883,sichtbar,1.8595263724434665
1884,Vernichtung,1.8595263724434665
1885,aussprechen,1.8595263724434665
1886,bestehend,1.8595263724434665
1887,schaden,1.8595263724434665
1888,Brief,1.8595263724434665
1889,befinden,1.8595263724434665
1890,betreiben,1.8595263724434665
1891,Kommission,1.8595263724434665
1892,effektiv,1.8595263724434665
1893,konsequent,1.8595263724434665
1894,Kultur,1.8595263724434665
1895,Liebe,1.8595263724434665
1896,Satz,1.8595263724434665
1897,zuvor,1.8595263724434665
1898,Gott,1.8595263724434665
1899,Helmut,1.8595263724434665
1900,Haushalt,1.8595263724434665
1901,Bundespolizei,1.8595263724434665
1902,Medium,1.8595263724434665
1903,nachhaltig,1.8595263724434665
1904,vorbereiten,1.8595263724434665
1905,handlungsfähig,1.8595263724434665
1906,verschärf,1.8595263724434665
1907,Unternehmen,1.8595263724434665
1908,Wahlperiode,1.8595263724434665
1909,Berlin,1.8595263724434665
1910,aggressiv,1.8595263724434665
1911,deeskalierend,1.8595263724434665
1912,Grundsatz,1.8595263724434665
1913,Nahostkonflikt,1.8595263724434665
1914,abschlachten,1.8595263724434665
1915,unendlich,1.8595263724434665
1916,damals,1.8595263724434665
1917,Binnenmarkt,1.8595263724434665
1918,souveräner,1.8595263724434665
1919,entwaffnen,1.8595263724434665
1920,beschäftigen,1.8595263724434665
1921,legen,1.8595263724434665
1922,selbstverständlich,1.8595263724434665
1923,schlagen,1.8595263724434665
1924,Mut,1.8595263724434665
1925,Wasser,1.8595263724434665
1926,euch,1.8595263724434665
1927,Lösung,1.8595263724434665
1928,schon,1.8595263724434665
1929,erleben,1.8595263724434665
1930,meinen,1.8595263724434665
1931,Brot,1.8595263724434665
1932,Hunderttausend,1.8595263724434665
1933,Cdu/csu-fraktion,1.8595263724434665
1934,Standard,1.8595263724434665
1935,Lucks,1.8595263724434665
1936,mindestens,1.8595263724434665
1937,bitten,1.8595263724434665
1938,Phase,1.8595263724434665
1939,bisherig,1.8595263724434665
1940,voranbringen,1.8595263724434665
1941,Aggression,1.8595263724434665
1942,spät,1.8595263724434665
1943,stärkst,1.8595263724434665
1944,aussetzen,1.8595263724434665
1945,fördern,1.8595263724434665
1946,Partnerschaft,1.8595263724434665
1947,verwenden,1.8595263724434665
1948,erhöh,1.8595263724434665
1949,Aufnahme,1.8595263724434665
1950,letztlich,1.8595263724434665
1951,Lösen,1.8595263724434665
1952,Verwaltung,1.8595263724434665
1953,neutral,1.8595263724434665
1954,protestieren,1.8595263724434665
1955,Klima,1.8595263724434665
1956,Prioritäte,1.8595263724434665
1957,auseinandersetzen,1.8595263724434665
1958,benennen,1.8595263724434665
1959,Hinweis,1.8595263724434665
1960,darin,1.8595263724434665
1961,Amerikaner,1.8595263724434665
1962,Regulierung,1.8595263724434665
1963,Maritime,1.8595263724434665
1964,beteiligt,1.8595263724434665
1965,freiheitlich,1.8595263724434665
1966,Hinsicht,1.8595263724434665
1967,unternehmen,1.8595263724434665
1968,Sicherheitsbehörde,1.8595263724434665
1969,Bundesregierung,0.5192694464902757
1970,werden,0.42488515593019033
1971,gut,0.04060625864985813
1972,wenn,0.04060625864985813
1973,sie,-0.5593014305960734
1974,stehen,-1.4262648008611476
1975,machen,-1.714492096765063
1976,Unterstützung,-2.0581477188043302
1977,endlich,-2.0581477188043302
1978,verteidigen,-2.9909272643395655
1979,finden,-2.9909272643395655
1980,aktuell,-2.9909272643395655
1981,palästinensisch,-3.646393972012917
1982,und,-3.8675152709870546
1983,Armee,-4.50669402583423
1984,weit,-4.50669402583423
1985,Präsidentin,-4.50669402583423
1986,wie,-4.50669402583424
1987,gegen,-6.835799049594374
1988,deswegen,-7.400430570505915
1989,dort,-7.400430570505915
1990,Verbrechen,-7.400430570505939
1991,Trump,-7.400430570505939
1992,unabhängig,-7.400430570505939
1993,gegenüber,-7.400430570505939
1994,offen,-7.400430570505939
1995,folgen,-7.400430570505939
1996,Existenzrecht,-7.400430570505939
1997,ab,-7.400430570505939
1998,Gelegenheit,-7.400430570505939
1999,Spiel,-7.400430570505939
2000,Dienst,-7.400430570505939
2001,Bundestag,-7.400430570505939
2002,alt,-7.400430570505939
2003,notwendig,-7.400430570505939
2004,Für,-7.400430570505939
2005,Afd,-7.400430570505939
2006,ein,-7.689804224973087
2007,sich,-8.218447968292965
2008,Krieg,-8.782513696319256
2009,möglich,-9.053994310318293
2010,Geisel,-9.458198780050248
