,Wort,difference
0,Brüssel,1179.4221282593376
1,investieren,1179.4221282593376
2,Wirtschaft,923.53770260747
3,jung,923.53770260747
4,Wettbewerbsfähigkeit,795.5954897815365
5,Bundesaußenminister,795.5954897815365
6,Köpfe,795.5954897815365
7,miteinander,795.5954897815365
8,Stärk,795.5954897815365
9,Fähigkeit,795.5954897815365
10,digital,795.5954897815365
11,Herausforderung,731.6243833685695
12,Unterschied,667.6532769556026
13,Dimension,667.6532769556026
14,morgen,667.6532769556026
15,bewältigen,667.6532769556026
16,China,667.6532769556026
17,Verlässlichkeit,667.6532769556026
18,Polizistin,667.6532769556026
19,verschieden,667.6532769556026
20,Investition,667.6532769556026
21,bedürfen,667.6532769556026
22,Wechsel,667.6532769556026
23,Platz,667.6532769556026
24,Arbeitnehmerin,667.6532769556026
25,Überzeugung,667.6532769556026
26,Dankeschö,667.6532769556026
27,Arbeitnehmer,667.6532769556026
28,schnellstmöglich,667.6532769556026
29,heraus,603.6821705426356
30,Polizist,603.6821705426356
31,zweit,603.6821705426356
32,Aggression,539.7110641296688
33,Cdu/csu-fraktion,539.7110641296688
34,Sicherheitsbehörde,539.7110641296688
35,innen,539.7110641296688
36,Binnenmarkt,539.7110641296688
37,insgesamt,539.7110641296688
38,Brot,539.7110641296688
39,vermutlich,539.7110641296688
40,Zeitenwende,539.7110641296688
41,Cyberraum,539.7110641296688
42,Nato-gipfel,539.7110641296688
43,Eindruck,539.7110641296688
44,Bundespolizei,539.7110641296688
45,Wahlperiode,539.7110641296688
46,Nachricht,539.7110641296688
47,sichtbar,539.7110641296688
48,Kommission,539.7110641296688
49,G7,539.7110641296688
50,leiten,539.7110641296688
51,modern,539.7110641296688
52,Näh,539.7110641296688
53,Anreiz,539.7110641296688
54,erhöh,539.7110641296688
55,euch,539.7110641296688
56,Bürokrati,539.7110641296688
57,Klima,539.7110641296688
58,Bevölkerungsschutz,539.7110641296688
59,Rahmenbedingung,539.7110641296688
60,annehmen,539.7110641296688
61,Abstimmung,539.7110641296688
62,Gute,539.7110641296688
63,Regulierung,539.7110641296688
64,Hinweis,539.7110641296688
65,Amerika,539.7110641296688
66,voranbringen,539.7110641296688
67,Anfang,539.7110641296688
68,Kräft,539.7110641296688
69,Aufgabe,462.9457364341085
70,Bundesrepublik,454.4162555790462
71,amerikanisch,454.4162555790462
72,aufbauen,411.76885130373506
73,Entschlossenheit,411.76885130373506
74,Europäer,411.76885130373506
75,Ausgabestelle,411.76885130373506
76,Handelsabkommen,411.76885130373506
77,Sozialstaat,411.76885130373506
78,erfüllen,411.76885130373506
79,Rat,411.76885130373506
80,Energiepolitik,411.76885130373506
81,speziell,411.76885130373506
82,G7-gipfel,411.76885130373506
83,Amtstag,411.76885130373506
84,Taser,411.76885130373506
85,Austausch,411.76885130373506
86,Konsens,411.76885130373506
87,Schuld,411.76885130373506
88,Warschau,411.76885130373506
89,jener,411.76885130373506
90,Kyjiw,411.76885130373506
91,Arbeitsplätz,411.76885130373506
92,Nuklearprogramm,411.76885130373506
93,spürbar,411.76885130373506
