,Wort,difference
0,neu,-91.27447716473472
1,gemeinsam,-85.08728824518298
2,unser,-73.6270370895519
3,Interesse,-73.54196301564723
4,nehmen,-72.66002844950214
5,Land,-72.0386654597181
6,Soldat,-71.71727080982978
7,Frage,-71.71727080982978
8,glauben,-67.19203413940257
9,leisten,-67.19203413940257
10,deutsch,-66.17735478288924
11,daher,-65.82503556187766
12,Bürger,-65.82503556187766
13,Terror,-64.33916754282887
14,daran,-62.71822061295746
15,Europa,-62.71822061295746
16,Soldatin,-62.71822061295746
17,Debatte,-60.94289778500305
18,Stelle,-58.9900426742532
19,Mandat,-58.9900426742532
20,demokratisch,-58.9900426742532
21,üb,-58.9900426742532
22,erwarten,-58.9900426742532
23,etwas,-56.831623867634946
24,Terrorist,-56.831623867634946
25,lange,-56.831623867634946
26,Ziel,-56.831623867634946
27,bereits,-56.831623867634946
28,dauerhaft,-56.831623867634946
29,sondern,-56.06076000812844
30,Bedrohung,-54.43338074917022
31,Usa,-54.43338074917022
32,weit,-54.43338074917022
33,Sicherheit,-54.43338074917022
34,sprechen,-53.131477342003656
35,Deutschland,-52.03513763070551
36,europäisch,-51.75299138147437
37,persönlich,-51.75299138147435
38,Ordnung,-51.75299138147435
39,Rakete,-51.75299138147435
40,Wirtschaft,-51.75299138147435
41,Zusammenarbeit,-51.75299138147435
42,friedlich,-51.75299138147435
43,massiv,-51.75299138147435
44,zentral,-51.75299138147435
45,danken,-51.75299138147435
46,ermöglichen,-51.75299138147435
47,Sinn,-51.75299138147435
48,Arbeit,-51.75299138147435
49,Punkt,-51.75299138147435
50,darum,-51.75299138147435
51,aus,-49.526206368311634
52,Stabilität,-48.737553342816504
53,angreifen,-48.737553342816504
54,Freiheit,-48.737553342816504
55,Entwicklung,-48.737553342816504
56,Hass,-48.737553342816504
57,wieder,-48.737553342816504
58,Mittel,-48.737553342816504
59,tatsächlich,-48.737553342816504
60,er,-47.92386371333739
61,Zeit,-47.08392603129445
62,möglich,-47.08392603129445
63,Humanitäre,-46.03952983454369
64,allein,-45.32005689900427
65,drei,-45.32005689900427
66,Organisation,-45.32005689900427
67,hinweisen,-45.32005689900427
68,Nation,-45.32005689900427
69,Parlament,-45.32005689900427
70,darüber,-45.32005689900427
71,bedrohen,-45.32005689900427
72,Möglichkeit,-45.32005689900427
73,Wert,-45.32005689900427
74,amerikanisch,-45.32005689900427
75,lieben,-45.32005689900427
76,viele,-45.32005689900427
77,Prinzip,-45.32005689900427
78,Bundesrepublik,-45.32005689900427
79,Versorgung,-45.32005689900427
80,ohne,-44.077330919436186
81,wir,-44.051899964874764
82,Frieden,-43.82197626610028
83,können,-43.71182327838673
84,iranisch,-43.43454161965959
85,gelten,-41.41434667750459
86,können,-41.41434667750459
87,größt,-41.41434667750457
88,Perspektive,-41.41434667750457
89,insbesondere,-41.41434667750457
90,helfen,-41.41434667750457
91,Entscheidung,-41.41434667750457
92,Weise,-41.41434667750457
93,Herausforderung,-41.41434667750457
94,Bürgerinn,-41.41434667750457
95,Eskalation,-41.41434667750457
96,bedeuten,-41.41434667750457
97,richten,-41.41434667750457
98,uns,-41.41434667750457
99,Kollege,-41.41434667750457
100,wer,-40.34915298073193
101,dazu,-39.985428303785184
102,vereint,-39.24450766556029
103,selbst,-39.24450766556029
104,Russland,-39.24450766556029
105,lieb,-36.90775796038955
106,Massaker,-36.907757960389546
107,unmittelbar,-36.907757960389546
108,Beziehung,-36.907757960389546
109,Mission,-36.907757960389546
110,unerträglich,-36.907757960389546
111,Region,-36.907757960389546
112,gestern,-36.907757960389546
113,direkt,-36.907757960389546
114,schaffen,-36.907757960389546
115,anders,-36.907757960389546
116,Unifil,-36.907757960389546
117,Erfolg,-36.907757960389546
118,Verhandlung,-36.907757960389546
119,eng,-36.907757960389546
120,Dafür,-36.08837819364137
121,alle,-35.92194167852064
122,Weg,-35.24743580145244
123,wollen,-35.247435801452426
124,Partner,-34.384068278805124
125,Welt,-33.854907539118074
126,gut,-33.854907539118074
127,Kollegin,-33.0449676314338
128,weil,-31.650071123755342
129,gegenüber,-31.650071123755325
130,zweit,-31.650071123755325
131,Für,-31.650071123755325
132,Gelegenheit,-31.650071123755325
133,Angst,-31.650071123755325
134,ab,-31.650071123755325
135,antisemitisch,-31.650071123755325
136,Beitrag,-31.650071123755325
137,erneut,-31.650071123755325
138,Existenzrecht,-31.650071123755325
139,Bundestag,-31.650071123755325
140,Afd,-31.650071123755325
141,besonders,-31.650071123755325
142,heraus,-31.650071123755325
143,Polizist,-31.650071123755325
144,Spiel,-31.650071123755325
145,sollen,-30.687396069160354
146,vor,-30.06053789407523
147,Hisbollah,-29.697216013005498
148,Verantwortung,-29.29317702457449
149,bringen,-28.67833508565774
150,verteidigen,-28.67833508565774
151,Außenminister,-28.67833508565774
152,lassen,-28.67833508565774
153,Gesellschaft,-28.67833508565774
154,Hilfe,-27.09340919867237
155,Ukraine,-25.43644122591492
156,bestehen,-25.43644122591491
157,Tat,-25.43644122591491
158,Lösung,-25.43644122591491
159,auswärtig,-25.43644122591491
160,nachhaltig,-25.43644122591491
161,ihm,-25.43644122591491
162,Staatsräso,-25.43644122591491
163,verletzen,-25.43644122591491
164,trotz,-25.43644122591491
165,während,-25.43644122591491
166,Spd,-25.43644122591491
167,solch,-25.43644122591491
168,gerecht,-25.43644122591491
169,Teheran,-25.43644122591491
170,Unternehmen,-25.43644122591491
171,finanzieren,-25.43644122591491
172,konsequent,-25.43644122591491
173,versorgen,-25.43644122591491
174,hinter,-25.43644122591491
175,Generation,-25.43644122591491
