,Wort,difference
0,Srebrenica,5641.394025604553
1,Strafgerichtshof,4821.194879089615
2,protestieren,4000.995732574679
3,auseinandersetzen,4000.995732574679
4,beschämend,3180.7965860597437
5,Eimerkette,3180.7965860597437
6,Trauma,3180.7965860597437
7,Schutzsuchende,3180.7965860597437
8,Foto,3180.7965860597437
9,genozidal,3180.7965860597437
10,Uno-beschluß,3180.7965860597437
11,Völkermord,3180.7965860597437
12,T.,2360.597439544807
13,607,2360.597439544807
14,begründen,2360.597439544807
15,vorliegen,2360.597439544807
16,Reservist,2360.597439544807
17,Geiselnahme,2360.597439544807
18,bosnisch,2360.597439544807
19,beliefern,2360.597439544807
20,Diktatur,2360.597439544807
21,zynisch,2360.597439544807
22,Al-najjar,2360.597439544807
23,Feuer,2360.597439544807
24,Maja,2360.597439544807
25,Jugoslawien,2360.597439544807
26,Lebensgrundlage,2360.597439544807
27,Verschleppung,2360.597439544807
28,Jin,2360.597439544807
29,Rechtsprechung,2360.597439544807
30,Jiyan,2360.597439544807
31,gedenken,2360.597439544807
32,löschen,2360.597439544807
33,Kriegsverbrecher,2360.597439544807
34,Strom,2360.597439544807
35,Grundidee,2360.597439544807
36,Rassismus,2360.597439544807
37,Mittelmeerkreuzfahrt,2360.597439544807
38,Ungarn,2360.597439544807
39,1947,2360.597439544807
40,Weltöffentlichkeit,2360.597439544807
41,Azadî,2360.597439544807
42,Alaa,2360.597439544807
43,Menschenrechtsverbrechen,2360.597439544807
44,Kriegsverbrechen,2196.5576102418213
45,Konfliktpartei,1950.4978662873395
46,Verbrechen,1745.4480796586056
47,Palästinenserinn,1745.4480796586056
48,betreiben,1540.3982930298719
49,Standard,1540.3982930298719
50,Botschafter,1540.3982930298719
51,Verzweiflung,1540.3982930298719
52,deeskalierend,1540.3982930298719
53,Haftbefehl,1266.9985775248936
54,abschieben,1266.9985775248936
55,doppelt,1266.9985775248936
56,rechtfertigen,1212.3186344238975
57,Palästina,1188.8843730948993
58,unfassbar,1130.2987197724035
59,hinterlassen,1130.2987197724035
60,Chang,1130.2987197724035
61,weisen,1130.2987197724035
62,sinken,1130.2987197724035
63,Verfolgung,1130.2987197724035
64,integrieren,1130.2987197724035
65,aufhören,1130.2987197724035
66,überraschend,1130.2987197724035
67,irgendwann,1130.2987197724035
68,Bombardierung,1130.2987197724035
69,Herkunft,1130.2987197724035
70,Stopp,1130.2987197724035
71,bombardieren,1130.2987197724035
72,organisieren,1130.2987197724035
73,Nationalismus,1130.2987197724035
74,vernichten,1130.2987197724035
75,Ermordung,1130.2987197724035
76,Revolution,1130.2987197724035
77,Gedanke,1130.2987197724035
78,Treffen,1130.2987197724035
79,verlangen,1130.2987197724035
80,Netanjahu,1071.7130664499084
81,Waffenexport,993.5988620199148
82,brennen,993.5988620199148
83,liefern,993.5988620199148
84,Zivilistin,884.238975817923
85,Handeln,720.1991465149362
86,Muslim,720.199146514936
87,entschuldigen,720.199146514936
88,könnten,720.199146514936
89,Hunderttausend,720.199146514936
90,Wasser,720.199146514936
91,Zehntausend,720.199146514936
92,meinen,720.199146514936
93,einerseits,720.199146514936
94,Nahostkonflikt,720.199146514936
95,absurd,720.199146514936
96,genug,720.199146514936
97,Evin-gefängnis,720.199146514936
98,bieten,720.199146514936
99,Unterdrückung,720.199146514936
100,Brief,720.199146514936
101,tausend,720.199146514936
102,Benjamin,720.199146514936
103,aussetzen,720.199146514936
104,erkennen,720.1991465149359
105,Option,720.1991465149359
106,getöt,720.1991465149359
107,stoppen,720.1991465149359
108,endlich,668.9366998577525
109,unabhängig,603.0278398699451
110,welcher,603.0278398699451
111,Schluß,583.4992887624467
112,sitzen,583.4992887624467
113,Name,556.1593172119489
114,systematisch,556.1593172119489
115,passieren,556.1593172119489
116,vorantreiben,556.1593172119489
117,erwähnen,556.1593172119489
118,aufgrund,556.1593172119489
119,Selbstverteidigung,556.1593172119489
120,Opfer,515.1493598862021
121,Nachbar,515.1493598862019
122,Abschiebung,515.1493598862019
123,Hände,515.1493598862019
124,Krankenhäus,515.1493598862019
