,Wort,difference
1950,auf,9.22733263445148
1951,und,9.171830941039651
1952,kommen,8.840001667662628
1953,können,7.9565600956848375
1954,arbeiten,6.5725016329196695
1955,Opfer,6.5725016329196695
1956,Zeichen,6.5725016329196695
1957,üb,6.5725016329196695
1958,Präsident,6.572501632919664
1959,Glück,6.572501632919657
1960,Gemeinde,6.572501632919657
1961,gleichgültig,6.572501632919657
1962,Ding,6.572501632919657
1963,Deutlichkeit,6.572501632919657
1964,rasch,6.572501632919657
1965,global,6.572501632919657
1966,vermeiden,6.572501632919657
1967,jeder,6.572501632919657
1968,Islamist,6.572501632919657
1969,abschießen,6.572501632919657
1970,gehören,6.572501632919657
1971,umsetzen,6.572501632919657
1972,Voraussetzung,6.572501632919657
1973,Besuch,6.572501632919657
1974,ehemalig,6.572501632919657
1975,morgen,6.572501632919657
1976,verschieden,6.572501632919657
1977,bedürfen,6.572501632919657
1978,Nahost,6.572501632919657
1979,Hungersnot,6.572501632919657
1980,gegenwärtig,6.572501632919657
1981,Arbeitnehmerin,6.572501632919657
1982,direkt,6.572501632919657
1983,Nachbar,6.572501632919657
1984,verantwortungsvoll,6.572501632919657
1985,Einsatzkräft,6.572501632919657
1986,wesentlich,6.572501632919657
1987,Gideon,6.572501632919657
1988,Stunde,6.572501632919657
1989,Strafgerichtshof,6.572501632919657
1990,Kommune,6.572501632919657
1991,verdienen,6.572501632919657
1992,China,6.572501632919657
1993,nachdem,6.572501632919657
1994,Task,6.572501632919657
1995,maßgeblich,6.572501632919657
1996,erklärt,6.572501632919657
1997,Dankeschö,6.572501632919657
1998,Dimension,6.572501632919657
1999,ausgerechnet,6.572501632919657
2000,radikal,6.572501632919657
2001,sichern,6.572501632919657
2002,Sicherheitskräft,6.572501632919657
2003,Waffenschmuggel,6.572501632919657
2004,Weltkrieg,6.572501632919657
2005,betrachten,6.572501632919657
2006,angesichts,6.572501632919657
2007,bloß,6.572501632919657
2008,Kanzler,6.572501632919657
2009,treten,6.572501632919657
2010,Bzw,6.572501632919657
2011,propalästinensisch,6.572501632919657
2012,Polizei,6.572501632919657
2013,Investition,6.572501632919657
