,Wort,difference
0,unser,-63.0829522651012
1,aber,-61.634554037627574
2,europäisch,-58.52072525711438
3,heute,-56.96848628544715
4,doch,-56.51647458676486
5,wir,-53.82820054910788
6,mehr,-52.30839148225825
7,es,-52.01354382527065
8,Welt,-50.4828753667466
9,dies,-46.654231709536276
10,Dame,-45.6741257304464
11,auch,-44.50895952627367
12,Politik,-44.35979006263462
13,um,-43.13692830576944
14,kommen,-40.52253420488528
15,immer,-40.52253420488528
16,Europa,-39.65551575306146
17,zu,-38.17490647454685
18,all,-37.93655743118464
19,viel,-37.27830879787902
20,gut,-35.318255947812744
21,schon,-34.706125877918225
22,sollen,-32.90710503500836
23,denn,-32.57928958729667
24,geben,-31.80178551334457
25,Gemeinschaft,-31.46305265993403
26,über,-31.12093811414335
27,Mensch,-31.00613967766691
28,an,-30.960113086391182
29,und,-30.553225933756643
30,groß,-30.07379021385162
31,zwischen,-28.87230894604837
32,Sowjetunion,-27.374883871228345
33,Regierung,-27.374883871228345
34,Frieden,-27.374883871228345
35,ich,-26.6311843756206
36,wenn,-26.14394969955424
37,sie,-24.596873964663306
38,wieder,-22.187375576316075
39,erst,-21.89374303132105
40,deshalb,-20.391699628077216
41,Jahr,-20.187051041002857
42,eigen,-19.147819934765934
43,dazu,-19.147819934765934
44,haben,-18.404107371747997
45,Teil,-17.207367613200315
46,darauf,-16.20178908218655
47,sondern,-15.861145948374293
48,jetzt,-15.861145948374293
49,Problem,-15.861145948374293
50,ohne,-15.171483210246217
51,beide,-13.757674597083652
52,Nation,-12.295940268220672
53,nur,-12.016331151116157
54,Deutsche,-11.922731503404583
55,stellen,-10.783801307327913
56,Staat,-10.397583996970031
57,müssen,-10.008008275217735
58,man,-10.008008275217724
59,mein,-9.746403648110793
60,wollen,-9.085689179941772
61,sagen,-8.00818623688923
62,alle,-6.974570351910456
63,wer,-6.765053618468822
64,so,-6.554590985553396
65,bei,-5.5956301176742365
66,nicht,-5.459082993148937
67,hätten,-4.175193996759612
68,Kollege,-4.175193996759612
69,wichtig,-3.72949722465152
70,selbst,-2.8255488417843897
71,mit,-2.6884903775273994
72,dort,-0.9657507334931935
73,vor,-0.8075490573485954
74,anderer,-0.48962453509652915
75,sein,-0.13754536812517096
76,Zusammenarbeit,-0.008898083575244605
77,jed,-0.008898083575244605
78,seit,1.9613699344823736
79,Entwicklung,2.975910928855342
80,ihr,3.9362314755376353
81,sehr,4.272836759193554
82,heißen,5.066792369035133
83,bis,5.602847432142467
84,gerade,6.144400495897041
85,uns,6.967225305942757
86,in,7.659131204494126
87,bleiben,7.802906753645421
88,sowjetisch,7.802906753645421
89,gelten,7.802906753645421
90,dann,7.80290675364545
91,ganz,8.93767419315749
92,sich,9.99021210806724
93,Wort,10.096585620744282
94,oder,10.096585620744282
95,dabei,10.685337415507616
96,können,10.685337415507616
97,westlich,13.104689053005053
98,nun,13.104689053005053
99,dieser,13.559755468360951
100,wirtschaftlich,13.726143388461123
101,finden,14.989767203888459
102,Afghanistan,14.989767203888459
103,einmal,15.63216813798839
104,Tag,16.938746309039118
105,Ddr,16.938746309039118
106,der,18.919982535800838
107,gemeinsam,19.297741191354003
108,nichts,20.3381284691856
109,daß,20.95864133513191
110,Bundeskanzler,21.396821681524482
111,als,23.623811157764035
112,glauben,24.68769937771038
113,wo,24.68769937771038
114,können,25.064399375830337
115,tun,25.064399375830337
116,werden,25.148419798655883
117,Haus,25.443382404241955
118,einig,26.208281077438546
119,ein,26.80689743037503
120,Volk,26.982565010428985
121,Menschenrecht,27.766408004320517
122,Ziel,27.766408004320517
123,noch,29.85042720639851
124,aus,30.341045948991937
125,hier,30.505410445775045
126,gehen,31.001000612024836
127,zwar,31.001000612024836
128,Bürger,33.53650384967692
129,weil,33.96866082006421
130,Entspannung,35.28207906339818
131,],36.17209274144687
132,wie,37.46404808054979
133,nämlich,37.987720644666176
134,ander,39.61658075345647
135,—,40.168113521669916
136,Opposition,40.80379657618996
