,Wort,difference
8502,sich,9.99021210806724
8503,ganz,8.93767419315749
8504,dann,7.80290675364545
8505,gelten,7.802906753645421
8506,bleiben,7.802906753645421
8507,sowjetisch,7.802906753645421
8508,in,7.659131204494126
8509,uns,6.967225305942757
8510,gerade,6.144400495897041
8511,bis,5.602847432142467
8512,heißen,5.066792369035133
8513,sehr,4.272836759193554
8514,ihr,3.9362314755376353
8515,Entwicklung,2.975910928855342
8516,seit,1.9613699344823736
8517,jed,-0.008898083575244605
8518,Zusammenarbeit,-0.008898083575244605
8519,sein,-0.13754536812517096
8520,anderer,-0.48962453509652915
8521,vor,-0.8075490573485954
8522,dort,-0.9657507334931935
8523,mit,-2.6884903775273994
8524,selbst,-2.8255488417843897
8525,wichtig,-3.72949722465152
8526,hätten,-4.175193996759612
8527,Kollege,-4.175193996759612
8528,nicht,-5.459082993148937
8529,bei,-5.5956301176742365
8530,so,-6.554590985553396
8531,wer,-6.765053618468822
8532,alle,-6.974570351910456
8533,sagen,-8.00818623688923
8534,wollen,-9.085689179941772
8535,mein,-9.746403648110793
