,Wort,difference
0,Franghi,248277.8971603991
1,Notar,124088.94858019953
2,Beglaubigung,124088.94858019953
3,Landgericht,103390.79048349962
4,Firma,82692.63238679968
5,Luftfahrzeug,82692.63238679968
6,tatenlos,61994.47429009977
7,Israel-boykott,61994.47429009977
8,Flugbereitschaft,61994.47429009977
9,Abs,61994.47429009977
10,Landesjustizverwaltung,61994.47429009977
11,Spd-vorsitzende,61994.47429009977
12,Zwischenbeglaubigung,61994.47429009977
13,Flug,61994.47429009977
14,S.,61994.47429009977
15,feindselig,61994.47429009977
16,Abnehmer,61994.47429009977
17,Urkunde,41296.316193399834
18,notariell,30947.23714504988
19,Gebühr,30947.23714504988
20,Plo,18010.88833461243
21,Büro,15423.618572524943
22,Meinungsäußerung,13698.772064466613
23,beugen,13698.772064466613
24,Ausländer,13698.772064466613
25,250,13698.772064466613
26,ausweisen,13698.772064466613
27,verstöß,13698.772064466613
28,mittels,13698.772064466613
29,Gewaltanwendung,13698.772064466613
30,Palästina,13698.772064466613
31,Vorschrift,13698.772064466613
32,zugegebenermaßen,13698.772064466613
33,zugelassen,13698.772064466613
34,wem,13698.772064466613
35,höchstens,13698.772064466613
36,Strafgesetz,10249.07904834996
37,Sprachrohr,10249.07904834996
38,Bundesministerium,10249.07904834996
39,B,10249.07904834996
40,Sicherheitsbehörde,10249.07904834996
41,45,10249.07904834996
42,Hintergründe,10249.07904834996
43,vorwiegend,10249.07904834996
44,begeben,10249.07904834996
45,Rechtslage,10249.07904834996
46,Schreiben,10249.07904834996
47,Einnahme,8770.639184299967
48,derzeit,8770.639184299967
49,übernimmen,8179.26323867997
50,Abend,8179.26323867997
51,Verteidigungsministerium,8179.26323867997
52,Anhaltspunkt,8179.26323867997
53,beträg,8179.26323867997
54,Veranlassung,8179.26323867997
55,Bundesrechnungshof,8179.26323867997
56,Mißverständnis,8179.26323867997
57,Viertel,8179.26323867997
58,unmenschlich,8179.26323867997
59,ungeachtet,7661.809286262472
60,Unterschrift,6799.386032233308
61,Sicherungsverwahrung,6799.386032233307
62,Muß.ich,6799.386032233307
63,Nägel,6799.386032233307
64,Vietnamkrieg,6799.386032233307
65,überwies,6799.386032233307
66,Monatsbericht,6799.386032233307
67,weitreichend,6799.386032233307
68,Blüt,6799.386032233307
69,Kabelfernsehen,6799.386032233307
70,körperlich,6799.386032233307
71,kritiklos,6799.386032233307
72,Zwischenfäll,6799.386032233307
73,Schadenfreude,6799.386032233307
74,Sauberkeit,6799.386032233307
75,Fischereipolitik,6799.386032233307
76,achtjährig,6799.386032233307
77,durchlesen,6799.386032233307
78,Martin,6799.386032233307
79,Bahn,6799.386032233307
80,Schlußstrich,6799.386032233307
81,Größeres,6799.386032233307
82,Erwerb,6799.386032233307
83,herausgreifen,6799.386032233307
84,Verschlechterung,6799.386032233307
85,Sparer,6799.386032233307
86,War.—,6799.386032233307
87,Volkszugehörigkeit,6799.386032233307
88,Entscheidungsorgan,6799.386032233307
89,assoziieren,6799.386032233307
90,James,6799.386032233307
91,Ennepetal,6799.386032233307
92,Schwerbeschädigtenauswei,6799.386032233307
93,Lebensfrage,6799.386032233307
94,orientiert,6799.386032233307
95,vorläufig,6799.386032233307
96,Äthiopien,6799.386032233307
97,Unverletzlichkeit,6799.386032233307
98,bestenfalls,6799.386032233307
99,Großforschungseinrichtung,6799.386032233307
100,Sed-regime,6799.386032233307
101,anklagen,6799.386032233307
102,ausgebildet,6799.386032233307
103,antasten,6799.386032233307
104,Würden,6799.386032233307
105,Straftäter,6799.386032233307
106,Gesamtsystem,6799.386032233307
107,Ursprung,6799.386032233307
108,Interessenlage,6799.386032233307
109,charakterisieren,6799.386032233307
110,ausschalten,6799.386032233307
111,Vertragsrecht,6799.386032233307
112,spärlich,6799.386032233307
113,Gesellschaftsveränder,6799.386032233307
114,Minderung,6799.386032233307
115,Ausrede,6799.386032233307
116,Bruno,6799.386032233307
117,Beschleuniger,6799.386032233307
118,wandeln,6799.386032233307
119,Westmächte,6799.386032233307
120,Aktionsmöglichkeit,6799.386032233307
121,hinausgehend,6799.386032233307
122,Führungsaufgabe,6799.386032233307
123,Gesellschaftslehre,6799.386032233307
124,Intellektuelle,6799.386032233307
125,Warenverkehr,6799.386032233307
126,freikaufen,6799.386032233307
127,Bescheid,6799.386032233307
128,Panorama,6799.386032233307
129,heil,6799.386032233307
130,Mißtrauensvotum,6799.386032233307
131,abschätzig,6799.386032233307
132,Agrarbereich,6799.386032233307
133,Reden,6799.386032233307
134,konsolidieren,6799.386032233307
135,Belieferung,6799.386032233307
136,Hochachtung,6799.386032233307
137,verdächtigen,6799.386032233307
138,bestreben,6799.386032233307
139,zurechnen,6799.386032233307
140,Versagen,6799.386032233307
141,Wirtschaftsleben,6799.386032233307
142,Revue,6799.386032233307
143,Legitimierung,6799.386032233307
144,demographisch,6799.386032233307
145,publizistisch,6799.386032233307
146,Stiefel,6799.386032233307
147,Sanktionsmaßnahme,6799.386032233307
148,Verfassungsmäßigkeit,6799.386032233307
149,Preisstabilität,6799.386032233307
150,Eisen,6799.386032233307
151,Verfassungsrecht,6799.386032233307
152,Versorgungsstörung,6799.386032233307
153,doppelbödig,6799.386032233307
154,Ausfuhr,6799.386032233307
155,Geschichtsbild,6799.386032233307
156,Marginalmenge,6799.386032233307
157,Dramatisierung,6799.386032233307
158,bewundernswert,6799.386032233307
159,120,6799.386032233307
160,erpressen,6799.386032233307
161,fühlend,6799.386032233307
162,Realisierung,6799.386032233307
163,vorherig,6799.386032233307
164,Fraktionsführung,6799.386032233307
165,paarmal,6799.386032233307
166,Tauziehen,6799.386032233307
167,Löcher,6799.386032233307
168,liquidieren,6799.386032233307
169,beurlauben,6799.386032233307
170,unterliegen,6799.386032233307
171,"4,5",6799.386032233307
172,Abkehr,6799.386032233307
173,Nüchternheit,6799.386032233307
174,Wandlung,6799.386032233307
175,Festschreibung,6799.386032233307
176,Konjunkturprognose,6799.386032233307
177,statthaft,6799.386032233307
178,Kleinarbeit,6799.386032233307
179,schmerzhaft,6799.386032233307
180,Rentenpolitik,6799.386032233307
181,ersichtlich,6799.386032233307
182,Rambouillet,6799.386032233307
183,eklatant,6799.386032233307
184,Selbstmäßigung,6799.386032233307
185,Begehren,6799.386032233307
186,49,6799.386032233307
187,Unwahrheit,6799.386032233307
188,George,6799.386032233307
189,Problembewußtsein,6799.386032233307
190,durchsetzbar,6799.386032233307
191,absichern,6799.386032233307
192,Dkfz,6799.386032233307
193,Interessenkollision,6799.386032233307
194,Seele,6799.386032233307
195,gerät,6799.386032233307
196,Wiedereinführung,6799.386032233307
197,herausnehmen,6799.386032233307
198,Wirtschaftsjahr,6799.386032233307
199,beschreiten,6799.386032233307
