,Wort,difference
3805,viel,9.999121487865116
3806,bestehen,9.935019435716006
3807,nach,9.844239072845895
3808,bringen,9.68573367735839
3809,Herr,9.685733677358382
3810,Export,9.68573367735837
3811,einleiten,9.68573367735837
3812,Rang,9.68573367735837
3813,Verständni,9.68573367735837
3814,Gebrauch,9.68573367735837
3815,eignen,9.68573367735837
3816,weimarer,9.68573367735837
3817,ausgeben,9.68573367735837
3818,Gesetzgebung,9.68573367735837
3819,schlagen,9.68573367735837
3820,benutzen,9.68573367735837
3821,irgend,9.68573367735837
3822,80er,9.68573367735837
3823,verweisen,9.68573367735837
3824,Bericht,9.685733677358366
3825,kommen,9.389285748500663
3826,Seite,9.267085838895191
3827,Wirkung,8.879220929730735
3828,Professor,8.879220929730735
3829,Ebene,8.879220929730735
3830,nachdem,8.879220929730735
3831,wer,8.817966796999528
3832,Reise,8.588876340584802
3833,Satz,8.588876340584802
3834,Jahr,8.268520171310763
3835,sein,8.198930213197734
3836,gelöst,7.971894088649635
3837,gesund,7.971894088649635
3838,fair,7.971894088649635
3839,häl,7.971894088649635
3840,enthalten,7.971894088649635
3841,Ausmaß,7.971894088649635
3842,Minderheit,7.971894088649635
3843,festlegen,7.971894088649635
3844,Salt,7.971894088649635
3845,Überzeugung,7.971894088649635
3846,richtig,7.576392645101451
3847,ihn,7.576392645101451
3848,schon,7.427497984000991
3849,lange,7.301261206111448
3850,weder,7.160075336103392
3851,ein,7.055247676200154
3852,konkret,6.943590335424422
3853,Gegenstand,6.943590335424416
3854,wären,6.943590335424416
3855,von,6.589453263036297
3856,betreffen,6.569661697887942
3857,liegen,6.510620334066419
3858,reden,6.459682686847834
3859,Dafür,6.459682686847834
3860,etwas,6.2919919175391215
3861,erst,6.138205577653598
3862,demokratisch,6.077650332708439
3863,gleich,6.043824551352318
3864,sich,5.878561448155421
3865,Bürger,5.768386046024165
3866,hinzu,5.768386046024165
3867,ob,5.768386046024154
3868,Rente,5.768386046024134
3869,neutral,5.768386046024134
3870,Bundeshaushalt,5.768386046024134
3871,konzentrieren,5.768386046024134
3872,Anspruch,5.768386046024134
3873,wahrlich,5.768386046024134
3874,ergänzen,5.768386046024134
3875,vollziehen,5.768386046024134
3876,beschäftigen,5.768386046024134
3877,freundschaftlich,5.768386046024134
3878,Sprecher,5.768386046024134
3879,selten,5.768386046024134
3880,Albrecht,5.768386046024134
3881,hören,5.768386046024134
3882,Durchführung,5.768386046024134
3883,informieren,5.768386046024134
3884,Gesellschaftsordnung,5.768386046024134
3885,einmal,5.586653423951929
3886,gut,5.564593394683064
3887,zwei,5.512906852676251
3888,seit,5.447875785278615
3889,Wahl,5.115494774135097
3890,Handeln,4.886982828973946
3891,stellen,4.789049138190594
3892,nicht,4.662311420706251
3893,bedeuten,4.618729675958661
3894,Arbeit,4.573263039854375
3895,alle,4.5300509476891415
3896,olympisch,4.4123810967161505
3897,Gesichtspunkt,4.4123810967161505
3898,Über,4.4123810967161505
3899,kürzlich,4.4123810967161505
3900,kritisieren,4.4123810967161505
3901,Überlegung,4.4123810967161505
3902,geben,4.326089872669262
3903,Selbstbestimmungsrecht,3.912800325918461
3904,lesen,3.493797098797818
3905,und,3.4735805570989804
3906,mein,3.3773454040262663
3907,Demokratie,3.2043039600599195
3908,Wäre,2.830375322523484
3909,Mitglied,2.8303753225234787
3910,Fall,2.8303753225234787
3911,Eingriff,2.8303753225234667
3912,Josef,2.8303753225234667
3913,kontrovers,2.8303753225234667
3914,Gründung,2.8303753225234667
3915,tief,2.8303753225234667
3916,gefördern,2.8303753225234667
3917,Geist,2.8303753225234667
3918,Landschaft,2.8303753225234667
3919,abschließend,2.8303753225234667
3920,anders,2.8303753225234667
3921,Produktion,2.8303753225234667
3922,erheben,2.8303753225234667
3923,bewerten,2.8303753225234667
3924,zunehmend,2.8303753225234667
3925,jüngst,2.8303753225234667
3926,hinein,2.8303753225234667
3927,gestört,2.8303753225234667
3928,Müh,2.8303753225234667
3929,bonner,2.8303753225234667
3930,jünger,2.8303753225234667
3931,aufeinander,2.8303753225234667
3932,Regel,2.8303753225234667
3933,plötzlich,2.8303753225234667
3934,Adolf,2.8303753225234667
3935,ungewöhnlich,2.8303753225234667
3936,unterscheiden,2.8303753225234667
3937,besuchen,2.8303753225234667
3938,Widerspruch,2.8303753225234667
3939,Übernahme,2.8303753225234667
3940,qualitativ,2.8303753225234667
3941,Ludwig,2.8303753225234667
3942,ausüb,2.8303753225234667
3943,überlegen,2.8303753225234667
3944,anlangen,2.8303753225234667
3945,Verfassungsgericht,2.8303753225234667
3946,Israeli,2.8303753225234667
3947,daraus,2.8303753225234667
3948,Bewältigung,2.8303753225234667
3949,Franz,2.8303753225234667
3950,er,2.3390356452144667
3951,Entscheidung,2.2891628208259838
3952,zehn,2.242773177823358
3953,politisch,2.1355754892631778
3954,spielen,2.121200320299175
3955,mit,1.9866389096207393
3956,jed,1.7479503191284993
3957,vernünftig,1.6206062010820157
3958,Vorsitzende,1.6206062010820157
3959,Willy,1.6206062010820157
