,Wort,difference
0,Blockfreie,3355.903888812548
1,Wirtschaftsordnung,3355.903888812548
2,Wahlergebnis,2923.91590271098
3,Verteidigungsbündnis,2923.91590271098
4,Blockfreien-bewegung,2491.927916609411
5,Zielrichtung,2491.927916609411
6,friedensichernd,2491.927916609411
7,Dissens,2491.927916609411
8,betrieben,2491.927916609411
9,Dregger,2059.9399305078427
10,Aufgabenverteilung,2059.9399305078427
11,Mittelmeerpolitik,2059.9399305078427
12,Konfliktlösung,2059.9399305078427
13,104,2059.9399305078427
14,vertrauenbildend,2059.9399305078427
15,Sparförderung,2059.9399305078427
16,Scheitern,1627.951944406274
17,ausleuchten,1627.951944406274
18,Entstehen,1627.951944406274
19,weiterarbeiten,1627.951944406274
20,jordanisch,1627.951944406274
21,Havanna,1627.951944406274
22,Verhandlungsweg,1627.951944406274
23,Fehleinschätzung,1627.951944406274
24,Afghanistan-krise,1627.951944406274
25,stabilisierend,1627.951944406274
26,Arbeitseinheit,1627.951944406274
27,Egoismus,1627.951944406274
28,gemischt,1627.951944406274
29,Gesagte,1627.951944406274
30,Genscherdi,1627.951944406274
31,Zentraleuropa,1627.951944406274
32,beschrieben,1627.951944406274
33,Gez,1627.951944406274
34,herausreden,1627.951944406274
35,vorstoßen,1627.951944406274
36,Boot,1627.951944406274
37,Verteidigungskraft,1627.951944406274
38,säh,1627.951944406274
39,Außen,1627.9519444062737
40,Klein,1483.9559490390845
41,unbestreitbar,1483.9559490390845
42,Blockfreiheit,1483.9559490390845
43,Tindemans-bericht,1411.9579513554897
44,Nahostkonflikt,1411.9579513554897
45,Gesamtstrategium,1411.9579513554897
46,Vorherrschaft,1339.959953671895
47,partnerschaftlich,1339.959953671895
48,Säul,1195.9639583047056
49,wiedererwacht,1195.9639583047056
50,einkaufen,1195.9639583047056
51,fortgeschrieben,1195.9639583047056
52,eingrenzen,1195.9639583047056
53,Mechanismus,1195.9639583047056
54,Konfliktursache,1195.9639583047056
55,Geschichtsbild,1195.9639583047056
56,Verhandlungsvorschläg,1195.9639583047056
57,irgendeiner,1195.9639583047056
58,einreden,1195.9639583047056
59,Stellen.—,1195.9639583047056
60,Desinteresse,1195.9639583047056
61,daransetzen,1195.9639583047056
62,Carlos,1195.9639583047056
63,Sanktionsmaßnahme,1195.9639583047056
64,herausnehmen,1195.9639583047056
65,Aktionsmöglichkeit,1195.9639583047056
66,Wahlaussage,1195.9639583047056
67,Montag,1195.9639583047056
68,verantwortungsvoll,1195.9639583047056
69,Vermittlungsaktion,1195.9639583047056
70,Ursprung,1195.9639583047056
71,übergeordnet,1195.9639583047056
72,ausgewählt,1195.9639583047056
73,errungen,1195.9639583047056
74,andernfalls,1195.9639583047056
75,Wählerschaft,1195.9639583047056
76,Palästina-sonderausschusse,1195.9639583047056
77,Regierungsverantwortung,1195.9639583047056
78,Kantine,1195.9639583047056
79,Verfahrensweise,1195.9639583047056
80,Dieb,1195.9639583047056
81,Diskussionspunkt,1195.9639583047056
82,Gesamtsituation,1195.9639583047056
83,Nullwachstum,1195.9639583047056
84,Weltbühne,1195.9639583047056
85,Zusammenschluß,1195.9639583047056
86,abschätzig,1195.9639583047056
87,Koordinatensystem,1195.9639583047056
88,Aktive,1195.9639583047056
89,Konjunkturprognose,1195.9639583047056
90,beschreiten,1195.9639583047056
91,Ural,1195.9639583047056
92,Entsorgungskonzept,1195.9639583047056
93,Übersetzung,1195.9639583047056
94,Wettbewerbsregel,1195.9639583047056
95,paraphieren,1195.9639583047056
96,Konfliktherd,1195.9639583047056
97,Drei-prozent-ziel,1195.9639583047056
98,umschreiben,1195.9639583047056
99,Mehrheitsverhältniss,1195.9639583047056
100,sparen,1195.9639583047056
101,Ministertreffen,1195.9639583047056
102,Harmonisierung,1195.9639583047056
103,Selbstüberschätzung,1195.9639583047056
104,emotionslos,1195.9639583047056
105,Prämie,1195.9639583047056
106,Minderheitenvotum,1195.9639583047056
107,Magdeburg,1195.9639583047056
108,Vertrauensbildung,1195.9639583047056
109,Kühn,1195.9639583047056
110,Greifswald,1195.9639583047056
111,Bündnispartne,1195.9639583047056
112,Aufregung,1195.9639583047056
113,plastisch,1195.9639583047056
114,Zustrom,1195.9639583047056
115,Lambsdorff—,1195.9639583047056
116,Gegenseitigkeit,1195.9639583047056
117,Grundcharakter,1195.9639583047056
118,Kreuth,1195.9639583047056
119,Wahltermin,1195.9639583047056
120,interdependent,1195.9639583047056
121,Palästina-befreiungsorganisation,1195.9639583047056
122,Rubel,1195.9639583047056
123,stehenlassen,1195.9639583047056
124,Genscherauch,1195.9639583047056
125,Nicht.—,1195.9639583047056
126,Konjunkturpolitik,1195.9639583047056
127,überrollt,1195.9639583047056
128,austauschbar,1195.9639583047056
129,Ksze-folgekonferenz,1195.9639583047056
130,Arbeitsebene,1195.9639583047056
131,Nahost-bereich,1195.9639583047056
132,Erkläre,1195.9639583047056
133,Rostock,1195.9639583047056
134,Bewußtseinsbildung,1195.9639583047056
135,Hessen-süd,1195.9639583047056
136,gewünscht,1195.9639583047056
137,erregen,1195.9639583047056
138,wohlverstanden,1195.9639583047056
139,beilegen,1195.9639583047056
140,Bewegungsraum,1195.9639583047056
141,akzeptiert,1195.9639583047056
142,Hang,1195.9639583047056
143,Verschuldungslage,1195.9639583047056
144,Blockfreienbewegung,1195.9639583047056
145,Schiller,1195.9639583047056
146,Wachstumsaussicht,1195.9639583047056
147,derbundesminister,1195.9639583047056
148,Dienstag,1195.9639583047056
149,verkleistert,1195.9639583047056
150,Nord-süd-kommissio,1195.9639583047056
151,Bundesinnenministerium,1195.9639583047056
152,Rückzug,1195.9639583047053
153,Friedenslösung,1195.9639583047053
154,Traube,1087.9669617793134
155,Rüstungskontrollpolitik,979.9699652539213
156,Realitäte,979.9699652539213
157,Beschlußfassung,979.9699652539213
158,exportieren,979.9699652539213
159,israelisch-arabisch,979.9699652539213
160,Libanon-konflikt,979.9699652539213
161,Terrorismusbekämpfung,979.9699652539213
162,abgestimmt,979.9699652539213
163,wiedererlangen,979.9699652539213
164,Verhandlungslösung,979.9699652539213
165,Währungsverbund,979.9699652539213
166,Generalversammlung,979.9699652539213
167,Völkergemeinschaft,979.9699652539213
168,mittelöstlich,979.9699652539213
169,Intervention,960.3341477038499
170,Nahostfrage,907.9719675703265
171,Unabhängigkeit,887.4011110892993
172,Camp,850.3735694234506
173,1956,763.9759722031371
174,Zusammenwirken,763.9759722031371
175,zurückzuführen,763.9759722031371
176,Respektierung,763.9759722031371
177,unmißverständlich,763.9759722031371
178,Massenmord,763.9759722031371
179,Kittelmann,763.9759722031371
180,Europapolitik,763.9759722031371
181,vergegenwärtig,763.9759722031371
182,Liga,763.9759722031371
183,Verhandlungsprozeß,763.9759722031371
184,stärker,763.9759722031371
185,wahltaktisch,763.9759722031371
186,Partnerstaat,763.9759722031371
187,Königreich,763.9759722031371
188,Verteidigungsbündnisse,763.9759722031371
189,Westintegration,763.9759722031371
190,Sammlung,763.9759722031371
191,Salt-ii-vertrag,763.9759722031371
192,Vorrüstung,763.9759722031371
193,vertrauensbildend,763.9759722031371
194,Zutritt,763.9759722031371
195,Unteilbarkeit,763.9759722031371
196,Gewässer,763.9759722031371
197,Eskalation,763.9759722031371
198,Unterricht,763.9759722031371
199,Asean-staat,763.975972203137
