,Wort,difference
0,Aufforderung,-92.25652651318599
1,afrikanisch,-91.51905284777513
2,Rhodesien,-90.62632156859355
3,Abhängigkeit,-90.10556165573766
4,Energieprogramm,-89.52353587078105
5,Deklaration,-88.86875686270487
6,Irritation,-88.12667398688518
7,Menschenrechtspakt,-88.12667398688518
8,schweigen,-88.12667398688518
9,Schüler,-88.12667398688518
10,psychologisch,-87.2785792716627
11,Finanz,-87.2785792716627
12,Uno,-86.30000844640598
13,Perspektive,-86.30000844640598
14,Klein,-86.30000844640598
15,Angola,-86.30000844640598
16,Genehmigung,-86.30000844640598
17,Mordverjährung,-86.30000844640598
18,Franghi,-85.15834248360648
19,Beförderung,-85.15834248360648
20,Kompetenz,-85.15834248360648
21,mangelnd,-85.15834248360648
22,Vollbeschäftigung,-85.15834248360648
23,Mitteldeutschland,-85.15834248360648
24,irgendein,-85.15834248360648
25,Ehmke,-84.51305302637196
26,Lehrling,-83.80910089120707
27,Russe,-83.80910089120707
28,Offentlichkeit,-83.80910089120707
29,weiß,-83.80910089120707
30,Offizier,-83.80910089120707
31,Zerstörung,-83.80910089120707
32,Moratorium,-83.80910089120707
33,Unteilbarkeit,-83.80910089120707
34,vorhanden,-83.43256835379327
35,verbal,-83.03810569555026
36,Einfluß,-82.19001098032777
37,Alliierte,-82.19001098032776
38,Versorgung,-82.19001098032776
39,These,-82.19001098032776
40,indisch,-82.19001098032776
41,Armee,-82.19001098032776
42,Abzug,-82.19001098032776
43,Kategorie,-82.19001098032776
44,Ministerium,-82.19001098032776
45,unverantwortlich,-82.19001098032776
46,Bundeswirtschaftsminister,-82.19001098032776
47,Verwendungsstau,-82.19001098032776
48,unbedingt,-82.19001098032776
49,Wehner,-81.39254878541708
50,Wähler,-81.25264313718712
51,dagegen,-80.91786890749403
52,Vertreter,-80.2111233114753
53,Moral,-80.21112331147529
54,Auskunft,-80.21112331147529
55,verkünden,-80.21112331147529
56,Richtigkeit,-80.21112331147529
57,gepräg,-80.21112331147529
58,wider,-80.21112331147529
59,Garching,-80.21112331147529
60,Gewährung,-80.21112331147529
61,herzlich,-80.21112331147529
62,einstellen,-80.21112331147529
63,Übergang,-80.21112331147529
64,Geschäftsordnung,-80.21112331147529
65,Verhältniss,-80.21112331147529
66,trotzdem,-80.21112331147529
67,zuständig,-80.21112331147529
68,frankfurter,-80.21112331147529
69,Dokumentation,-80.21112331147529
70,Sanktion,-80.21112331147529
71,Bundestagswahl,-80.21112331147529
72,Garantie,-79.04707174156208
73,Souveränität,-79.04707174156208
74,Intervention,-79.04707174156208
75,vergessen,-79.04707174156208
76,Wasser,-77.73751372540971
77,Deutlichkeit,-77.73751372540971
78,verbindlich,-77.73751372540971
79,Tindemans-bericht,-77.73751372540971
80,Gefangene,-77.73751372540971
